Laser Delay [ns];TA [mOD]
-400;-0.099683
-390;-0.083933
-380;-0.113518
-370;-0.176658
-360;-0.134980
-350;-0.152979
-340;-0.022443
-330;-0.147576
-320;-0.132804
-310;-0.121279
-300;-0.208794
-290;-0.121207
-280;-0.197271
-270;-0.102559
-260;-0.187648
-250;-0.147973
-240;-0.171050
-230;-0.144919
-220;-0.255888
-210;-0.171471
-200;-0.175090
-190;-0.201528
-180;-0.185147
-170;-0.213289
-160;-0.109903
-150;-0.184868
-140;-0.104265
-130;-0.195824
-120;-0.078831
-110;-0.089171
-100;-0.116505
-90;-0.251469
-80;-0.095135
-70;-0.132354
-60;-0.126548
-50;-0.105180
-40;-0.167279
-30;-0.495271
-20;-0.941899
-10;-1.355346
0;-2.044007
10;-2.530922
20;-2.996311
30;-3.342076
40;-3.832054
50;-4.016104
60;-4.433328
70;-4.688345
80;-4.885755
90;-4.794683
100;-4.716002
110;-4.404404
120;-4.046708
130;-3.788482
140;-3.528179
150;-3.346109
160;-3.094706
170;-2.746996
180;-2.607846
190;-2.550043
200;-2.285959
210;-2.104898
220;-1.973928
230;-1.925731
240;-1.741454
250;-1.549747
260;-1.565100
270;-1.383129
280;-1.203475
290;-1.288754
300;-1.166721
310;-1.117795
320;-1.070271
330;-0.861890
340;-0.847408
350;-0.732583
360;-0.652913
370;-0.765521
380;-0.628614
390;-0.628962
400;-0.505209
410;-0.565218
420;-0.428083
430;-0.409840
440;-0.366210
450;-0.332830
460;-0.354207
470;-0.238981
480;-0.258602
490;-0.097256
500;-0.255097
510;-0.143793
520;-0.294584
530;-0.183443
540;-0.234831
550;-0.118874
560;-0.112178
570;-0.050145
580;-0.013755
590;-0.121766
600;-0.042090
610;0.001976
620;-0.091412
630;0.041965
640;0.044981
650;-0.011217
660;0.022421
670;-0.029755
680;-0.081137
690;0.023988
700;-0.033054
710;0.010674
720;0.046699
730;0.100195
740;0.059567
750;0.012274
760;0.102542
770;0.076351
780;-0.013508
790;0.107193
800;-0.020088
810;0.100384
820;0.028149
830;0.033867
840;0.086845
850;0.118514
860;0.116687
870;0.105429
880;0.137030
890;-0.011550
900;0.084048
910;0.037903
920;0.077693
930;0.155242
940;0.092428
950;0.053028
960;0.083072
970;0.102031
980;0.174623
990;0.152677
1000;0.080364
1010;0.144912
1020;0.094500
1030;0.081026
1040;0.138892
1050;0.204324
1060;0.064094
1070;0.231722
1080;0.095518
1090;0.155536
1100;0.074100
1110;0.056027
1120;0.087052
1130;0.159024
1140;0.109162
1150;0.046341
1160;0.018117
1170;0.046573
1180;0.004880
1190;0.143808
1200;0.052986
1210;0.077069
1220;0.009094
1230;0.089335
1240;0.150664
1250;0.156994
1260;0.179912
1270;0.108359
1280;0.175629
1290;0.118857
1300;0.168724
1310;0.057253
1320;0.089992
1330;0.078061
1340;0.115016
1350;0.083391
1360;0.047849
1370;0.155298
1380;0.187785
1390;0.066927
1400;0.114509
1410;0.102047
1420;0.197875
1430;0.234521
1440;0.144190
1450;0.140459
1460;0.102003
1470;0.074548
1480;0.074816
1490;0.139557
1500;0.159607
1510;0.100228
1520;0.156681
1530;0.073570
1540;0.163580
1550;0.093579
1560;0.143791
1570;-0.000524
1580;0.102469
1590;0.104207
1600;-0.003139
1610;0.092395
1620;0.037154
1630;0.121571
1640;0.060845
1650;0.076132
1660;0.134727
1670;0.016765
1680;0.099836
1690;0.055741
1700;0.137445
1710;0.073385
1720;0.104016
1730;0.140797
1740;0.044566
1750;0.134901
1760;0.215476
1770;0.071966
1780;0.074309
1790;0.137975
1800;0.176103
1810;0.169057
1820;0.115796
1830;0.087153
1840;0.097142
1850;0.130743
1860;0.055799
1870;0.115839
1880;0.119260
1890;0.009025
1900;0.089419
1910;0.079330
1920;0.069646
1930;0.154458
1940;0.105215
1950;0.121494
1960;0.067225
1970;0.039229
1980;0.152102
1990;0.111202
2000;0.126231
