Laser Delay [ns];TA [mOD]
-400;-0.160592
-390;-0.050543
-380;-0.125486
-370;-0.073970
-360;-0.081244
-350;-0.162656
-340;-0.081711
-330;-0.055989
-320;-0.041823
-310;-0.125582
-300;-0.216733
-290;-0.020400
-280;0.040629
-270;-0.212541
-260;0.005211
-250;-0.168102
-240;-0.187387
-230;-0.040620
-220;0.045976
-210;-0.236678
-200;-0.149187
-190;-0.199634
-180;-0.116571
-170;-0.484943
-160;-0.181592
-150;-0.188189
-140;-0.086648
-130;-0.123842
-120;-0.074136
-110;-0.210275
-100;0.053439
-90;-0.109177
-80;-0.115746
-70;-0.267914
-60;-0.127582
-50;-0.058240
-40;-0.046427
-30;-0.001021
-20;0.546385
-10;1.170016
0;2.356691
10;3.232113
20;4.311337
30;5.201713
40;6.220241
50;7.150437
60;8.196169
70;8.922350
80;10.025088
90;10.804980
100;11.497508
110;11.904498
120;11.832890
130;11.791442
140;11.324050
150;11.421712
160;11.432282
170;11.216649
180;10.920249
190;10.840534
200;10.693732
210;10.549115
220;10.388553
230;10.336215
240;10.251381
250;10.101662
260;10.075593
270;9.739498
280;9.709784
290;9.662091
300;9.681358
310;9.630125
320;9.258099
330;9.195147
340;9.054313
350;9.023441
360;8.886051
370;8.600183
380;8.506269
390;8.633513
400;8.529934
410;8.292238
420;8.278285
430;8.078765
440;7.851089
450;7.967150
460;7.981169
470;7.799582
480;7.735888
490;7.493730
500;7.481572
510;7.317154
520;7.359505
530;7.253246
540;7.142371
550;7.102015
560;7.040850
570;6.823244
580;6.805623
590;6.738690
600;6.540578
610;6.597693
620;6.568476
630;6.340018
640;6.257689
650;6.334250
660;6.188753
670;6.168999
680;6.152128
690;6.112819
700;5.885739
710;5.788432
720;5.822307
730;5.787589
740;5.820575
750;5.550534
760;5.372818
770;5.528596
780;5.275827
790;5.306202
800;5.501864
810;5.027693
820;5.141452
830;5.076308
840;5.075198
850;4.860288
860;4.888646
870;4.800336
880;4.756538
890;4.962759
900;4.763795
910;4.645198
920;4.522742
930;4.565392
940;4.433325
950;4.409352
960;4.386261
970;4.314781
980;4.296773
990;4.319698
1000;4.183016
1010;4.189597
1020;4.139066
1030;3.973988
1040;4.252089
1050;3.943034
1060;4.030997
1070;3.886388
1080;4.010168
1090;4.013548
1100;3.838148
1110;3.769879
1120;3.770307
1130;3.602210
1140;3.683961
1150;3.630891
1160;3.645410
1170;3.578813
1180;3.517083
1190;3.438960
1200;3.251660
1210;3.392818
1220;3.372655
1230;3.425254
1240;3.381758
1250;3.247538
1260;3.391065
1270;3.237503
1280;3.143723
1290;3.140283
1300;3.082653
1310;3.185299
1320;3.115322
1330;3.056217
1340;3.079267
1350;2.643960
1360;3.032984
1370;2.977711
1380;2.888091
1390;2.986249
1400;2.871755
1410;2.793400
1420;2.844725
1430;2.687474
1440;2.890587
1450;2.692153
1460;2.685538
1470;2.680399
1480;2.753751
1490;2.564275
1500;2.638211
1510;2.718037
1520;2.453320
1530;2.651584
1540;2.573301
1550;2.418777
1560;2.511335
1570;2.466072
1580;2.471911
1590;2.490342
1600;2.229215
1610;2.387755
1620;2.280302
1630;2.541119
1640;2.321742
1650;2.395639
1660;2.371317
1670;2.265213
1680;2.301863
1690;2.288986
1700;2.129743
1710;2.364143
1720;2.040021
1730;2.253873
1740;2.096016
1750;2.209466
1760;2.141059
1770;1.924746
1780;2.077196
1790;1.996104
1800;1.896013
1810;1.983904
1820;1.895386
1830;2.081080
1840;1.922649
1850;2.037893
1860;1.689904
1870;1.821957
1880;2.119421
1890;1.832533
1900;1.850628
1910;1.786989
1920;1.643938
1930;1.824328
1940;1.969206
1950;1.732237
1960;1.730080
1970;1.762400
1980;1.905032
1990;1.643258
2000;1.872642
2010;1.797079
2020;1.817805
2030;1.789395
2040;1.654470
2050;1.601852
2060;1.852124
2070;1.600311
2080;1.558517
2090;1.629742
2100;1.674483
2110;1.609751
2120;1.710295
2130;1.603112
2140;1.626315
2150;1.633886
2160;1.644103
2170;1.506389
2180;1.766446
2190;1.540594
2200;1.689207
2210;1.658456
2220;1.565965
2230;1.619248
2240;1.419045
2250;1.435998
2260;1.528001
2270;1.559647
2280;1.369225
2290;1.417536
2300;1.595547
2310;1.351111
2320;1.584209
2330;1.404626
2340;1.485972
2350;1.446133
2360;1.341329
2370;1.369103
2380;1.573740
2390;1.360885
2400;1.512828
2410;1.383949
2420;1.312433
2430;1.380410
2440;1.511555
2450;1.289509
2460;1.400412
2470;1.464633
2480;1.299811
2490;1.175620
2500;1.291989
2510;1.391041
2520;1.265916
2530;1.238242
2540;1.337956
2550;1.194422
2560;1.151356
2570;1.290293
2580;1.271822
2590;1.292703
2600;1.192864
2610;1.262862
2620;1.262583
2630;1.295914
2640;1.287965
2650;1.367810
2660;1.147524
2670;1.206498
2680;1.297759
2690;1.204283
2700;1.182443
2710;1.282234
2720;1.097174
2730;1.292207
2740;1.228317
2750;1.227720
2760;1.310539
2770;1.149090
2780;1.094292
2790;1.237504
2800;1.152974
2810;1.287321
2820;1.212372
2830;1.182036
2840;1.037813
2850;1.234557
2860;1.000893
2870;1.336060
2880;1.161413
2890;1.169353
2900;0.845422
2910;1.131447
2920;1.234574
2930;1.387054
2940;1.105133
2950;1.004236
2960;1.186369
2970;1.075833
2980;1.012674
2990;0.996578
3000;1.140235
3010;1.168846
3020;1.249451
3030;1.149558
3040;1.227303
3050;1.055244
3060;0.992950
3070;1.091646
3080;1.124029
3090;1.042558
3100;1.016257
3110;0.991273
3120;1.040870
3130;1.049347
3140;0.925787
3150;1.118450
3160;1.092247
3170;1.090351
3180;1.086849
3190;1.162993
3200;1.091598
3210;1.116354
3220;1.127112
3230;1.190503
3240;0.857186
3250;1.059315
3260;1.044802
3270;1.128514
3280;0.989734
3290;1.109981
3300;1.129038
3310;1.001281
3320;1.042757
3330;1.170561
3340;1.071809
3350;0.978189
3360;0.953088
3370;1.205876
3380;1.082415
3390;1.172719
3400;0.992896
3410;1.034414
3420;1.227394
3430;0.982812
3440;1.016343
3450;1.115473
3460;1.055011
3470;1.039220
3480;1.066825
3490;1.007036
3500;1.086881
3510;1.113807
3520;1.002931
3530;0.967625
3540;1.067130
3550;1.118427
3560;1.003703
3570;0.968376
3580;0.867685
3590;0.911341
3600;0.947414
3610;1.256331
3620;1.027284
3630;0.923577
3640;1.053304
3650;0.981511
3660;0.927984
3670;1.143367
3680;0.977969
3690;0.952719
3700;1.045359
3710;1.012950
3720;1.020016
3730;1.053894
3740;0.912344
3750;0.964178
3760;0.997845
3770;1.008580
3780;0.800135
3790;0.945989
3800;1.123495
3810;0.905693
3820;0.945207
3830;1.114142
3840;1.069139
3850;0.946233
3860;0.937501
3870;0.650406
3880;0.987049
3890;1.099403
3900;1.091578
3910;1.025982
3920;0.800259
3930;0.891021
3940;1.018039
3950;0.712893
3960;0.934561
3970;0.978299
3980;1.076247
3990;1.066754
4000;0.986993
4010;1.075017
4020;1.135621
4030;1.017595
4040;0.904476
4050;0.903371
4060;1.062912
4070;0.860805
4080;0.856047
4090;0.834384
4100;0.963089
4110;0.991248
4120;0.771035
4130;0.910501
4140;1.033347
4150;0.890009
4160;0.961719
4170;1.017539
4180;0.838210
4190;1.036483
4200;0.918002
4210;1.009234
4220;0.994887
4230;0.886206
4240;1.003647
4250;0.998199
4260;0.924324
4270;0.871517
4280;1.016682
4290;0.939324
4300;0.883060
4310;0.808456
4320;0.956887
4330;0.835905
4340;1.087881
4350;1.066358
4360;0.794433
4370;0.877506
4380;0.901560
4390;1.013720
4400;0.961423
4410;1.066481
4420;1.099113
4430;0.934415
4440;0.914656
4450;0.930157
4460;1.023248
4470;0.804691
4480;0.711978
4490;0.929961
4500;0.921526
4510;0.965094
4520;0.955595
4530;0.952861
4540;0.906751
4550;0.955890
4560;1.028658
4570;0.896941
4580;0.884770
4590;1.040861
4600;0.861753
4610;0.935797
4620;0.876181
4630;0.958236
4640;0.999233
4650;0.879911
4660;0.973686
4670;1.029681
4680;0.848423
4690;0.985397
4700;0.852044
4710;0.935715
4720;0.627883
4730;0.967554
4740;0.972258
4750;0.807265
4760;0.879778
4770;0.797722
4780;0.959541
4790;0.890414
4800;0.760387
4810;0.866919
4820;1.087006
4830;0.865024
4840;0.999445
4850;0.971984
4860;0.896095
4870;0.952524
4880;0.875797
4890;0.959714
4900;1.044736
4910;1.041799
4920;0.752163
4930;0.996314
4940;0.910422
4950;0.950105
4960;1.008710
4970;0.903693
4980;0.908896
4990;0.846255
5000;0.894709
