Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;0.214676;-0.437870;0.064816;-0.244647;-0.399937
-390;0.105782;-0.018147;-0.065353;-0.129739;-0.145258
-380;-0.081311;-0.144451;-0.182544;0.040323;-0.259448
-370;-0.045213;-0.349647;0.104965;0.145802;-0.225754
-360;-0.314111;0.134372;0.069295;-0.234456;-0.061318
-350;-0.263983;-0.037315;-0.189755;-0.131543;-0.190683
-340;-0.018723;-0.087495;-0.081842;-0.190368;-0.030129
-330;0.223333;-0.176810;-0.056118;-0.049073;-0.221276
-320;0.121155;0.140337;-0.317890;0.140070;-0.292785
-310;-0.271255;0.107608;-0.071648;-0.094696;-0.297917
-300;-0.045340;-0.532381;-0.110236;-0.136518;-0.259190
-290;0.322425;0.063094;-0.315227;0.088426;-0.260716
-280;0.293383;-0.115133;-0.014500;-0.059830;0.099226
-270;-0.267284;0.067856;-0.361807;-0.399837;-0.101633
-260;0.037035;-0.055378;-0.051291;0.200677;-0.104990
-250;-0.016867;-0.002390;-0.434585;-0.220965;-0.165702
-240;0.006100;-0.360060;-0.488468;0.079458;-0.173966
-230;0.098665;-0.115607;0.159518;-0.259153;-0.086520
-220;0.146856;0.234431;0.067579;-0.194690;-0.024297
-210;-0.239551;-0.276343;-0.552676;-0.256772;0.141954
-200;-0.250347;-0.386760;0.326272;-0.345568;-0.089533
-190;0.074602;-0.270467;-0.295514;-0.402290;-0.104500
-180;-0.230591;-0.193491;-0.025605;-0.009242;-0.123927
-170;-0.625791;-0.635649;-0.360603;-0.634832;-0.167840
-160;-0.168274;-0.094237;-0.428507;-0.272744;0.055801
-150;-0.052120;0.084195;-0.039186;-0.232545;-0.701288
-140;0.066240;-0.149223;-0.102767;0.301986;-0.549477
-130;0.353552;0.231984;-0.273451;-0.539866;-0.391426
-120;0.089684;0.061229;-0.085959;0.012177;-0.447813
-110;-0.047871;-0.561384;0.010151;-0.391553;-0.060719
-100;-0.117071;-0.245069;0.043986;0.344390;0.240959
-90;-0.114574;-0.090883;-0.216116;0.013606;-0.137919
-80;0.042766;-0.289355;-0.128979;0.161096;-0.364256
-70;-0.686566;0.259376;-0.648808;-0.134824;-0.128751
-60;-0.275118;-0.261458;0.165750;-0.306882;0.039797
-50;-0.096237;-0.229830;-0.240698;0.178925;0.096641
-40;0.399457;0.016756;-0.112667;-0.327249;-0.208431
-30;0.040375;0.334170;-0.161551;-0.077440;-0.140658
-20;0.799610;0.040725;0.944987;0.527187;0.419416
-10;1.192175;1.405310;1.115636;0.978045;1.158913
0;2.736017;2.341495;2.288882;2.321088;2.095974
10;3.024954;3.253676;3.740123;2.928644;3.213167
20;4.495539;4.161415;4.285510;4.188492;4.425729
30;5.463042;5.184842;4.994900;5.050175;5.315605
40;6.230178;6.039031;6.375133;6.096694;6.360167
50;7.262584;7.247963;7.352477;6.803341;7.085823
60;8.500010;8.103925;8.138321;8.004755;8.233836
70;9.090812;9.001198;9.054316;9.009052;8.456370
80;10.490144;9.895271;10.234392;9.536831;9.968800
90;11.359630;10.866019;10.640142;10.786013;10.373098
100;12.316535;11.605649;11.261663;11.252975;11.050716
110;12.481452;12.038751;11.705757;11.556044;11.740483
120;12.414445;11.720627;11.776698;11.525487;11.727194
130;12.338661;11.770211;11.612127;11.566078;11.670134
140;11.306683;11.612032;11.269025;11.181503;11.251006
150;11.853373;11.557093;11.646560;10.807353;11.244179
160;11.805640;11.206839;11.684565;11.018194;11.446172
170;11.431952;11.369904;10.694980;11.394680;11.191730
180;11.275075;11.135290;10.828357;10.407484;10.955041
190;10.942206;10.785024;10.902383;10.686522;10.886532
200;11.335204;10.457644;11.037325;10.034373;10.604117
210;10.794969;10.557984;10.406399;10.616718;10.369505
220;10.690908;10.658911;10.214678;10.255117;10.123151
230;10.546261;10.476759;10.330708;10.059925;10.267420
240;10.701079;10.342052;10.197796;9.958980;10.056997
250;10.518811;10.238980;9.879027;10.294617;9.576874
260;10.357922;10.196212;10.130056;9.678824;10.014952
270;10.129191;9.566251;9.833397;9.639419;9.529233
280;9.962756;9.375884;10.058108;9.708827;9.443346
290;9.643645;9.657567;9.769976;9.621984;9.617285
300;9.996034;9.601141;9.620348;9.330021;9.859245
310;10.044488;9.579805;9.770398;9.471919;9.284015
320;9.609981;8.970723;9.093138;9.429683;9.186971
330;9.469551;9.256179;8.917740;8.913578;9.418685
340;9.126520;8.932430;9.028666;9.248773;8.935175
350;9.160113;9.270515;9.237597;8.708171;8.740807
360;9.152600;8.875458;8.862369;8.849556;8.690271
370;9.006361;8.651738;8.904475;7.996729;8.441615
380;8.876591;8.365416;8.470265;8.175487;8.643584
390;8.882011;8.582879;9.074944;8.218287;8.409441
400;9.206223;8.425100;8.494206;8.394964;8.129176
410;8.603509;8.424070;8.265078;8.010191;8.158344
420;8.440702;8.423243;8.196518;8.203429;8.127531
430;8.367048;7.989155;8.032398;7.994300;8.010925
440;8.052859;8.041248;7.793675;7.621199;7.746461
450;8.189708;8.072688;7.678013;7.962130;7.933210
460;8.042953;8.372280;7.987892;7.502911;7.999811
470;8.132747;7.833757;7.326608;7.741121;7.963675
480;8.111696;7.723430;7.687746;7.456156;7.700410
490;7.798137;7.281254;7.804579;7.518706;7.065974
500;7.824690;7.603419;7.380573;7.380128;7.219050
510;7.778538;7.362474;7.206569;7.152868;7.085322
520;7.432878;7.602128;6.965414;7.472072;7.325032
530;7.399279;7.010588;7.627261;6.910791;7.318309
540;7.625774;7.114645;7.181701;7.049279;6.740455
550;7.507068;7.174243;6.796437;7.098074;6.934256
560;7.134914;6.995311;7.115452;6.926199;7.032373
570;7.138400;6.776086;6.866464;6.846271;6.489000
580;7.006455;6.473413;7.101954;6.730033;6.716262
590;6.743788;6.949576;6.536001;6.607075;6.857008
600;7.086043;6.539495;6.476285;6.519340;6.081727
610;6.893267;6.817596;6.533410;6.161448;6.582747
620;6.706761;6.794347;6.435165;6.661279;6.244830
630;6.389551;6.526628;6.326446;6.393639;6.063826
640;6.261747;6.269626;6.508156;6.203017;6.045902
650;6.747155;6.477864;6.395933;5.890955;6.159343
660;6.118323;6.219969;6.238958;6.411307;5.955209
670;6.211972;6.220832;6.116083;6.112274;6.183834
680;6.278808;6.210890;6.345482;5.964521;5.960937
690;6.264455;6.047269;6.276254;5.756634;6.219481
700;6.002229;5.711909;6.059205;5.677511;5.977844
710;5.955149;5.942466;5.966743;5.483229;5.594575
720;5.959868;5.765771;6.010701;5.705488;5.669705
730;6.019661;6.106273;5.665456;5.369170;5.777385
740;5.800563;5.936922;5.840183;5.656988;5.868219
750;5.894075;5.571954;5.478292;5.712237;5.096111
760;5.552759;5.340464;5.232679;5.384893;5.353295
770;5.624980;5.320934;5.691998;5.482044;5.523025
780;5.423206;5.558428;5.357987;5.066803;4.972709
790;5.509262;5.071138;5.116112;5.664940;5.169560
800;6.084869;5.406126;5.260124;5.442148;5.316055
810;5.041484;5.006165;5.187742;5.031995;4.871077
820;5.571905;5.238207;4.870684;5.151841;4.874622
830;4.798063;5.255261;5.126060;4.917648;5.284508
840;5.408068;5.198586;4.861294;4.903905;5.004137
850;4.863263;4.888269;4.612143;4.745667;5.192100
860;5.131994;4.824301;4.699519;4.740379;5.047038
870;5.012571;4.642001;5.087681;4.542495;4.716930
880;4.924118;4.918366;4.678533;4.959959;4.301713
890;4.791685;5.235022;4.816562;4.687954;5.282573
900;4.871403;4.503954;4.980966;4.678451;4.784200
910;4.799524;4.576579;4.408239;4.675819;4.765831
920;4.606860;4.473387;4.883107;4.154044;4.496314
930;4.654282;4.554197;5.110655;4.306699;4.201129
940;4.500451;4.382726;4.555050;4.298600;4.429797
950;4.463857;4.281537;4.389994;4.517012;4.394361
960;4.579102;4.240691;4.576742;4.298598;4.236171
970;4.560710;4.104140;4.312011;4.429712;4.167332
980;4.286582;4.737223;4.411605;4.039893;4.008563
990;4.407608;4.404768;4.306542;4.158654;4.320915
1000;4.446247;4.467151;3.938435;4.263712;3.799537
1010;4.134694;4.149844;4.225083;4.126375;4.311989
1020;4.595444;4.568931;3.505575;3.917105;4.108276
1030;4.091090;3.563635;3.988567;4.024179;4.202469
1040;4.327476;4.529624;3.893359;4.105414;4.404574
1050;4.158626;4.001406;3.829168;3.901392;3.824579
1060;4.142099;4.059816;4.030930;4.054522;3.867619
1070;3.977335;3.906777;3.749873;3.981324;3.816631
1080;3.987019;4.055943;4.433654;3.970318;3.603906
1090;4.173704;4.096561;3.849093;4.100132;3.848250
1100;3.800331;3.688645;3.829746;3.956277;3.915740
1110;3.937726;3.906477;3.756011;3.647508;3.601675
1120;3.473178;3.845034;4.043986;3.741318;3.748021
1130;3.577495;3.397021;3.961344;3.524543;3.550646
1140;3.783086;3.402977;3.679228;3.819086;3.735429
1150;3.329019;3.770990;3.517275;3.710681;3.826490
1160;3.448143;3.668415;3.730232;3.852168;3.528092
1170;3.961685;3.573754;3.392511;3.561676;3.404442
1180;3.677504;3.361490;3.201989;3.932238;3.412195
1190;3.707928;3.653411;3.396684;3.169171;3.267607
1200;3.434411;2.956925;3.399736;3.048499;3.418728
1210;3.756100;3.273411;3.264782;3.288536;3.381262
1220;3.358211;3.790094;3.364938;2.843445;3.506585
1230;3.422570;3.707968;3.584772;3.417233;2.993729
1240;3.927119;3.387878;3.017532;3.281724;3.294536
1250;3.003503;3.183957;3.364639;3.413577;3.272012
1260;3.289271;3.559693;3.247170;3.626367;3.232826
1270;3.218981;3.013040;3.207578;3.401036;3.346882
1280;3.448954;3.209552;3.074468;3.108142;2.877497
1290;3.209961;3.066567;2.993929;3.376579;3.054377
1300;3.283962;3.015264;2.853306;3.272700;2.988033
1310;3.294068;3.177637;3.312325;3.387083;2.755384
1320;3.180644;3.327811;3.419455;2.794571;2.854129
1330;2.921722;3.035557;3.035684;3.067466;3.220655
1340;3.055307;3.023716;3.134136;2.596390;3.586786
1350;2.383592;2.866422;2.422170;2.765406;2.782209
1360;2.789546;3.130988;3.292888;2.862900;3.088599
1370;3.042121;3.149664;3.502806;2.524527;2.669439
1380;2.771623;3.060796;2.827296;2.873436;2.907303
1390;3.058074;3.040395;2.936950;2.682301;3.213526
1400;2.956502;2.883895;2.982794;2.676063;2.859520
1410;2.771395;2.853291;2.670320;2.926342;2.745654
1420;2.962722;3.050504;2.667155;2.799084;2.744158
1430;2.580582;2.523048;2.879098;3.004290;2.450354
1440;2.961325;2.984906;2.640515;2.838508;3.027678
1450;3.044625;2.432887;3.086703;2.555591;2.340961
1460;2.804495;2.659601;2.546173;2.863954;2.553466
1470;2.587181;2.575689;3.003473;2.487880;2.747774
1480;3.051854;2.336508;2.838747;2.480113;3.061534
1490;2.642014;2.522961;2.610613;2.394290;2.651498
1500;2.851269;2.622712;2.493529;2.724883;2.498664
1510;2.830700;2.670411;2.729276;2.523689;2.836110
1520;2.693304;2.607121;2.639846;2.214557;2.111773
1530;3.104219;2.519015;2.616898;2.793761;2.224029
1540;2.655408;2.767967;2.325844;2.431374;2.685912
1550;2.250480;2.727314;2.656311;2.170152;2.289631
1560;2.605976;2.659063;2.432425;2.231803;2.627405
1570;2.267348;2.728348;2.358617;2.450704;2.525343
1580;2.303371;2.571955;2.497829;2.359391;2.627011
1590;2.572138;2.397182;2.391216;2.390751;2.700421
1600;2.466753;2.204751;2.267522;1.949355;2.257692
1610;2.111899;2.735108;2.458509;2.107097;2.526162
1620;2.014443;2.444306;2.571790;2.149781;2.221190
1630;2.714781;2.523793;2.606872;2.358105;2.502042
1640;1.989385;2.397641;2.424534;2.293925;2.503224
1650;2.660637;2.620294;2.138922;2.382899;2.175445
1660;2.609718;2.276736;2.443295;2.450757;2.076080
1670;2.260570;2.318596;2.044560;2.471109;2.231228
1680;1.954304;2.721305;2.009577;2.457167;2.366960
1690;2.522453;2.253063;2.151804;2.227038;2.290571
1700;2.069979;2.348996;2.403549;1.838749;1.987445
1710;2.347892;2.219964;2.346151;2.210755;2.695955
1720;1.984433;1.890172;2.352670;1.956891;2.015938
1730;2.065921;2.615829;2.221780;1.946124;2.419711
1740;2.543650;2.089385;2.059131;1.770655;2.017258
1750;2.108111;2.520011;2.349999;2.037465;2.031741
1760;2.030026;2.246782;2.391684;1.750935;2.285868
1770;2.059811;1.927493;1.890043;1.608707;2.137675
1780;1.779926;2.115604;2.386044;1.964900;2.139504
1790;2.076022;2.202606;1.785148;2.160267;1.756475
1800;1.970819;1.880556;2.001938;1.724926;1.901826
1810;2.169110;2.081087;2.239892;1.910246;1.519185
1820;2.007699;1.614027;1.755475;1.898242;2.201488
1830;2.105649;2.251932;1.910226;2.103700;2.033891
1840;1.876074;2.040315;1.972163;1.891713;1.832983
1850;2.073289;1.780258;2.071525;2.087324;2.177071
1860;1.098817;2.010756;1.806064;1.775968;1.757913
1870;1.765308;1.827407;1.957590;1.833499;1.725980
1880;2.052112;2.152916;2.098090;2.168651;2.125337
1890;1.612567;2.157363;2.042507;1.830282;1.519947
1900;1.744822;1.888220;1.813330;1.845753;1.961014
1910;1.909922;2.100225;1.536206;1.688342;1.700251
1920;1.633128;1.558995;1.610882;1.809589;1.607096
1930;1.747562;1.750152;2.148416;1.733282;1.742229
1940;2.407606;1.389707;2.029251;2.170806;1.848662
1950;1.533050;1.855867;1.776846;1.904621;1.590803
1960;1.930709;1.519730;1.876768;1.564981;1.758213
1970;1.625851;1.771306;1.947006;1.924354;1.543482
1980;1.801361;2.115883;1.643025;1.987132;1.977757
1990;1.303874;1.709212;1.688378;1.981983;1.532845
2000;2.130297;1.450257;2.106935;1.568007;2.107715
2010;1.618385;1.666786;1.678072;2.063354;1.958795
2020;1.688447;1.915624;1.992488;1.901224;1.591241
2030;1.796575;1.846315;1.741017;1.781401;1.781665
2040;1.686017;1.595824;1.637253;1.944603;1.408654
2050;1.623777;1.400949;1.609892;1.670852;1.703790
2060;1.606694;1.854364;2.274368;1.479148;2.046047
2070;1.671741;1.336514;1.403083;1.665971;1.924247
2080;2.002845;1.214905;1.398315;1.540190;1.636328
2090;1.951015;1.587152;1.451236;1.322926;1.836383
2100;1.557752;1.536730;1.622316;1.512829;2.142788
2110;1.443671;1.584484;1.692219;1.577349;1.751031
2120;1.458044;1.649836;1.763702;1.729931;1.949959
2130;1.690379;1.787237;1.436913;1.543970;1.557061
2140;1.618467;1.851852;1.262360;1.788455;1.610440
2150;1.320868;1.680814;1.768129;1.886727;1.512894
2160;1.593627;1.707780;1.591949;1.723494;1.603665
2170;1.324611;1.887277;1.485965;1.466718;1.367374
2180;2.244736;1.420512;1.652841;1.559960;1.954177
2190;1.620901;1.617122;1.468060;1.378510;1.618375
2200;1.835425;1.784244;1.790608;1.449025;1.586733
2210;1.586863;1.575232;1.945743;1.529937;1.654506
2220;1.563666;1.548941;1.664086;1.766349;1.286781
2230;1.728293;1.770156;1.473711;1.453601;1.670480
2240;1.620799;1.600047;1.390993;1.089671;1.393717
2250;1.475851;1.342763;1.373932;1.396387;1.591057
2260;1.755182;1.580670;1.561565;1.573125;1.169462
2270;1.789758;1.837729;1.070934;1.482891;1.616923
2280;1.065516;1.359116;1.690724;1.329112;1.401657
2290;1.430506;1.820594;1.213284;1.143225;1.480071
2300;1.564618;1.399523;1.525358;1.524417;1.963818
2310;1.359620;1.329982;0.894857;1.491884;1.679209
2320;1.765023;1.490731;1.539991;1.468197;1.657103
2330;1.286470;1.439374;1.493487;1.403699;1.400101
2340;1.625638;1.510668;1.372924;1.464288;1.456343
2350;1.329588;1.391950;1.380521;1.485999;1.642605
2360;1.289365;1.396912;1.558830;1.113991;1.347547
2370;1.630719;1.214388;1.402341;1.360991;1.237079
2380;1.661522;1.408927;1.736526;1.554609;1.507118
2390;1.394425;1.211333;1.382794;1.409535;1.406338
2400;1.865766;1.067823;1.743489;1.474999;1.412063
2410;1.561003;1.521196;1.558012;1.257239;1.022294
2420;1.404682;1.187535;1.324052;1.475842;1.170052
2430;1.536836;1.528168;1.206415;1.318946;1.311682
2440;1.341878;1.496682;1.290920;1.583026;1.845271
2450;1.249381;1.253757;1.304817;1.371215;1.268373
2460;1.630591;1.308813;1.613350;1.301622;1.147686
2470;1.609508;1.014167;1.367941;1.577226;1.754321
2480;1.195178;1.305846;1.407299;1.387786;1.202945
2490;1.277704;0.986178;1.090391;1.172790;1.351038
2500;1.247801;1.334402;1.220092;1.246481;1.411170
2510;1.469623;1.679288;1.337181;1.149187;1.319925
2520;1.254043;1.457937;1.343239;1.183864;1.090495
2530;0.965302;1.010538;1.449939;1.243536;1.521896
2540;1.074278;1.341391;1.484843;1.383072;1.406195
2550;1.083420;1.251139;1.379729;1.073967;1.183854
2560;1.248414;1.145114;0.989615;1.156510;1.217127
2570;1.277101;1.489335;1.158023;1.145421;1.381585
2580;1.347003;1.190651;1.353017;1.324332;1.144107
2590;1.444096;0.958353;1.460883;1.198712;1.401470
2600;0.968767;1.335489;1.038869;1.239084;1.382111
2610;1.368634;1.259928;1.301692;1.163470;1.220584
2620;1.426311;1.487122;1.289147;1.019224;1.091110
2630;1.225799;1.632700;1.121248;1.305373;1.194449
2640;1.452689;1.280137;1.243226;1.064774;1.398997
2650;1.713680;1.223479;1.078404;1.674035;1.149451
2660;0.918963;1.147533;1.290615;1.007914;1.372593
2670;1.119004;0.943188;1.190830;1.323770;1.455699
2680;0.903576;1.330085;1.046295;1.430980;1.777859
2690;1.563453;1.152495;1.415229;0.732743;1.157494
2700;1.218461;1.046869;1.154006;1.107027;1.385853
2710;1.480647;0.925798;1.177454;1.446256;1.381016
2720;0.937892;1.490035;0.792700;0.716461;1.548783
2730;1.389662;0.822865;1.083444;1.616711;1.548352
2740;1.365611;1.449472;1.123567;0.977711;1.225225
2750;0.850155;1.267683;1.389897;1.255864;1.375003
2760;1.744836;1.268991;1.069868;1.505499;0.963503
2770;1.131512;1.030745;1.456896;0.797992;1.328304
2780;1.162199;0.967718;1.305971;1.062186;0.973387
2790;1.170442;1.228433;1.194519;1.373266;1.220859
2800;1.288809;0.973245;1.290702;1.021820;1.190293
2810;1.254517;1.355733;1.586143;1.090864;1.149346
2820;1.172678;1.496949;0.925501;1.685224;0.781509
2830;1.335798;1.058374;1.037079;1.315752;1.163177
2840;1.148606;1.027786;1.054908;1.070670;0.887095
2850;1.225405;1.337871;1.328687;1.288151;0.992670
2860;1.075129;1.419689;0.614270;0.934748;0.960629
2870;1.618154;0.996477;1.643149;1.045435;1.377084
2880;1.112820;1.179930;1.059865;1.083874;1.370574
2890;1.136170;1.611011;0.938494;1.140678;1.020412
2900;0.967535;0.415582;0.931509;0.834118;1.078367
2910;1.153243;1.467038;1.109385;1.030471;0.897100
2920;1.260252;1.345175;1.178856;1.058408;1.330178
2930;1.341565;1.370578;1.274114;1.542998;1.406017
2940;1.342047;1.192394;0.634644;1.222330;1.134252
2950;0.915781;1.290892;1.062582;0.598440;1.153488
2960;1.508370;1.100999;1.244597;0.976794;1.101085
2970;1.106637;0.898658;0.983745;1.392023;0.998104
2980;1.030825;0.765416;0.967839;1.120121;1.179170
2990;1.335559;1.025614;1.009710;0.616741;0.995264
3000;0.735716;1.097302;1.427295;1.489738;0.951123
3010;1.008321;1.205263;1.515387;1.172454;0.942803
3020;1.404876;1.500470;1.314614;1.239134;0.788162
3030;1.139297;1.151690;1.077539;1.279773;1.099490
3040;1.160967;1.277438;1.120087;1.241674;1.336348
3050;1.077793;1.034717;1.171675;0.909714;1.082322
3060;1.263134;0.646995;0.975777;0.863639;1.215203
3070;1.236257;1.142002;1.093091;1.278505;0.708375
3080;1.131402;1.201640;1.377939;0.964863;0.944299
3090;0.692309;0.878094;1.162455;1.167345;1.312585
3100;0.864650;0.788231;0.953141;1.131545;1.343718
3110;0.861994;0.711818;1.129151;0.972847;1.280556
3120;0.812623;0.847149;1.061683;1.420499;1.062395
3130;0.944419;1.068954;1.184574;1.174694;0.874096
3140;0.872343;1.069186;0.507806;1.262280;0.917322
3150;1.297138;1.681795;0.737726;0.839197;1.036396
3160;1.311394;0.832367;1.070830;1.331911;0.914734
3170;0.928110;1.152568;1.171185;1.265907;0.933984
3180;1.122168;1.399951;1.027431;0.861147;1.023546
3190;1.522526;0.892415;0.964336;1.192514;1.243176
3200;1.303065;1.175222;1.090275;0.844636;1.044794
3210;0.888519;1.324304;1.251018;1.008237;1.109693
3220;1.015850;1.092240;0.968001;1.184343;1.375125
3230;1.289106;1.171255;1.213474;0.988076;1.290603
3240;0.600282;1.229446;0.741280;0.954611;0.760313
3250;0.869754;1.436765;0.837150;1.126976;1.025931
3260;1.057510;1.102845;1.058344;0.920713;1.084599
3270;0.934966;1.253249;1.331660;1.019739;1.102959
3280;1.311068;0.929999;1.046349;0.797241;0.864015
3290;1.247689;1.124055;0.940625;1.224315;1.013221
3300;1.224271;1.115779;1.108630;1.192841;1.003670
3310;0.788689;1.152818;1.165466;0.946954;0.952479
3320;1.309500;0.950823;1.200628;0.837952;0.914885
