Laser Delay [ns];TA [mOD]
-400;-0.062450
-390;-0.044190
-380;-0.002564
-370;-0.027157
-360;0.065982
-350;-0.059063
-340;-0.038360
-330;-0.027661
-320;-0.037969
-310;-0.101573
-300;-0.090402
-290;-0.005864
-280;-0.022168
-270;0.038321
-260;-0.036897
-250;-0.079659
-240;-0.066704
-230;-0.120177
-220;0.047609
-210;0.050813
-200;0.013411
-190;0.002554
-180;-0.065216
-170;0.038686
-160;-0.069722
-150;0.027890
-140;-0.083473
-130;-0.043340
-120;-0.109197
-110;-0.090832
-100;-0.099349
-90;-0.069644
-80;-0.068577
-70;0.168511
-60;-0.008046
-50;-0.011732
-40;-0.094330
-30;0.021855
-20;0.363794
-10;2.197745
0;4.837655
10;7.520943
20;10.198688
30;12.719879
40;15.433298
50;17.706728
60;20.195253
70;22.657978
80;25.068996
90;27.331831
100;29.489379
110;31.136400
120;31.389452
130;30.865324
140;30.475553
150;29.744883
160;29.394285
170;28.821971
180;28.323738
190;27.968912
200;27.355846
210;26.878918
220;26.366915
230;26.014780
240;25.592850
250;25.173834
260;24.776463
270;24.282194
280;23.792554
290;23.407502
300;23.086508
310;22.725869
320;22.344186
330;21.776213
340;21.475408
350;21.107079
360;20.636512
370;20.305321
380;20.092578
390;19.792749
400;19.398525
410;19.024505
420;18.672875
430;18.343434
440;17.977785
450;17.757392
460;17.486942
470;17.118238
480;16.740025
490;16.537566
500;16.288506
510;16.022012
520;15.698281
530;15.389400
540;15.262226
550;14.929568
560;14.685226
570;14.457064
580;14.174853
590;13.824259
600;13.692378
610;13.461324
620;13.151160
630;13.011731
640;12.716122
650;12.472849
660;12.248570
670;12.194833
680;11.818655
690;11.641191
700;11.451632
710;11.323962
720;11.119777
730;10.798993
740;10.565961
750;10.480839
760;10.274950
770;10.146666
780;9.926405
790;9.835653
800;9.570700
810;9.451564
820;9.261933
830;9.136311
840;8.936992
850;8.769962
860;8.600065
870;8.550536
880;8.310961
890;8.090540
900;8.001390
910;7.828384
920;7.832974
930;7.646676
940;7.512487
950;7.263648
960;7.259356
970;7.124179
980;7.005289
990;6.811252
1000;6.692788
1010;6.562118
1020;6.396582
1030;6.338647
1040;6.246207
1050;6.161384
1060;6.070044
1070;6.058738
1080;5.892836
1090;5.660845
1100;5.710462
1110;5.547112
1120;5.393217
1130;5.293718
1140;5.277368
1150;5.101984
1160;5.013463
1170;5.018852
1180;4.916207
1190;4.833987
1200;4.833080
1210;4.574972
1220;4.582368
1230;4.400288
1240;4.364093
1250;4.267109
1260;4.200248
1270;4.088198
1280;4.029006
1290;3.942530
1300;3.911978
1310;3.706495
1320;3.770968
1330;3.787006
1340;3.644640
1350;3.479545
1360;3.507351
1370;3.378419
1380;3.456337
1390;3.301588
1400;3.289022
1410;3.122216
1420;3.106861
1430;3.059555
1440;2.993026
1450;2.929427
1460;2.852882
1470;2.853397
1480;2.865887
1490;2.879069
1500;2.790246
1510;2.645118
1520;2.562407
1530;2.646972
1540;2.501875
1550;2.517478
1560;2.464294
1570;2.435963
1580;2.338566
1590;2.388882
1600;2.034104
1610;2.214132
1620;2.043326
1630;2.150564
1640;2.126429
1650;1.987894
1660;1.973675
1670;1.934508
1680;1.902100
1690;1.956985
1700;1.815417
1710;1.828736
1720;1.752636
1730;1.795306
1740;1.782483
1750;1.760228
1760;1.697596
1770;1.654860
1780;1.597456
1790;1.621178
1800;1.549457
1810;1.542309
1820;1.445347
1830;1.462555
1840;1.387920
1850;1.425577
1860;1.332518
1870;1.399139
1880;1.275241
1890;1.204074
1900;1.272031
1910;1.263174
1920;1.100764
1930;1.240715
1940;1.113618
1950;1.132506
1960;1.017646
1970;1.181240
1980;1.008778
1990;1.060784
2000;0.985754
2010;0.976496
2020;1.057299
2030;0.944322
2040;1.025681
2050;0.932680
2060;0.809744
2070;0.831556
2080;0.828683
2090;0.900911
2100;0.865801
2110;0.735776
2120;0.796270
2130;0.894167
2140;0.747307
2150;0.832899
2160;0.569993
2170;0.685328
2180;0.733224
2190;0.707097
2200;0.734840
2210;0.598866
2220;0.653415
2230;0.618816
2240;0.563523
2250;0.570018
2260;0.563301
2270;0.540989
2280;0.541135
2290;0.610014
2300;0.538475
2310;0.519342
2320;0.483410
2330;0.460968
2340;0.613133
2350;0.425218
2360;0.346889
2370;0.445762
2380;0.380911
2390;0.442814
2400;0.473579
2410;0.309274
2420;0.486574
2430;0.263563
2440;0.329834
2450;0.398891
2460;0.351218
2470;0.373699
2480;0.352170
2490;0.327340
2500;0.315068
2510;0.360173
2520;0.366045
2530;0.147285
2540;0.306900
2550;0.250400
2560;0.152050
2570;0.273348
2580;0.345854
2590;0.327923
2600;0.302804
2610;0.227712
2620;0.101480
2630;0.307018
2640;0.239180
2650;0.188499
2660;0.231037
2670;0.167736
2680;0.230909
2690;0.162487
2700;0.086604
2710;0.116158
2720;0.149281
2730;0.144018
2740;0.143302
2750;0.175498
2760;0.143213
2770;0.088494
2780;0.112213
2790;0.032764
2800;0.106821
2810;0.133847
2820;0.244902
2830;0.177412
2840;0.104876
2850;0.051374
2860;0.187941
2870;0.093609
2880;0.191171
2890;0.030498
2900;0.112638
2910;0.108318
2920;0.147774
2930;-0.040452
2940;0.051929
2950;0.041591
2960;0.035506
2970;0.066517
2980;0.089791
2990;-0.119097
3000;0.143639
3010;0.060476
3020;0.084293
3030;-0.074207
3040;0.108609
3050;0.060540
3060;-0.004698
3070;-0.008865
3080;0.039364
3090;0.040205
3100;0.065867
3110;0.060137
3120;0.057513
3130;0.012687
3140;-0.037916
3150;-0.030687
3160;-0.045186
3170;-0.003388
3180;-0.142064
3190;0.033724
3200;0.021005
3210;-0.011703
3220;-0.010623
3230;-0.016528
3240;-0.071438
3250;-0.120200
3260;-0.021180
3270;-0.062233
3280;-0.060014
3290;0.062191
3300;-0.063065
3310;-0.013042
3320;0.012764
3330;0.033094
3340;-0.044812
3350;-0.078200
3360;-0.083012
3370;0.066214
3380;-0.081066
3390;-0.154168
3400;0.036563
3410;-0.087058
3420;-0.118809
3430;-0.104805
3440;-0.140053
3450;-0.039516
3460;-0.058810
3470;-0.118631
3480;-0.085688
3490;-0.026470
3500;-0.055502
3510;-0.013607
3520;-0.008780
3530;-0.113265
3540;-0.012524
3550;-0.099428
3560;-0.049763
3570;-0.100466
3580;-0.112549
3590;-0.165126
3600;-0.157796
3610;-0.129866
3620;-0.179932
3630;-0.085144
3640;-0.009448
3650;-0.180161
3660;-0.075881
3670;-0.209803
3680;-0.169574
3690;-0.246948
3700;-0.125703
3710;-0.081939
3720;-0.158226
3730;-0.200154
3740;-0.052509
3750;-0.166668
3760;-0.041937
3770;-0.102044
3780;-0.031622
3790;-0.136600
3800;-0.087374
3810;-0.116717
3820;-0.125055
3830;-0.204932
3840;-0.187508
3850;-0.146505
3860;-0.119596
3870;-0.290703
3880;-0.141500
3890;-0.148062
3900;-0.137819
3910;-0.050515
3920;-0.196389
3930;-0.161562
3940;-0.106888
3950;-0.061460
3960;-0.138795
3970;-0.153960
3980;-0.030082
3990;-0.061819
4000;-0.172292
4010;-0.210029
4020;-0.245874
4030;-0.145849
4040;-0.105892
4050;-0.025908
4060;-0.056774
4070;-0.059625
4080;-0.124055
4090;-0.214576
4100;-0.098599
4110;-0.116147
4120;-0.226656
4130;-0.158361
4140;-0.090459
4150;-0.054995
4160;-0.160256
4170;-0.028025
4180;-0.214363
4190;-0.185828
4200;-0.127705
4210;-0.166240
4220;-0.100495
4230;-0.048926
4240;-0.178293
4250;-0.141660
4260;-0.151093
4270;-0.128929
4280;-0.154635
4290;-0.100331
4300;-0.149038
4310;-0.100002
4320;-0.048792
4330;-0.098985
4340;-0.165646
4350;-0.153106
4360;-0.096845
4370;-0.191075
4380;-0.218027
4390;-0.138801
4400;-0.063404
4410;-0.155060
4420;-0.142913
4430;-0.120237
4440;-0.085804
4450;-0.106457
4460;-0.194350
4470;-0.041008
4480;-0.206501
4490;-0.154294
4500;-0.064665
4510;-0.238388
4520;-0.066710
4530;-0.145418
4540;-0.145351
4550;-0.212621
4560;-0.115916
4570;-0.159345
4580;-0.214621
4590;-0.095278
4600;-0.208543
4610;-0.214702
4620;-0.147095
4630;-0.098702
4640;-0.112038
4650;-0.162625
4660;-0.168455
4670;-0.137205
4680;-0.189167
4690;-0.143888
4700;-0.196620
4710;-0.139930
4720;-0.143031
4730;-0.231987
4740;-0.096962
4750;-0.153934
4760;-0.258906
4770;-0.157851
4780;-0.049186
4790;-0.185043
4800;-0.185793
4810;-0.182350
4820;-0.130891
4830;-0.183155
4840;-0.220281
4850;-0.161882
4860;-0.086175
4870;-0.265600
4880;-0.139283
4890;-0.249738
4900;-0.170910
4910;-0.207220
4920;-0.125222
4930;-0.277149
4940;-0.147020
4950;-0.184740
4960;-0.143322
4970;-0.258601
4980;-0.086932
4990;-0.180823
5000;-0.193059
