Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;0.113861;-0.091980;-0.141117;0.066981;-0.259997
-390;0.082148;-0.414089;-0.012492;0.014583;0.108900
-380;-0.075615;0.128159;-0.133259;-0.180334;0.248232
-370;-0.035119;-0.057162;-0.241662;0.091220;0.106939
-360;-0.013165;0.070988;0.115344;0.049095;0.107648
-350;-0.080483;-0.026658;-0.031251;-0.173613;0.016690
-340;0.037073;-0.059476;0.069653;-0.263664;0.024614
-330;0.030718;-0.039876;0.066344;-0.114123;-0.081366
-320;-0.103768;0.003388;-0.071210;-0.040429;0.022173
-310;-0.207535;-0.035108;-0.185212;0.022089;-0.102102
-300;0.199181;-0.072654;-0.269325;-0.271995;-0.037217
-290;-0.032934;0.040138;0.125252;0.009609;-0.171382
-280;-0.061069;0.112226;0.014996;-0.043003;-0.133991
-270;0.111948;-0.002109;-0.062952;0.305639;-0.160921
-260;-0.215578;-0.091889;0.063757;0.037541;0.021681
-250;-0.137381;-0.073412;-0.064558;-0.030806;-0.092138
-240;0.086743;0.019847;-0.151595;-0.062062;-0.226454
-230;-0.195230;-0.006347;0.062978;-0.394361;-0.067925
-220;0.055429;0.085520;-0.048781;0.039566;0.106311
-210;0.135467;-0.148318;0.213633;0.045778;0.007504
-200;0.260247;0.013507;-0.136691;-0.001665;-0.068341
-190;0.258913;-0.155507;-0.048301;-0.171176;0.128844
-180;-0.089440;-0.012683;-0.030003;0.043306;-0.237261
-170;-0.045130;0.032892;-0.075803;0.016223;0.265247
-160;-0.212725;-0.068656;-0.093318;0.084520;-0.058431
-150;0.080855;-0.020205;0.099624;-0.024579;0.003755
-140;-0.117468;-0.063536;-0.218780;0.034167;-0.051747
-130;-0.144389;-0.077549;0.085366;-0.133540;0.053410
-120;-0.064319;-0.204015;-0.119563;-0.035333;-0.122753
-110;-0.035745;-0.104974;-0.122979;-0.116218;-0.074242
-100;-0.212274;-0.014742;-0.208346;0.067182;-0.128564
-90;-0.066770;-0.205282;-0.061695;0.109981;-0.124452
-80;-0.161193;-0.125131;0.024656;-0.087484;0.006268
-70;0.317207;0.307240;0.326519;-0.138978;0.030569
-60;-0.048183;-0.069525;0.035829;0.065031;-0.023385
-50;0.150474;-0.147430;-0.065605;0.098680;-0.094780
-40;-0.074053;0.031181;0.012086;-0.350176;-0.090687
-30;0.075008;0.142127;-0.197920;0.061226;0.028833
-20;0.329316;0.191283;0.306115;0.599839;0.392417
-10;2.109294;2.262907;2.335108;2.058937;2.222477
0;4.719458;4.873683;4.717536;5.152524;4.725073
10;7.435392;7.675806;7.427938;7.479354;7.586222
20;10.145073;10.212201;10.082884;10.255911;10.297370
30;12.516506;12.703793;12.882194;12.811606;12.685298
40;15.336695;15.243174;15.344905;15.628693;15.613025
50;17.433170;17.617157;17.782614;17.795717;17.904983
60;20.113954;20.080296;20.226275;20.271661;20.284081
70;22.446821;22.509528;22.915966;22.903141;22.514433
80;24.815019;24.952420;25.023794;25.216914;25.336835
90;27.061180;27.360835;27.279713;27.392307;27.565117
100;29.382311;29.321580;29.439109;29.687287;29.616606
110;30.895851;31.114519;31.237621;31.158693;31.275315
120;31.051116;31.464157;31.386558;31.556976;31.488452
130;30.849692;30.717668;30.916353;30.843971;30.998937
140;30.224772;30.258742;30.526629;30.554449;30.813172
150;29.435576;29.794511;29.937635;29.830666;29.726027
160;29.015134;29.367142;29.351508;29.646034;29.591607
170;28.249808;28.781243;28.976528;28.817042;29.285232
180;27.743888;28.108999;28.624422;28.585900;28.555482
190;27.646565;27.952932;28.243057;28.009858;27.992148
200;27.183114;27.065837;27.715526;27.305530;27.509225
210;26.545327;26.608850;27.053996;27.239456;26.946960
220;26.084251;26.057145;26.677195;26.396834;26.619151
230;25.817381;26.003626;26.070465;26.094130;26.088299
240;25.086297;25.546335;25.829836;25.734684;25.767096
250;24.899945;25.125016;25.191056;25.421034;25.232119
260;24.614969;24.530113;24.839818;25.044261;24.853154
270;24.112511;24.282222;24.410838;24.502847;24.102554
280;23.655183;23.690188;23.724433;23.961881;23.931085
290;23.408275;23.351802;23.197902;23.542307;23.537225
300;22.779092;22.944760;23.269194;23.145097;23.294398
310;22.606526;22.598371;22.716362;22.895952;22.812132
320;22.054690;22.138795;22.340452;22.425739;22.761256
330;21.650847;21.701009;21.912716;21.575986;22.040508
340;21.284937;21.395145;21.448405;21.530951;21.717600
350;21.011513;21.026130;20.806001;21.172605;21.519144
360;20.350898;20.469272;20.490614;20.933254;20.938522
370;20.136320;20.042226;20.216938;20.745946;20.385173
380;20.148470;19.908541;20.075791;20.047470;20.282618
390;19.705705;19.800736;19.692960;19.828178;19.936168
400;19.238817;19.620955;19.616095;19.262307;19.254453
410;18.606564;19.151271;18.949389;19.264778;19.150523
420;18.503275;18.605197;18.521780;18.784107;18.950014
430;18.158481;18.039213;18.351560;18.520420;18.647496
440;17.756765;17.915151;18.194890;17.918914;18.103206
450;17.546385;18.003082;17.796866;17.757393;17.683234
460;17.117145;17.526139;17.578176;17.555792;17.657458
470;16.846959;16.894061;17.195772;17.290886;17.363513
480;16.572648;16.695667;16.697002;16.775949;16.958859
490;16.495542;16.509946;16.665968;16.255350;16.761026
500;16.230841;16.161673;16.470392;16.226951;16.352673
510;16.004088;16.090979;15.756863;16.095466;16.162664
520;15.604024;15.652855;15.455802;15.895185;15.883538
530;15.216165;15.357508;15.019018;15.648785;15.705525
540;15.068694;15.224059;15.282320;15.482843;15.253213
550;14.917774;15.056634;14.840499;15.013464;14.819468
560;14.234591;14.833309;14.618869;14.904334;14.835029
570;14.413861;14.618532;14.534840;14.349410;14.368675
580;14.216550;14.080248;14.095794;14.360584;14.121087
590;13.754753;13.809201;13.620831;13.822397;14.114114
600;13.552295;13.639729;13.695236;13.841712;13.732919
610;13.218586;13.579819;13.473634;13.415689;13.618892
620;13.161215;12.822273;13.314104;13.200418;13.257789
630;12.803253;12.944378;13.119892;13.167190;13.023940
640;12.488671;12.633421;12.826880;12.804070;12.827567
650;12.278347;12.485013;12.527511;12.534213;12.539159
660;11.995992;12.485373;12.021524;12.396624;12.343337
670;12.205045;12.170554;12.114401;12.403144;12.081023
680;11.568325;11.754610;11.783778;11.963753;12.022809
690;11.507152;11.755981;11.530233;11.747971;11.664615
700;11.462843;11.257539;11.541853;11.557069;11.438857
710;11.094811;11.085315;11.295016;11.482515;11.662155
720;11.148491;10.996434;10.946361;11.208141;11.299457
730;10.829328;10.815845;10.543153;10.847790;10.958848
740;10.430881;10.560622;10.588961;10.570518;10.678821
750;10.070514;10.532124;10.500039;10.654168;10.647351
760;10.256965;10.164076;10.403681;10.303663;10.246364
770;9.979528;10.091561;10.171168;10.273486;10.217588
780;9.712182;9.974203;9.890679;10.018226;10.036737
790;9.755727;9.823191;9.887674;9.864808;9.846863
800;9.555284;9.405005;9.659347;9.469318;9.764544
810;9.412108;9.283014;9.594382;9.439362;9.528955
820;9.131510;9.343398;9.135665;9.268524;9.430567
830;9.095340;9.144762;9.062751;9.265488;9.113214
840;8.774427;8.877734;9.023322;9.048434;8.961042
850;8.831544;8.715647;8.773533;8.832782;8.696305
860;8.440724;8.667123;8.558089;8.621047;8.713339
870;8.425331;8.764064;8.665276;8.387671;8.510335
880;8.310091;8.654328;8.084651;8.215891;8.289844
890;8.043340;7.925226;8.073176;8.250818;8.160140
900;7.669784;7.998676;7.950749;8.257719;8.130020
910;7.813102;7.651238;7.796346;8.035481;7.845752
920;7.825940;7.784579;7.853454;7.870974;7.829922
930;7.595726;7.450497;7.845870;7.762633;7.578654
940;7.475799;7.531352;7.495930;7.603354;7.456001
950;7.032647;7.423381;7.214550;7.346833;7.300829
960;7.359934;7.112098;7.155782;7.266517;7.402448
970;6.861349;7.251902;7.102948;7.224041;7.180653
980;6.871395;6.857032;7.141863;7.090574;7.065581
990;6.758692;6.573611;6.886767;6.880946;6.956243
1000;6.402695;6.708806;6.608675;6.918765;6.825000
1010;6.279642;6.527314;6.393584;6.607251;7.002801
1020;6.337818;6.514431;6.402626;6.545607;6.182427
1030;6.203096;6.384211;6.417902;6.173096;6.514928
1040;6.268881;6.480650;6.029445;6.104665;6.347396
1050;6.003115;6.313430;6.155225;6.023996;6.311156
1060;6.024214;6.074945;6.065455;6.045648;6.139960
1070;6.127458;6.261917;5.876573;6.118347;5.909394
1080;5.493904;5.899031;5.894159;6.319415;5.857671
1090;5.673612;5.592692;5.722914;5.571517;5.743492
1100;5.590669;5.820396;5.707442;5.729739;5.704063
1110;5.669185;5.486206;5.288275;5.616128;5.675767
1120;5.420158;5.405471;5.258719;5.515208;5.366528
1130;5.174314;5.208842;5.070743;5.440900;5.573793
1140;5.307398;5.359255;5.262679;5.235983;5.221524
1150;5.112712;5.123307;5.226597;5.327959;4.719345
1160;4.864380;4.917044;5.085349;5.063549;5.136994
1170;4.847314;5.232398;4.934173;5.167547;4.912829
1180;4.937401;4.822019;4.936675;4.851918;5.033021
1190;4.754062;4.949953;4.897091;4.753786;4.815042
1200;4.755181;4.615254;4.919235;5.044610;4.831118
1210;4.530112;4.488032;4.539856;4.851045;4.465815
1220;4.724159;4.634366;4.565780;4.474318;4.513216
1230;4.159551;4.368257;4.344474;4.646363;4.482798
1240;4.565909;4.170170;4.392001;4.336938;4.355445
1250;4.378583;4.167511;4.282949;4.398740;4.107760
1260;4.257244;4.232916;4.282016;4.147093;4.081971
1270;3.969371;4.201298;4.048013;4.009710;4.212601
1280;3.940529;3.914975;3.961245;4.131383;4.196896
1290;3.855006;4.104629;3.838662;3.868498;4.045852
1300;3.861080;4.032323;3.802459;3.867696;3.996335
1310;3.753304;3.671112;3.727796;3.576899;3.803363
1320;3.533289;3.855951;3.788614;3.801199;3.875786
1330;3.637382;3.881983;3.791742;3.943836;3.680086
1340;3.752332;3.578308;3.662370;3.547944;3.682247
1350;3.480821;3.348388;3.417153;3.550325;3.601041
1360;3.621668;3.437608;3.238104;3.673556;3.565817
1370;3.299946;3.464175;3.220137;3.373610;3.534227
1380;3.313677;3.382410;3.520796;3.613611;3.451189
1390;3.277433;3.255712;3.426487;3.184932;3.363376
1400;3.084217;3.322937;3.409498;3.271366;3.357094
1410;3.366519;3.057139;2.950576;3.094186;3.142662
1420;3.120993;3.056166;3.096917;3.155918;3.104312
1430;3.157616;2.972912;2.986156;2.970615;3.210475
1440;2.989445;2.629576;3.182574;3.108173;3.055360
1450;2.926480;2.860424;2.966133;3.048212;2.845886
1460;2.893057;2.939974;2.713214;2.755008;2.963156
1470;2.789281;2.749195;2.958769;2.965694;2.804047
1480;2.825291;2.695047;2.849984;3.153993;2.805122
1490;3.043815;2.796063;2.958927;2.756788;2.839752
1500;2.835138;2.603607;2.812506;3.007650;2.692330
1510;2.369785;2.827228;2.576327;2.756550;2.695699
1520;2.538436;2.646834;2.478803;2.515465;2.632496
1530;2.530085;2.696221;2.585696;2.680550;2.742307
1540;2.186195;2.480931;2.682992;2.549657;2.609601
1550;2.604549;2.485274;2.441694;2.447891;2.607984
1560;2.286661;2.360380;2.611852;2.339093;2.723483
1570;2.488280;2.477015;2.534035;2.357760;2.322725
1580;2.241128;2.495832;2.216968;2.489027;2.249876
1590;2.114695;2.576296;2.367859;2.468447;2.417113
1600;2.055165;2.090526;2.218865;1.975637;1.830328
1610;2.242691;2.192500;2.113442;2.112703;2.409324
1620;2.063376;2.274988;2.050722;1.805618;2.021924
1630;2.142970;2.106752;2.167414;2.210084;2.125601
1640;2.204498;2.123735;2.037879;2.262535;2.003495
1650;1.996324;2.090831;2.169390;1.712871;1.970054
1660;1.963062;2.043545;1.762984;1.920981;2.177802
1670;1.941846;1.808757;2.074262;1.982920;1.864757
1680;2.005388;2.159529;1.842982;1.795409;1.707191
1690;1.972575;1.749809;1.844148;2.147190;2.071205
1700;1.719741;1.944872;1.875389;1.861026;1.676059
1710;1.887756;1.884771;1.745061;1.794438;1.831652
1720;1.874560;1.794383;1.703884;1.871457;1.518895
1730;1.690831;1.834605;1.693870;1.821703;1.935520
1740;1.635142;1.851018;1.726792;1.730203;1.969262
1750;1.795402;1.752945;1.633224;1.835892;1.783676
1760;1.578727;1.859500;1.610799;1.740416;1.698538
1770;1.623731;1.638386;1.673709;1.655162;1.683311
1780;1.618805;1.499274;1.633688;1.627760;1.607754
1790;1.510012;1.600508;1.732527;1.511202;1.751642
1800;1.627809;1.546393;1.399082;1.450877;1.723123
1810;1.512304;1.386376;1.601744;1.661769;1.549352
1820;1.537519;1.518668;1.415172;1.347410;1.407967
1830;1.438311;1.433655;1.268227;1.571967;1.600613
1840;1.264162;1.277940;1.351946;1.558623;1.486928
1850;1.412589;1.409901;1.234237;1.641936;1.429221
1860;1.409331;1.341786;1.331872;1.341361;1.238242
1870;1.396296;1.427740;1.183984;1.381833;1.605839
1880;1.156706;1.259273;1.199691;1.402784;1.357753
1890;1.019184;1.281413;1.196769;1.321207;1.201799
1900;0.983656;1.369188;1.462841;1.257480;1.286992
1910;1.177978;1.265898;1.176836;1.494127;1.201033
1920;1.283234;0.864675;1.256952;1.007174;1.091785
1930;1.276432;1.391811;1.104714;1.451789;0.978830
1940;1.183247;0.906373;1.167798;1.013914;1.296757
1950;1.010123;1.014898;1.178655;1.339410;1.119445
1960;1.022008;1.115027;1.066339;0.819597;1.065260
