Laser Delay [ns];TA [mOD]
-400;-0.081239
-390;-0.044760
-380;0.012385
-370;-0.007202
-360;0.019416
-350;0.005546
-340;0.033758
-330;0.035217
-320;0.044821
-310;0.028125
-300;0.031179
-290;-0.048607
-280;0.047236
-270;-0.048328
-260;-0.003840
-250;0.032966
-240;-0.054267
-230;0.043481
-220;-0.074245
-210;-0.014788
-200;-0.013059
-190;-0.000279
-180;0.012579
-170;-0.046852
-160;0.013563
-150;0.002299
-140;0.020524
-130;0.013418
-120;0.053985
-110;0.046412
-100;-0.021352
-90;-0.062201
-80;-0.037614
-70;0.044206
-60;-0.003623
-50;-0.039092
-40;-0.040469
-30;-0.563610
-20;-1.107973
-10;-1.963152
0;-2.784457
10;-3.644438
20;-4.419796
30;-4.973350
40;-5.603086
50;-6.122576
60;-6.548413
70;-6.985690
80;-7.413755
90;-7.666652
100;-7.541568
110;-7.244353
120;-6.812396
130;-6.349086
140;-5.832482
150;-5.553593
160;-5.141873
170;-4.741107
180;-4.512447
190;-4.078126
200;-3.854017
210;-3.558634
220;-3.418882
230;-3.169478
240;-2.979814
250;-2.848255
260;-2.560447
270;-2.417543
280;-2.304599
290;-2.136418
300;-1.948856
310;-1.824066
320;-1.791959
330;-1.668281
340;-1.518615
350;-1.365560
360;-1.333587
370;-1.263505
380;-1.149027
390;-1.089832
400;-0.928625
410;-0.967947
420;-0.910245
430;-0.853647
440;-0.727524
450;-0.693460
460;-0.665909
470;-0.658659
480;-0.590096
490;-0.591006
500;-0.528137
510;-0.481624
520;-0.544577
530;-0.449191
540;-0.400811
550;-0.387717
560;-0.322329
570;-0.322864
580;-0.246779
590;-0.358399
600;-0.208880
610;-0.190537
620;-0.272565
630;-0.300110
640;-0.244244
650;-0.175549
660;-0.200566
670;-0.101111
680;-0.100909
690;-0.165343
700;-0.156898
710;-0.189538
720;-0.119841
730;-0.102855
740;-0.059108
750;-0.068770
760;-0.080670
770;-0.116002
780;-0.059271
790;-0.095582
800;-0.101433
810;-0.022401
820;-0.103887
830;-0.049528
840;-0.013668
850;-0.046594
860;-0.066156
870;-0.068806
880;-0.043419
890;0.063205
900;-0.035468
910;-0.007453
920;0.055528
930;0.067984
940;-0.075885
950;-0.014785
960;-0.015313
970;-0.008269
980;-0.012177
990;-0.001524
1000;0.033741
1010;-0.025446
1020;0.009946
1030;-0.010823
1040;-0.012949
1050;-0.061621
1060;0.005459
1070;0.004966
1080;0.022973
1090;0.025680
1100;-0.006240
1110;0.053847
1120;-0.074072
1130;0.025381
1140;-0.004070
1150;0.075321
1160;-0.002009
1170;0.044435
1180;0.021097
1190;0.001153
1200;-0.035686
1210;-0.018401
1220;-0.038985
1230;0.016519
1240;0.000274
1250;0.025917
1260;0.012808
1270;-0.060954
1280;0.007566
1290;0.016105
1300;-0.053885
1310;0.030086
1320;0.002132
1330;-0.027415
1340;0.003864
1350;0.007225
1360;0.014221
1370;0.011617
1380;0.035199
1390;-0.077929
1400;0.059779
1410;-0.033881
1420;-0.025726
1430;0.033931
1440;0.046589
1450;-0.018257
1460;0.026074
1470;0.018068
1480;-0.016452
1490;0.032947
1500;0.058044
1510;0.035554
1520;-0.023670
1530;-0.050687
1540;0.023561
1550;-0.050622
1560;-0.128200
1570;0.063880
1580;0.000677
1590;0.101358
1600;-0.025251
1610;-0.068030
1620;0.087680
1630;0.091702
1640;-0.019381
1650;0.023968
1660;0.018093
1670;0.033494
1680;0.016840
1690;0.005026
1700;0.011083
1710;0.069591
1720;-0.059113
1730;0.025740
1740;-0.041313
1750;0.037676
1760;0.084323
1770;0.126492
1780;0.034121
1790;-0.048165
1800;-0.123310
1810;0.047610
1820;0.016182
1830;-0.016978
1840;-0.062624
1850;-0.005735
1860;-0.068153
1870;0.000055
1880;-0.039526
1890;-0.088782
1900;0.073379
1910;-0.003632
1920;-0.059227
1930;0.038225
1940;-0.051131
1950;0.117799
1960;0.040366
1970;0.034942
1980;0.041444
1990;0.012287
2000;-0.038498
