Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;0.045534;-0.087386;-0.185886;-0.146607;-0.031852
-390;-0.152502;0.055688;-0.030921;-0.094365;-0.001702
-380;0.072891;0.098751;-0.210986;-0.026229;0.127498
-370;-0.146516;0.100511;-0.000844;0.074978;-0.064140
-360;-0.060194;-0.197080;0.409107;-0.067066;0.012312
-350;-0.046325;-0.061183;-0.017687;0.035580;0.117345
-340;0.082121;-0.117733;0.145211;-0.118852;0.178042
-330;0.023577;0.134106;-0.001690;0.027275;-0.007184
-320;0.267396;0.081340;0.009291;-0.077679;-0.056243
-310;0.141516;-0.105459;0.107163;-0.096879;0.094283
-300;-0.130907;0.214981;0.111342;-0.055164;0.015642
-290;-0.078929;-0.205131;0.021078;-0.078960;0.098909
-280;0.003799;0.147199;0.076445;0.055660;-0.046924
-270;-0.098544;-0.048533;-0.068383;0.104497;-0.130678
-260;-0.031589;0.046817;-0.013507;-0.052606;0.031684
-250;-0.067021;0.007588;0.045649;-0.036938;0.215552
-240;0.018107;0.016886;-0.061717;-0.186224;-0.058388
-230;0.189759;0.060334;0.037231;-0.145639;0.075722
-220;-0.072065;-0.010552;-0.108322;-0.171402;-0.008883
-210;-0.060290;-0.020667;0.101011;-0.038593;-0.055402
-200;0.072482;0.028290;-0.159355;0.075319;-0.082030
-190;0.056896;0.162982;-0.232285;0.025410;-0.014398
-180;-0.103838;0.036271;0.172370;-0.046989;0.005083
-170;-0.054389;-0.151499;0.002110;0.057552;-0.088032
-160;0.111201;0.153146;-0.094038;-0.212993;0.110501
-150;0.010509;-0.077254;-0.013913;0.019058;0.073094
-140;-0.119733;0.245751;-0.008443;-0.055516;0.040563
-130;0.276039;0.008859;-0.127056;0.005505;-0.096257
-120;0.054738;0.089857;0.139823;-0.186081;0.171588
-110;-0.047199;0.125584;0.209054;-0.016937;-0.038442
-100;-0.049729;-0.036259;-0.096266;-0.035567;0.111059
-90;0.090115;-0.220973;-0.054039;-0.118513;-0.007596
-80;0.092416;-0.084379;0.008025;-0.052919;-0.151213
-70;0.054638;0.051444;-0.005915;-0.027086;0.147948
-60;-0.048015;-0.067042;-0.206915;0.189797;0.114058
-50;-0.091319;-0.083893;-0.037553;-0.016521;0.033828
-40;-0.064114;-0.201917;0.141031;-0.236293;0.158947
-30;-0.697693;-0.479503;-0.447870;-0.424433;-0.768552
-20;-1.113089;-1.049594;-1.054394;-1.154666;-1.168124
-10;-1.914078;-1.973903;-2.064379;-2.045723;-1.817676
0;-2.957993;-2.860681;-2.790699;-2.701718;-2.611196
