Laser Delay [ns];TA [mOD]
-400;0.085149
-390;-0.006094
-380;0.009983
-370;0.015990
-360;0.035196
-350;0.067594
-340;0.054604
-330;-0.000372
-320;0.023048
-310;-0.007281
-300;0.029061
-290;0.015258
-280;-0.037742
-270;0.009044
-260;-0.083523
-250;0.081200
-240;-0.003304
-230;0.000630
-220;-0.061003
-210;0.030320
-200;-0.013980
-190;-0.078405
-180;0.075845
-170;0.002983
-160;-0.009637
-150;0.069566
-140;0.008554
-130;0.022894
-120;-0.006361
-110;0.022516
-100;0.011592
-90;-0.007673
-80;-0.034356
-70;0.038562
-60;-0.023328
-50;0.009364
-40;-0.029388
-30;0.018606
-20;0.025501
-10;-0.042755
0;0.045837
10;0.020854
20;0.126225
30;0.173717
40;0.220889
50;0.183713
60;0.170743
70;0.222191
80;0.332650
90;0.322178
100;0.458902
110;0.347948
120;0.352376
130;0.308989
140;0.305524
150;0.296569
160;0.320897
170;0.328396
180;0.388880
190;0.423056
200;0.409434
210;0.366153
220;0.346706
230;0.343925
240;0.318786
250;0.318229
260;0.308291
270;0.348084
280;0.269455
290;0.335652
300;0.264030
310;0.347840
320;0.300308
330;0.342570
340;0.379093
350;0.412685
360;0.301441
370;0.205789
380;0.271546
390;0.271697
400;0.259062
410;0.230729
420;0.342176
430;0.274182
440;0.284717
450;0.162023
460;0.160906
470;0.328317
480;0.189878
490;0.181473
500;0.306875
510;0.289957
520;0.380857
530;0.253719
540;0.176059
550;0.261941
560;0.351382
570;0.276647
580;0.316598
590;0.278057
600;0.247126
610;0.259478
620;0.366199
630;0.304103
640;0.295841
650;0.293477
660;0.257826
670;0.269454
680;0.252209
690;0.190870
700;0.229128
710;0.256823
720;0.138766
730;0.168714
740;0.236235
750;0.335180
760;0.129602
770;0.275213
780;0.121537
790;0.254287
800;0.188962
810;0.168840
820;0.089716
830;0.252030
840;0.183297
850;0.153093
860;0.225407
870;0.253595
880;0.265979
890;0.197334
900;0.266613
910;0.135526
920;0.219305
930;0.162029
940;0.214449
950;0.257805
960;0.162963
970;0.282731
980;0.116316
990;0.190604
1000;0.190675
1010;0.183669
1020;0.147101
1030;0.164070
1040;0.213614
1050;0.172371
1060;0.153440
1070;0.162616
1080;0.275157
1090;0.128938
1100;0.141362
1110;0.256670
1120;0.173923
1130;0.151759
1140;0.070137
1150;0.150730
1160;0.095370
1170;0.141653
1180;0.095542
1190;0.122565
1200;0.159223
1210;0.109585
1220;0.094406
1230;0.154783
1240;0.139801
1250;0.052005
1260;0.220010
1270;0.184693
1280;0.220851
1290;0.141685
1300;0.168563
1310;0.108304
1320;0.179724
1330;0.105378
1340;0.149998
1350;0.129819
1360;0.091123
1370;0.134952
1380;0.145333
1390;0.200024
1400;0.083367
1410;0.200221
1420;0.128510
1430;0.200114
1440;0.100027
1450;0.216202
1460;0.046512
1470;0.096170
1480;0.071800
1490;0.068339
1500;0.101377
1510;0.129485
1520;0.116264
1530;0.056273
1540;0.110416
1550;0.061970
1560;0.103474
1570;0.154581
1580;0.126037
1590;0.233157
1600;0.049131
1610;0.122678
1620;0.080990
1630;0.036182
1640;0.237405
1650;0.102219
1660;0.179567
1670;0.090187
1680;0.112550
1690;0.104109
1700;0.137910
1710;0.041841
1720;0.129441
1730;0.135633
1740;0.088078
1750;0.102104
1760;0.094327
1770;0.125835
1780;0.077519
1790;0.105803
1800;0.038647
1810;0.121430
1820;0.127027
1830;0.114288
1840;0.042581
1850;0.029591
1860;0.140242
1870;0.090580
1880;0.117876
1890;0.018795
1900;0.093399
1910;0.001639
1920;0.045847
1930;0.080360
1940;0.067610
1950;0.164962
1960;0.019311
1970;0.097098
1980;0.010635
1990;0.100339
2000;0.113012
2010;0.111024
2020;-0.013186
2030;0.105389
2040;0.023397
2050;0.044647
2060;0.243047
2070;0.006148
2080;0.052121
2090;0.023397
2100;0.153850
2110;0.027554
2120;0.118670
2130;0.172606
2140;0.130131
2150;0.062552
2160;0.100417
2170;0.120211
2180;0.119122
2190;0.158581
2200;0.109074
2210;0.082523
2220;0.180447
2230;0.122449
2240;0.157785
2250;0.098933
2260;0.025017
2270;0.018156
2280;0.122929
2290;0.016067
2300;0.165615
2310;0.087838
2320;-0.072194
2330;0.110000
2340;0.120622
2350;0.084826
2360;0.088888
2370;0.164672
2380;-0.007617
2390;-0.067569
2400;0.062560
2410;0.092518
2420;-0.014608
2430;-0.004990
2440;0.027321
2450;0.062936
2460;0.106553
2470;0.037819
2480;0.025680
2490;-0.020652
2500;-0.030725
2510;0.070080
2520;0.006444
2530;0.179310
2540;0.025407
2550;0.058472
2560;-0.069298
2570;0.026507
2580;0.095294
2590;0.085896
2600;0.061402
2610;0.120196
2620;0.057764
2630;-0.019582
2640;0.029329
2650;0.098342
2660;-0.045645
2670;0.022228
2680;-0.021210
2690;0.114374
2700;0.015948
2710;0.050467
2720;0.031838
2730;0.058833
2740;0.112452
2750;0.059134
2760;0.073399
2770;-0.034352
2780;0.015490
2790;0.114397
2800;0.034687
2810;0.064968
2820;0.010824
2830;0.027786
2840;0.035183
2850;0.007741
2860;0.032360
2870;0.122031
2880;0.108675
2890;0.030266
2900;0.095427
2910;-0.036407
2920;0.053908
2930;0.054797
2940;0.099482
2950;-0.007733
2960;0.061440
2970;0.119472
2980;0.083059
2990;0.028911
3000;-0.033916
3010;0.048659
3020;0.090008
3030;-0.045950
3040;-0.026134
3050;-0.014563
3060;0.029987
3070;-0.015701
3080;-0.001595
3090;0.003432
3100;-0.031067
3110;0.124560
3120;-0.041900
3130;0.021554
3140;0.058934
3150;0.045525
3160;-0.004798
3170;0.128612
3180;-0.002715
3190;-0.055505
3200;0.033217
3210;0.035571
3220;0.080361
3230;0.052975
3240;-0.043425
3250;-0.039742
3260;0.125993
3270;0.014989
3280;-0.018578
3290;-0.019192
3300;0.024880
3310;-0.013121
3320;0.019152
3330;0.053267
3340;0.002197
3350;0.026691
3360;0.115039
3370;0.072465
3380;0.019803
3390;0.015991
3400;0.023157
3410;0.016971
3420;-0.006481
3430;0.066225
3440;0.087577
3450;0.095079
3460;0.041599
3470;-0.060790
3480;-0.007805
3490;-0.048899
3500;0.014724
3510;0.122093
3520;0.091321
3530;0.041558
3540;0.093498
3550;0.023212
3560;0.016084
3570;0.175316
3580;0.104098
3590;0.034689
3600;0.099141
3610;0.065176
3620;0.126228
3630;-0.025377
3640;0.080875
3650;0.014797
3660;0.076839
3670;0.123593
3680;0.029878
3690;0.060532
3700;0.047597
3710;-0.002578
3720;0.038393
3730;0.001441
3740;0.113754
3750;0.016976
3760;-0.042982
3770;0.080802
3780;0.020052
3790;0.133184
3800;-0.002180
3810;-0.000360
3820;0.009404
3830;0.075198
3840;0.079446
3850;0.126541
3860;-0.003022
3870;0.076273
3880;0.024126
3890;-0.007610
3900;-0.020105
3910;0.052029
3920;0.086157
3930;0.056314
3940;-0.007745
3950;0.081030
3960;0.058687
3970;0.027278
3980;0.076251
3990;0.069295
4000;0.063406
4010;0.064587
4020;0.008960
4030;0.129791
4040;0.047764
4050;0.129916
4060;-0.019007
4070;0.010085
4080;0.066011
4090;-0.043378
4100;0.072494
4110;0.019776
4120;0.066004
4130;0.019757
4140;0.085362
4150;0.010199
4160;0.009509
4170;0.028715
4180;-0.000664
4190;0.103539
4200;0.062151
4210;0.056255
4220;-0.011365
4230;-0.043439
4240;0.022963
4250;-0.022826
4260;0.026000
4270;-0.007324
4280;-0.016994
4290;0.097019
4300;-0.039109
4310;0.013265
4320;0.066178
4330;0.027551
4340;-0.019737
4350;-0.009532
4360;-0.013852
4370;0.072876
4380;0.024855
4390;0.008706
4400;-0.004949
4410;0.057465
4420;-0.006906
4430;-0.016466
4440;0.098088
4450;-0.029805
4460;0.034255
4470;0.005898
4480;0.056910
4490;0.112870
4500;0.036200
4510;0.031380
4520;0.008723
4530;0.083123
4540;0.066485
4550;0.097475
4560;-0.022303
4570;-0.041145
4580;0.047894
4590;0.135600
4600;0.049009
4610;0.074510
4620;-0.036277
4630;0.050698
4640;-0.016077
4650;0.121436
4660;0.089559
4670;0.111242
4680;0.096164
4690;0.008157
4700;0.118719
4710;0.128779
4720;0.060232
4730;0.047107
4740;0.055069
4750;0.074551
4760;0.002856
4770;0.017208
4780;-0.000428
4790;0.100638
4800;0.138534
4810;0.062095
4820;0.030871
4830;0.076823
4840;0.043608
4850;0.016329
