Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;0.094730;-0.018980;-0.103633;0.322913;0.130715
-390;0.148913;-0.042828;-0.267476;-0.003592;0.134513
-380;0.158587;-0.027332;0.039471;0.036956;-0.157768
-370;0.166437;0.000497;0.079599;-0.002715;-0.163870
-360;0.087857;0.002963;0.155548;-0.196594;0.126205
-350;0.149474;0.149933;-0.020600;0.060053;-0.000891
-340;0.179869;0.047819;-0.058805;0.163865;-0.059728
-330;0.115336;-0.193293;-0.035403;-0.000000;0.111500
-320;0.047224;0.104356;-0.050190;0.067995;-0.054146
-310;0.180101;-0.036363;-0.288482;0.131246;-0.022907
-300;0.116682;-0.074531;0.107743;-0.054381;0.049792
-290;0.033143;-0.025812;-0.125457;0.062195;0.132221
-280;-0.029630;0.024582;-0.075453;0.028710;-0.136920
-270;-0.014113;0.123705;0.070773;-0.003638;-0.131508
-260;0.212951;0.009244;-0.234063;-0.330446;-0.075302
-250;-0.029170;0.022651;0.116218;0.097378;0.198924
-240;-0.096864;0.049797;0.015651;-0.047889;0.062784
-230;0.354027;-0.052822;-0.117370;-0.080350;-0.100337
-220;0.065045;-0.175558;-0.055003;-0.053653;-0.085847
-210;0.065481;0.228682;-0.124766;0.150198;-0.167994
-200;-0.039847;0.053714;-0.159384;0.041894;0.033724
-190;-0.105504;-0.076496;-0.027331;-0.041992;-0.140703
-180;0.240526;0.111509;0.154747;-0.038030;-0.089529
-170;0.089594;-0.024580;-0.091863;0.136903;-0.095141
-160;-0.165645;0.043363;0.025847;-0.068308;0.116557
-150;0.158070;0.007719;0.101439;0.021031;0.059568
-140;0.046073;-0.052940;0.000937;0.091770;-0.043071
-130;0.140908;-0.047590;-0.056272;0.074185;0.003238
-120;0.242740;-0.034887;-0.217108;0.123550;-0.146102
-110;-0.151611;0.165236;0.010458;-0.028264;0.116760
-100;0.021798;0.058927;-0.052424;0.110959;-0.081303
-90;-0.076264;-0.055993;-0.131045;0.016660;0.208275
-80;0.145140;0.171784;-0.259616;-0.088047;-0.141039
-70;0.213199;-0.076250;0.160913;-0.152838;0.047786
-60;0.106599;-0.034146;-0.021772;0.001346;-0.168669
-50;-0.189650;0.113728;0.035872;-0.000000;0.086870
-40;0.046191;-0.069620;-0.011117;0.046422;-0.158817
-30;0.093180;0.093941;-0.052677;-0.008459;-0.032954
-20;0.051598;-0.031366;0.194465;-0.110157;0.022964
-10;-0.142511;-0.027619;-0.082416;-0.100951;0.139724
0;0.166615;0.027732;-0.016026;0.131720;-0.080856
10;-0.097153;0.161047;-0.168216;0.095940;0.112654
20;0.147386;0.211369;0.213871;-0.071956;0.130456
30;0.332857;0.117365;0.161415;0.245493;0.011457
40;0.319167;0.137653;0.181961;0.150263;0.315400
50;0.358313;0.077876;0.206075;0.182754;0.093546
60;0.144356;0.311789;0.180168;0.047354;0.170047
70;0.285305;0.161737;0.213921;0.124847;0.325146
80;0.399170;0.311133;0.204550;0.534104;0.214293
90;0.262427;0.250237;0.398790;0.450872;0.248564
100;0.317100;0.419647;0.530357;0.310154;0.717251
110;0.421694;-0.089361;0.424995;0.419029;0.563385
120;0.329703;0.300187;0.443503;0.356651;0.331839
130;0.458794;0.357355;0.245456;0.227595;0.255746
140;0.089507;0.313685;0.424427;0.312028;0.387974
150;0.377684;0.240364;0.437584;0.258092;0.169123
160;0.617475;0.085318;0.385979;0.250560;0.265151
170;0.434738;0.255281;0.267220;0.279820;0.404919
180;0.362813;0.316973;0.449492;0.390249;0.424871
190;0.426491;0.327823;0.606366;0.460821;0.293779
200;0.566780;0.353798;0.500300;0.377030;0.249262
210;0.424314;0.307755;0.377485;0.294651;0.426559
220;0.452492;0.343783;0.308466;0.256635;0.372152
230;0.297303;0.323436;0.429305;0.261924;0.407655
240;0.249683;0.307397;0.359225;0.352029;0.325595
250;0.240010;0.346220;0.383796;0.400436;0.220686
260;0.310920;0.380870;0.378202;0.292454;0.179011
270;0.445521;0.302150;0.308218;0.352871;0.331661
280;0.390598;0.249785;0.510361;0.172297;0.024235
290;0.368302;0.371308;0.318331;0.549231;0.071086
300;0.014741;0.334115;0.437855;0.206646;0.326793
310;0.455027;0.334696;0.387865;0.440796;0.120814
320;0.123463;0.162061;0.396610;0.479985;0.339424
330;0.434280;0.539306;0.183711;0.285916;0.269639
340;0.353649;0.411056;0.376480;0.318211;0.436071
350;0.331707;0.534917;0.367799;0.263429;0.565571
360;0.205465;0.406257;0.442249;0.153462;0.299773
370;0.274195;0.254629;0.159917;0.251814;0.088389
380;0.485696;0.227382;0.082385;0.226692;0.335573
390;0.164891;0.372633;0.138012;0.492104;0.190845
400;0.270010;0.259702;0.154736;0.297064;0.313800
410;0.185262;0.253371;0.319522;0.259552;0.135938
420;0.469851;0.276627;0.338755;0.413589;0.212057
430;0.397641;0.209929;0.330283;0.025804;0.407252
440;0.399660;0.213836;0.398321;0.242192;0.169575
450;0.248118;0.109476;0.131627;0.077715;0.243180
460;0.097258;0.160602;0.125700;0.118814;0.302153
470;0.197826;0.395856;0.402064;0.348868;0.296973
480;0.208059;0.291935;0.188322;0.022250;0.238825
490;0.119935;0.172345;0.157200;0.106473;0.351411
500;0.457645;0.292945;0.216333;0.282011;0.285440
510;0.211000;0.336117;0.208617;0.388794;0.305258
520;0.256760;0.471457;0.218991;0.375987;0.581092
530;0.143710;0.231401;0.385915;0.353560;0.154007
540;0.266169;0.100107;0.000490;0.117059;0.396470
550;0.451400;0.395125;0.164426;0.101237;0.197515
560;0.450777;0.362147;0.283385;0.317744;0.342856
570;0.247290;0.335015;0.320498;0.312851;0.167584
580;0.339430;0.354831;0.391460;0.286594;0.210673
590;0.199818;0.305650;0.526454;0.322268;0.036097
600;0.213527;0.269715;0.221108;0.212094;0.319186
610;0.410259;0.352512;0.109364;0.315319;0.109938
620;0.219000;0.371290;0.723324;0.229113;0.288267
630;0.332373;0.195549;0.396305;0.223553;0.372735
640;0.278822;0.239769;0.240480;0.469267;0.250868
650;0.285990;0.263519;0.291958;0.143452;0.482464
660;0.355992;0.250919;0.159191;0.329214;0.193813
670;0.506616;0.453277;0.178695;0.117343;0.091341
680;0.314433;0.206705;0.372803;0.153772;0.213332
690;0.301345;0.245013;0.002949;0.381113;0.023931
700;0.181619;0.344780;0.386375;0.100141;0.132726
710;0.487824;0.190365;0.260591;0.177104;0.168230
720;0.244449;0.264119;0.061142;0.128915;-0.004795
730;0.064898;0.318282;0.290734;0.096793;0.072861
740;0.196819;0.177009;0.284187;0.195749;0.327412
750;0.585426;0.195361;0.421186;0.185777;0.288149
760;0.145470;0.235734;0.050046;0.181389;0.035370
770;0.151791;0.409013;0.312580;0.260111;0.242573
780;0.222601;0.187279;0.162002;-0.079164;0.114969
790;0.127322;0.346693;0.290115;0.187630;0.319674
800;0.229719;0.362961;0.122552;0.174875;0.054703
810;0.209282;0.051738;0.312571;0.090232;0.180376
820;0.033673;0.059754;0.114067;0.032998;0.208091
830;0.252522;0.307884;0.321626;0.231410;0.146709
840;0.081738;0.111395;0.221936;0.231303;0.270113
850;0.218822;0.171938;0.300773;-0.016754;0.090683
860;0.178076;0.318477;0.160499;0.225243;0.244739
870;0.286475;0.299518;0.218438;0.079632;0.383912
880;0.338101;0.315018;0.209775;0.265282;0.201718
890;0.208086;0.223384;0.172925;0.131241;0.251034
900;0.396053;0.274488;0.037122;0.337174;0.288228
910;0.135377;0.141578;0.071207;0.037073;0.292392
920;0.215026;0.289229;0.059732;0.257090;0.275450
930;0.129825;0.152962;0.236060;0.108866;0.182432
940;0.241302;0.449826;0.033393;0.181935;0.165791
950;0.170900;0.190665;0.418823;0.097312;0.411328
960;-0.050033;0.252252;0.371274;0.229985;0.011338
970;0.402345;0.212534;0.258684;0.387580;0.152512
980;0.138637;0.200636;0.169934;-0.039561;0.111935
