Laser Delay [ns];TA [mOD]
-400;-0.027296
-390;-0.024480
-380;0.051429
-370;0.066031
-360;-0.014989
-350;-0.006077
-340;0.010997
-330;-0.099635
-320;0.011116
-310;0.087908
-300;-0.007950
-290;-0.094442
-280;-0.022905
-270;-0.004883
-260;-0.026962
-250;-0.064320
-240;-0.025132
-230;0.046941
-220;0.053578
-210;-0.034729
-200;0.044466
-190;-0.015672
-180;-0.050790
-170;-0.061266
-160;-0.003574
-150;-0.047242
-140;-0.019248
-130;-0.079191
-120;0.030487
-110;-0.144056
-100;-0.070186
-90;-0.062271
-80;-0.065821
-70;0.041649
-60;-0.056534
-50;-0.028440
-40;0.041539
-30;-0.054172
-20;0.017420
-10;1.091823
0;3.206653
10;5.047024
20;7.014096
30;8.792527
40;10.661609
50;12.415306
60;14.004856
70;15.715148
80;17.429577
90;18.931527
100;20.609511
110;21.767423
120;21.989558
130;21.382527
140;20.945189
150;20.368646
160;19.820308
170;19.374876
180;18.823769
190;18.465446
200;18.055194
210;17.587205
220;17.143516
230;16.639349
240;16.168559
250;15.837793
260;15.542256
270;15.098878
280;14.722627
290;14.343562
300;14.019237
310;13.675975
320;13.243278
330;12.992858
340;12.655107
350;12.331751
360;12.200194
370;11.781720
380;11.496760
390;11.198815
400;10.921367
410;10.680793
420;10.261727
430;10.056582
440;9.860627
450;9.633050
460;9.423777
470;9.166296
480;9.066499
490;8.585037
500;8.340550
510;8.349692
520;8.046490
530;7.925873
540;7.625815
550;7.480908
560;7.253847
570;7.222834
580;7.005195
590;6.733322
600;6.602172
610;6.440408
620;6.218352
630;6.068023
640;5.881793
650;5.668504
660;5.653198
670;5.509470
680;5.422955
690;5.254572
700;5.181974
710;4.951510
720;4.944219
730;4.916356
740;4.663537
750;4.519093
760;4.429041
770;4.262587
780;4.209161
790;3.995531
800;4.032604
810;3.820700
820;3.839043
830;3.789366
840;3.696928
850;3.571379
860;3.445169
870;3.437664
880;3.460362
890;3.206569
900;3.266557
910;3.008650
920;2.924701
930;2.900835
940;2.838916
950;2.756726
960;2.700040
970;2.717039
980;2.592137
990;2.556236
1000;2.474714
1010;2.384520
1020;2.398731
1030;2.339274
1040;2.258017
1050;2.268258
1060;2.165469
1070;2.090630
1080;2.064538
1090;1.950737
1100;1.902038
1110;1.932249
1120;1.930218
1130;1.860204
1140;1.831508
1150;1.827429
1160;1.755909
1170;1.645118
1180;1.692976
1190;1.582171
1200;1.512036
1210;1.621238
1220;1.567288
1230;1.395168
1240;1.376219
1250;1.468416
1260;1.462219
1270;1.406102
1280;1.421905
1290;1.242138
1300;1.166475
1310;1.343289
1320;1.055187
1330;1.194431
1340;1.187996
1350;0.989001
1360;1.187048
1370;1.120661
1380;1.140585
1390;1.128054
1400;1.060407
1410;1.084780
1420;1.021043
1430;1.020866
1440;0.990790
1450;0.890916
1460;0.892207
1470;0.883686
1480;0.892274
1490;1.003520
1500;0.835484
1510;0.715338
1520;0.913237
1530;0.842123
1540;0.762984
1550;0.815154
1560;0.760382
1570;0.658831
1580;0.741968
1590;0.726174
1600;0.789196
1610;0.640089
1620;0.692239
1630;0.691757
1640;0.576265
1650;0.710857
1660;0.549958
1670;0.633985
1680;0.593133
1690;0.624861
1700;0.645995
1710;0.623365
1720;0.621758
1730;0.701676
1740;0.596756
1750;0.608216
1760;0.586632
1770;0.567344
1780;0.475248
1790;0.559349
1800;0.547079
1810;0.605386
1820;0.566224
1830;0.502811
1840;0.433149
1850;0.545221
1860;0.472136
1870;0.480833
1880;0.474553
1890;0.510094
1900;0.444675
1910;0.448863
1920;0.526857
1930;0.486832
1940;0.337624
1950;0.520120
1960;0.376616
1970;0.468630
1980;0.475678
1990;0.511676
2000;0.308842
2010;0.436065
2020;0.328557
2030;0.462507
2040;0.299159
2050;0.372531
2060;0.325423
2070;0.333184
2080;0.319536
2090;0.432098
2100;0.345693
2110;0.339903
2120;0.358848
2130;0.398131
2140;0.403388
2150;0.290761
2160;0.284422
2170;0.361961
2180;0.348469
2190;0.329737
2200;0.351469
2210;0.304751
2220;0.432243
2230;0.308777
2240;0.382004
2250;0.343256
2260;0.286065
2270;0.342596
2280;0.355603
2290;0.361677
2300;0.338129
2310;0.363170
2320;0.303435
2330;0.423937
2340;0.262740
2350;0.347545
2360;0.351665
2370;0.233029
2380;0.434828
2390;0.264135
2400;0.331915
2410;0.315354
2420;0.293020
2430;0.271018
2440;0.342266
2450;0.336536
2460;0.219063
2470;0.351869
2480;0.212327
2490;0.280472
2500;0.331375
2510;0.261726
2520;0.276512
2530;0.378040
2540;0.135132
2550;0.187198
2560;0.345451
2570;0.264143
2580;0.318777
2590;0.314640
2600;0.249531
2610;0.336271
2620;0.179072
2630;0.304318
2640;0.242956
2650;0.308005
2660;0.252747
2670;0.284968
2680;0.337569
2690;0.290917
2700;0.176987
2710;0.166428
2720;0.323183
2730;0.371828
2740;0.356568
2750;0.305618
2760;0.301960
2770;0.372674
2780;0.220703
2790;0.380918
2800;0.268522
2810;0.360009
2820;0.209687
2830;0.230129
2840;0.264036
2850;0.200012
2860;0.217525
2870;0.325032
2880;0.279298
2890;0.305652
2900;0.277013
2910;0.255692
2920;0.221007
2930;0.225981
2940;0.215093
2950;0.325188
2960;0.142739
2970;0.260148
2980;0.286509
2990;0.293299
3000;0.264035
3010;0.353448
3020;0.291833
3030;0.185903
3040;0.170837
3050;0.185433
3060;0.181581
3070;0.250424
3080;0.171302
3090;0.232342
3100;0.222894
3110;0.220130
3120;0.248315
3130;0.311739
3140;0.133113
3150;0.203765
3160;0.235133
3170;0.286459
3180;0.222360
3190;0.205669
3200;0.244195
3210;0.217616
3220;0.264072
3230;0.326822
3240;0.227538
3250;0.307559
3260;0.234839
3270;0.201068
3280;0.420521
3290;0.353249
3300;0.178708
3310;0.445761
3320;0.227153
3330;0.291346
3340;0.143195
3350;0.262980
3360;0.192123
3370;0.141597
3380;0.315960
3390;0.320513
3400;0.144769
3410;0.204179
3420;0.250576
3430;0.274917
3440;0.265850
3450;0.133736
3460;0.202770
3470;0.274008
3480;0.124040
3490;0.257770
3500;0.200406
3510;0.251242
3520;0.297286
3530;0.220861
3540;0.234824
3550;0.186307
3560;0.219278
3570;0.243916
3580;0.227442
3590;0.221755
3600;0.266031
3610;0.202632
3620;0.097175
3630;0.173370
3640;0.201842
3650;0.287881
3660;0.239850
3670;0.304577
3680;0.217619
3690;0.149872
3700;0.207298
3710;0.202006
3720;0.178645
3730;0.133981
3740;0.338460
3750;0.257709
3760;0.176143
3770;0.242400
3780;0.103877
3790;0.208711
3800;0.140149
3810;0.164625
3820;0.186125
3830;0.138097
3840;0.163038
3850;0.266932
3860;0.219930
3870;0.164729
3880;0.132310
3890;0.128011
3900;0.262507
3910;0.202676
3920;0.225833
3930;0.253113
3940;0.212249
3950;0.206631
3960;0.242737
3970;0.147866
3980;0.242858
3990;0.304308
4000;0.134112
4010;0.275583
4020;0.242396
4030;0.177635
4040;0.294738
4050;0.194464
4060;0.141073
4070;0.257397
4080;0.246490
4090;0.212023
4100;0.165631
4110;0.227384
4120;0.194010
4130;0.203654
4140;0.141616
4150;0.106878
