Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;0.125821;-0.100636;-0.188888;-0.044992;0.072214
-390;-0.091545;0.053869;0.127656;-0.012635;-0.199743
-380;0.117897;0.283704;-0.194743;-0.031403;0.081690
-370;0.070356;-0.007408;0.063057;0.144196;0.059951
-360;-0.054007;-0.142687;-0.075361;0.165582;0.031526
-350;-0.068363;0.105734;0.046788;-0.011344;-0.103200
-340;0.001974;0.219997;-0.191794;0.034878;-0.010067
-330;0.086713;-0.158217;-0.125353;-0.178857;-0.122461
-320;0.176872;-0.075604;-0.023797;0.020931;-0.042821
-310;0.070534;0.038637;0.190950;0.015239;0.124183
-300;0.066748;0.087459;-0.105987;0.020472;-0.108444
-290;-0.196479;-0.136874;-0.048055;0.062746;-0.153547
-280;0.036536;0.063616;0.022532;-0.023084;-0.214128
-270;-0.047086;-0.188529;0.109327;-0.023552;0.125427
-260;0.092291;-0.110893;0.046742;-0.170805;0.007855
-250;0.035112;0.051143;-0.143246;-0.213574;-0.051036
-240;0.033931;-0.004099;-0.139315;0.018727;-0.034901
-230;0.044469;0.144647;0.132214;-0.056974;-0.029650
-220;0.010110;0.056127;0.207615;0.122144;-0.128104
-210;-0.057445;0.102904;0.059648;-0.317108;0.038354
-200;-0.034851;0.136496;0.043577;0.090614;-0.013504
-190;-0.049844;0.084067;-0.046183;-0.054220;-0.012179
-180;-0.065212;-0.004506;0.016837;-0.221064;0.019995
-170;-0.039731;0.199581;-0.198842;-0.018661;-0.248677
-160;-0.182180;0.087754;-0.015919;0.031604;0.060874
-150;-0.125636;0.133500;-0.044857;-0.134790;-0.064427
-140;0.092752;-0.153089;-0.035742;0.055873;-0.056033
-130;0.087163;-0.062352;0.062887;-0.133270;-0.350384
-120;0.165420;-0.020059;0.068457;-0.061818;0.000435
-110;-0.071366;-0.145796;-0.230249;-0.173023;-0.099847
-100;-0.360230;-0.052394;0.132861;-0.003456;-0.067710
-90;-0.230904;-0.023748;-0.057575;0.074661;-0.073787
-80;0.040144;-0.104581;-0.041262;-0.216467;-0.006939
-70;0.137704;-0.257233;0.066190;0.379450;-0.117866
-60;-0.092440;0.022545;-0.151773;-0.020700;-0.040305
-50;-0.181641;0.020494;-0.046369;-0.156790;0.222105
-40;0.101627;0.113214;-0.096988;0.096767;-0.006928
-30;0.253075;-0.222636;-0.183978;0.004303;-0.121625
-20;0.055080;0.045529;-0.064255;-0.072846;0.123589
-10;1.251950;1.211976;1.047386;0.910559;1.037244
0;3.584644;3.181794;3.026757;3.004662;3.235407
10;5.347886;4.980430;5.017449;4.939655;4.949698
20;7.336743;7.190110;6.875723;6.893488;6.774417
