Laser Delay [ns];TA [mOD]
-400;0.071707
-390;-0.125154
-380;-0.094813
-370;0.000900
-360;-0.034007
-350;-0.045951
-340;0.007275
-330;-0.084834
-320;-0.001072
-310;0.004990
-300;-0.080510
-290;0.004671
-280;0.215703
-270;0.096639
-260;-0.056267
-250;-0.116477
-240;-0.127222
-230;-0.077840
-220;0.049337
-210;0.008557
-200;-0.002895
-190;0.186132
-180;-0.076679
-170;0.035985
-160;0.012406
-150;0.016882
-140;0.157240
-130;0.064002
-120;0.225828
-110;-0.252929
-100;-0.168019
-90;0.006543
-80;0.050454
-70;0.028237
-60;-0.075105
-50;0.065693
-40;0.080802
-30;-0.177832
-20;0.141554
-10;0.347175
0;1.183612
10;2.036897
20;2.821647
30;3.584458
40;4.739183
50;5.236351
60;6.020935
70;6.735892
80;7.616257
90;8.286069
100;9.088698
110;9.948682
120;10.010022
130;10.081839
140;10.056265
150;10.038782
160;9.811171
170;9.975274
180;9.491470
190;9.528393
200;9.480894
210;9.369415
220;9.169151
230;9.293112
240;8.996522
250;9.001252
260;9.036453
270;8.904034
280;8.854731
290;8.606582
300;8.518646
310;8.436075
320;8.301458
330;8.156535
340;8.371075
350;8.010921
360;8.082961
370;8.033212
380;7.897793
390;7.733038
400;7.724011
410;7.794135
420;7.461195
430;7.379858
440;7.388602
450;7.082034
460;7.009547
470;7.222882
480;7.223413
490;7.100739
500;6.787668
510;6.881128
520;6.939245
530;6.711808
540;6.545740
550;6.524263
560;6.534703
570;6.471449
580;6.293372
590;6.403180
600;6.238740
610;6.328690
620;6.060956
630;6.200173
640;6.133631
650;5.842689
660;5.939830
670;5.853932
680;5.720331
690;5.552162
700;5.557923
710;5.704552
720;5.498795
730;5.519259
740;5.630842
750;5.428472
760;5.336738
770;5.205192
780;5.289753
790;5.112154
800;5.088274
810;4.879866
820;4.967708
830;5.049048
840;5.034911
850;4.934060
860;4.880287
870;4.828489
880;4.754648
890;4.554048
900;4.579169
910;4.738382
920;4.526674
930;4.337879
940;4.396030
950;4.374170
960;4.231118
970;4.447369
980;4.194451
990;4.199063
1000;4.190567
1010;4.085800
1020;4.058060
1030;4.124354
1040;3.862100
1050;4.046411
1060;3.833417
1070;3.866694
1080;3.705058
1090;3.775657
1100;3.799010
1110;3.959609
1120;3.604399
1130;3.800535
1140;3.428450
1150;3.764352
1160;3.665641
1170;3.572668
1180;3.559013
1190;3.428286
1200;3.422748
1210;3.454277
1220;3.389406
1230;3.387314
1240;3.159998
1250;3.253014
1260;3.375439
1270;3.275113
1280;3.031158
1290;3.158585
1300;3.075396
1310;2.981840
1320;2.931257
1330;2.845995
1340;3.006391
1350;2.826068
1360;3.052592
