Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;0.349936;0.214025;0.316894;-0.004210;0.071743
-390;-0.857958;0.678387;0.475316;-0.417649;0.171261
-380;-0.096879;-0.078468;0.697115;0.672566;-0.127404
-370;-0.014132;-0.237078;-0.567378;0.101168;-0.404521
-360;-0.058340;0.281916;-0.257439;0.247725;0.001901
-350;0.055676;0.285791;-0.108644;-0.292749;-0.042763
-340;0.231483;-0.129095;-0.180325;-0.193339;-0.182421
-330;-0.120751;-0.282097;0.447865;-0.681300;0.228001
-320;0.852773;0.224633;-0.864025;0.684451;-0.107343
-310;-0.254619;0.599927;-0.477839;0.349427;-0.402563
-300;-0.243571;0.020906;0.447693;-0.087612;-0.306445
-290;0.344821;0.291622;-0.231684;0.280515;-0.112044
-280;-0.143117;-0.879435;0.260765;0.166229;-0.480994
-270;0.406489;0.324149;-0.023905;1.062287;0.506409
-260;-0.177430;0.461485;-0.503428;-0.083839;-0.240252
-250;0.728481;-0.613338;-0.336206;0.745647;-0.828155
-240;0.714332;-0.008826;-0.180932;-0.787183;0.040805
-230;0.013330;0.093451;-0.322073;0.326994;-0.290628
-220;-0.456850;0.150518;0.230431;-0.037043;-0.149449
-210;-0.117459;-0.483238;1.016449;-0.172587;0.117628
-200;0.146396;-0.460238;0.881770;-0.129268;0.120047
-190;-0.121664;-0.195642;-0.438970;0.370188;-0.751121
-180;-0.483443;0.446549;0.236004;-0.171005;0.358890
-170;0.180719;0.378972;0.076493;0.531024;0.262631
-160;-0.739835;0.709468;0.129462;-0.240212;-0.869584
-150;-0.125391;-0.429930;-0.525714;0.351994;0.336700
-140;0.196511;-0.383928;0.201351;0.128326;0.226597
-130;-0.378899;0.392285;0.145183;-0.031862;-0.148193
-120;-0.094442;-0.314074;-1.279277;0.312935;-0.161979
-110;-0.041943;-0.071566;0.904623;0.303063;-0.829383
-100;-0.227337;-0.064600;-0.245643;-0.606398;-0.233190
-90;0.710429;0.393379;0.427921;-0.825531;-0.292413
-80;0.171486;0.366745;-0.441709;-0.278488;0.130193
-70;-0.117610;0.327181;0.063790;1.024164;0.002843
-60;0.723880;-0.064543;-0.020187;0.028140;0.506486
-50;0.687956;0.218317;-0.197058;-0.300191;-0.271402
-40;0.509116;-0.594751;-0.076074;-0.142453;-0.129770
-30;-0.218894;0.293729;0.576777;0.179223;0.071458
-20;-0.122557;0.104493;0.815786;-0.294655;0.446534
-10;1.066893;0.028796;1.347194;1.160390;0.839929
0;2.643727;2.830752;2.852117;2.562538;2.588926
10;4.536951;5.283116;3.810574;4.176660;4.241215
20;6.617085;5.351106;6.030417;5.244123;5.725800
30;7.771907;8.025895;7.719086;7.534789;7.904912
40;9.341212;9.248880;8.903601;9.733721;8.591743
50;10.791577;11.092223;11.354370;10.691276;10.386478
60;12.588967;13.485712;13.015836;12.765939;12.223979
70;14.125014;13.997175;13.519460;14.089643;13.971460
80;16.707834;15.869308;15.991118;16.129722;15.811653
90;17.456333;17.827626;16.885276;16.885036;16.803989
100;18.925277;19.725997;18.981537;18.828057;18.944118
110;20.685684;20.194428;20.870273;21.491261;20.595135
120;21.155612;21.358668;20.123922;21.339066;20.134086
130;21.513336;21.374498;22.044650;20.934108;19.691465
140;21.180779;21.280485;21.037018;20.872796;20.350285
150;20.925205;20.954022;20.377910;20.111987;20.229374
160;20.902441;20.526474;20.916902;19.912995;19.610351
170;20.686167;20.949489;19.384510;19.966233;19.891430
180;20.495651;20.016476;20.180032;19.476315;19.934704
190;20.289772;20.565059;19.294651;19.259707;19.330608
200;19.394785;20.038704;19.074238;20.253282;19.200981
210;19.550157;19.936299;19.182119;19.970841;19.266931
220;20.299820;19.310589;18.417453;19.017551;19.229868
230;19.752054;19.028635;18.374784;19.121467;18.580778
240;19.559032;19.563130;18.380572;18.956525;17.912649
250;18.429146;18.894235;18.624674;18.698006;18.512086
260;17.986067;18.915390;18.493867;18.530681;17.440520
270;18.385724;18.235394;18.370091;17.495272;17.690342
280;18.755439;18.589678;17.887775;17.436569;17.582729
290;17.910799;17.802776;17.344644;17.873226;17.705170
300;18.141634;17.617773;17.953644;16.856676;17.194163
310;17.142900;18.371371;17.687771;16.950724;16.525909
320;17.269039;17.810590;17.040028;17.065161;17.019136
330;16.270431;17.274934;16.582702;16.852210;17.247178
340;17.014910;17.378053;17.340659;16.989046;16.036168
350;17.094862;17.384850;16.259571;16.285248;16.960214
360;16.360533;17.551034;16.437932;15.961501;16.096481
370;17.195319;16.582821;16.256369;16.520791;15.354139
380;16.620824;16.721292;15.517833;15.913601;15.912212
390;15.431398;16.223441;15.403898;15.316704;15.346514
400;15.760039;16.161141;14.900646;15.169968;15.860847
410;16.243155;16.638498;16.116143;15.058295;14.871416
420;14.846863;16.044480;15.613035;14.955903;15.579053
430;16.077152;16.289796;15.977481;15.313859;14.983196
440;16.098310;15.308184;15.087856;14.837863;14.489762
450;14.827518;15.021337;14.719493;15.058093;14.900434
460;15.551482;15.430379;15.666991;15.055782;15.081457
470;14.833920;15.749547;14.216619;14.652495;15.198570
480;14.431920;15.214967;14.142508;14.811480;14.507523
490;14.365548;14.174703;13.722304;14.636289;14.902822
500;14.367841;14.445409;13.842131;13.756760;14.922619
510;14.417779;15.299191;14.154390;13.498994;14.128882
520;14.281102;14.656848;13.660614;14.686430;13.803372
530;13.612097;13.734030;13.706200;14.287318;13.447596
540;13.930352;15.351221;14.226163;14.014635;12.380609
550;14.795721;14.074424;12.921723;13.502204;13.490732
560;13.703138;13.574088;13.028465;12.378915;13.622017
570;13.555619;13.949950;13.828881;13.158513;13.398163
580;13.623718;13.629610;12.843627;13.585127;12.371215
590;13.042466;13.460385;14.196786;12.621138;13.116467
600;12.644571;13.329889;12.414345;13.099613;13.110906
610;12.290826;13.061004;12.627285;12.605776;12.991686
620;12.352521;13.593476;12.296026;12.588911;13.067887
630;12.688171;12.434583;12.667573;12.456302;12.273053
640;13.314995;12.441838;11.900663;12.278070;12.202845
650;12.955030;13.596741;11.838212;12.695908;13.012112
660;11.726289;12.761764;12.741504;12.294374;12.428052
670;12.385293;12.399979;12.045686;11.139214;12.208509
680;12.064368;11.836961;12.160930;11.784651;12.205623
690;11.962086;12.744894;11.436772;11.579769;12.219693
700;12.564432;12.310660;10.812182;11.707677;11.792845
710;12.371010;11.732441;11.156635;11.857411;11.691400
720;11.711271;11.051258;11.822131;11.753669;11.125824
