Laser Delay [ns];TA [mOD]
-200;-0.095427
-190;0.190878
-180;-0.766600
-170;-0.363647
-160;-0.022571
-150;-0.373045
-140;-0.194257
-130;0.062078
-120;-0.009623
-110;0.513963
-100;0.448441
-90;-0.004304
-80;-0.067414
-70;0.407790
-60;-0.007061
-50;0.350273
-40;0.035815
-30;0.311635
-20;0.232977
-10;1.564814
0;4.192938
10;6.683246
20;9.608083
30;11.742150
40;13.928430
50;16.144090
60;18.378346
70;19.797349
80;19.115782
90;18.830098
100;18.445531
110;18.948194
120;18.277940
130;18.625856
140;18.121684
150;18.101125
160;18.090424
170;17.689464
180;17.065857
190;16.826546
200;16.800464
210;16.287707
220;16.884763
230;16.479406
240;16.379933
250;15.666553
260;15.712783
270;15.591203
280;15.303876
290;15.478097
300;14.768483
310;14.850275
320;14.651842
330;14.734783
340;14.806347
350;14.233932
360;14.425951
370;14.302191
380;13.648377
390;13.915613
400;13.170089
410;13.376295
420;12.996192
430;13.352952
440;13.396033
450;12.789291
460;13.139482
470;13.020343
480;12.250152
490;12.438405
500;12.399755
