Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD]
-200;0.285960;-0.145394;-0.223837
-190;-0.078426;-0.322643;0.032724
-180;-0.983424;0.095032;0.609824
-170;-0.023855;-0.492151;-0.440083
-160;0.308548;0.417684;0.985523
-150;-1.064806;-0.519942;-0.965946
-140;0.186244;-0.240249;-0.541648
-130;-0.331590;-0.180176;0.752879
-120;-0.066198;0.885531;0.465509
-110;-0.166209;-0.347108;0.290418
-100;-0.092147;-0.331997;-0.369104
-90;0.137536;-0.393185;-0.289426
-80;0.563408;-0.384652;-0.346155
-70;0.857713;-0.056854;-0.177327
-60;-1.319688;0.061827;0.895916
-50;0.152616;0.631854;-0.649918
-40;-1.141609;0.451867;0.599478
-30;-0.186205;-0.356800;0.597054
-20;0.291692;-0.442996;0.373100
-10;0.969426;1.048861;1.615832
0;4.680301;4.630255;4.054372
10;6.659558;6.271732;7.137285
20;9.390392;8.364259;8.601507
30;11.119022;11.382399;11.323051
40;14.232207;14.352380;14.178313
50;17.278381;16.744270;16.332421
60;19.062142;18.742103;18.752781
70;21.368812;21.036887;21.465944
80;23.200333;22.185608;23.488832
90;22.475340;22.709932;24.044721
100;22.733953;22.692256;22.362392
110;22.497045;22.024596;22.199701
120;22.520284;22.363752;22.038954
130;21.308953;22.955000;22.178010
140;21.962371;21.694979;23.135180
150;21.220647;21.628807;21.116958
160;21.378960;21.676618;21.842827
170;21.298552;21.245002;20.989285
180;20.228680;20.795971;20.779967
190;20.336438;20.913304;20.423731
200;20.308509;20.573645;19.996748
210;19.803949;20.315145;19.430331
220;19.428185;19.845524;19.654213
230;20.041734;19.598234;20.606406
240;19.439319;19.538282;18.990060
250;19.258461;19.139056;19.199868
260;19.676552;18.776964;18.825654
270;19.655111;19.146375;18.494772
280;18.650116;18.888143;19.067235
290;18.242445;18.093541;18.737961
300;17.478550;18.391553;18.360723
310;18.843882;18.681573;18.422464
320;18.033838;18.328454;18.229734
330;18.408649;18.645078;18.173476
340;17.167000;18.295119;18.047322
350;16.790042;17.639144;17.897957
360;17.149354;17.718214;17.326794
370;16.616949;17.986065;16.939866
380;16.980344;17.198643;17.016853
390;16.518032;17.438952;16.823686
400;16.338260;17.793604;16.604441
410;17.092597;15.696513;16.261730
420;16.060939;17.322100;16.535737
430;14.727085;16.915575;16.593223
440;15.547852;16.099605;14.620701
450;15.272140;16.015847;15.770736
460;16.237966;15.872675;14.194596
470;14.741856;15.648910;13.999619
480;14.274017;15.660751;15.157994
490;14.560567;15.835613;14.985753
500;14.608568;14.973599;15.105994
