Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;-0.114083;-0.013443;-0.042147;0.202611;0.002785
-390;0.131583;-0.189657;-0.021323;-0.069581;-0.024117
-380;-0.020378;0.038924;0.161642;0.051528;-0.018543
-370;-0.085691;0.105175;-0.049072;-0.025065;-0.010211
-360;0.080541;-0.037528;-0.058391;-0.104464;0.123379
-350;-0.032868;0.023180;0.023629;0.012539;0.143333
-340;0.001852;0.057444;0.059820;-0.111942;0.022283
-330;0.037060;0.308221;0.057943;-0.102589;-0.188949
-320;-0.083881;-0.115743;0.065961;0.079321;0.311224
-310;0.033386;0.094097;-0.005567;0.198656;-0.092532
-300;0.119850;-0.133890;-0.013909;-0.049240;-0.006040
-290;-0.095424;-0.059419;0.033835;0.164878;-0.019510
-280;-0.003241;0.030648;-0.019448;-0.017178;-0.018122
-270;-0.092704;-0.168259;0.018986;-0.101303;-0.070586
-260;-0.017137;0.128788;0.042580;0.055673;0.025540
-250;0.009718;-0.046007;-0.121252;-0.038079;-0.102180
-240;-0.128199;-0.120750;-0.058777;-0.042233;0.109130
-230;-0.053218;0.092939;0.020370;-0.118772;0.054361
-220;0.071308;0.111481;-0.052273;0.086727;0.031132
-210;0.009263;-0.038521;-0.118045;-0.095485;-0.190900
-200;-0.015748;0.072494;0.015261;0.051926;-0.079411
-190;-0.135337;-0.044132;-0.047652;0.010194;0.103460
-180;-0.008804;0.019040;-0.240788;-0.108079;-0.087290
-170;0.071406;-0.039950;0.123275;-0.009269;0.105819
-160;0.079741;-0.025508;0.134354;-0.033375;0.156825
-150;0.067240;-0.079786;-0.096851;-0.162383;-0.039905
-140;-0.109852;-0.049587;-0.029638;-0.014381;0.010209
-130;0.024074;-0.065263;-0.021767;-0.082567;0.011598
-120;0.085225;0.090805;0.130575;-0.036165;-0.034819
-110;-0.006948;-0.083871;0.055972;0.082560;0.045509
-100;0.040297;0.278557;-0.085594;-0.003711;-0.074726
-90;0.048196;0.087573;0.098548;-0.014858;0.027398
-80;0.088038;-0.166747;-0.039770;-0.040820;0.016718
-70;0.030149;-0.081134;-0.116212;-0.069156;0.013474
-60;0.006490;-0.055684;-0.027305;0.182401;-0.021380
-50;-0.139112;-0.058937;-0.064747;0.084086;-0.000929
-40;0.049606;-0.029214;-0.006475;-0.040463;-0.205095
-30;-0.221392;-0.385983;-0.211133;-0.319517;-0.255278
-20;-0.643598;-0.512645;-0.688067;-0.714152;-0.608404
-10;-1.048951;-1.277523;-1.143794;-1.275400;-1.278124
0;-2.002460;-1.942479;-1.851893;-1.761987;-1.926114
10;-2.421960;-2.326071;-2.491188;-2.351961;-2.457733
20;-2.715694;-2.968985;-2.677356;-2.887565;-3.242036
30;-3.362829;-3.335178;-3.461156;-3.182324;-3.340373
40;-3.717916;-3.687476;-3.686688;-3.718691;-3.643027
50;-4.008145;-4.004592;-4.061606;-3.970271;-4.008094
60;-4.344931;-4.423981;-4.087129;-4.356822;-4.261704
70;-4.535225;-4.658692;-4.723892;-4.587824;-4.630173
80;-4.752179;-4.915938;-5.148748;-4.992410;-4.618792
90;-4.848445;-4.910212;-5.099911;-5.005646;-5.086264
100;-5.013828;-4.921446;-5.146355;-4.929616;-4.956344
110;-4.924765;-4.843964;-4.970556;-4.896874;-4.742720
120;-4.418017;-4.574178;-4.680196;-4.667736;-4.419170
130;-4.126339;-4.242952;-4.113318;-4.182966;-4.140666
140;-3.983436;-3.848817;-3.916210;-3.713729;-3.867148
150;-3.656478;-3.447288;-3.720201;-3.567918;-3.614216
160;-3.340583;-3.404918;-3.331487;-3.307298;-3.342541
170;-3.180971;-3.230684;-3.264818;-3.119832;-3.055110
180;-2.750995;-2.930957;-3.022130;-3.015881;-2.986392
190;-2.789031;-2.860759;-2.703373;-2.649338;-2.654148
200;-2.739596;-2.562344;-2.580175;-2.637008;-2.589402
210;-2.134177;-2.277159;-2.373636;-2.308455;-2.251522
220;-2.183540;-2.375411;-2.178548;-2.318629;-2.111382
230;-1.966860;-2.088649;-2.163606;-2.350934;-1.857025
240;-1.945241;-1.940910;-2.056885;-1.884993;-1.900905
250;-1.878310;-1.682139;-1.917998;-1.654298;-1.842148
260;-1.870994;-1.786385;-1.714011;-1.722664;-1.736832
270;-1.604008;-1.605176;-1.728145;-1.562208;-1.538637
280;-1.536895;-1.283703;-1.604908;-1.518871;-1.463179
290;-1.367967;-1.261455;-1.504094;-1.281908;-1.564747
300;-1.279250;-1.250687;-1.267813;-1.262530;-1.198730
310;-1.226115;-1.288293;-1.429555;-1.263135;-1.222979
320;-1.115732;-1.237630;-1.057911;-1.193078;-1.230582
330;-1.034068;-1.209300;-1.234769;-1.038767;-1.243104
340;-1.026686;-0.924934;-0.963940;-0.923056;-0.954608
350;-0.824037;-0.843087;-0.803925;-0.973333;-0.867338
360;-1.059654;-0.964389;-1.122555;-0.863481;-0.931051
370;-0.869111;-0.968317;-0.850518;-0.660665;-0.820744
380;-0.638139;-0.706075;-0.814031;-0.624439;-0.723204
