Laser Delay [ns];TA [mOD]
-400;-0.029160
-390;0.070139
-380;-0.015323
-370;0.050567
-360;0.070884
-350;0.019888
-340;0.028021
-330;-0.008203
-320;0.040072
-310;-0.037435
-300;-0.017556
-290;-0.114112
-280;-0.021331
-270;-0.023761
-260;0.030197
-250;0.005300
-240;0.112786
-230;0.011216
-220;-0.049165
-210;0.022704
-200;0.057417
-190;-0.082095
-180;-0.005394
-170;0.050732
-160;-0.007030
-150;0.030719
-140;0.069777
-130;-0.028161
-120;-0.004665
-110;0.002773
-100;-0.063113
-90;-0.045614
-80;0.027528
-70;-0.003913
-60;0.035909
-50;0.009950
-40;-0.010741
-30;-0.051088
-20;-0.030669
-10;0.045989
0;0.081170
10;0.068173
20;0.158064
30;0.179768
40;0.268569
50;0.291423
60;0.352940
70;0.287428
80;0.434103
90;0.577711
100;0.589920
110;0.455301
120;0.623861
130;0.478897
140;0.616888
150;0.612750
160;0.634447
170;0.624695
180;0.535076
190;0.552430
200;0.566160
210;0.515757
220;0.566251
230;0.545316
240;0.582078
250;0.502345
260;0.554102
270;0.528413
280;0.588849
290;0.532608
300;0.475670
310;0.532063
320;0.515248
330;0.571381
340;0.548424
350;0.430836
360;0.428347
370;0.440881
380;0.368962
390;0.561018
400;0.638336
410;0.473404
420;0.407849
430;0.506916
440;0.549708
450;0.482936
460;0.396523
470;0.474925
480;0.559702
490;0.405883
500;0.568657
510;0.355329
520;0.368816
530;0.420301
540;0.319846
550;0.353583
560;0.350722
570;0.229351
580;0.278126
590;0.411380
600;0.399330
610;0.412625
620;0.396151
630;0.413159
640;0.474779
650;0.386427
660;0.316453
670;0.376829
680;0.413499
690;0.458158
700;0.314204
710;0.351066
720;0.383242
730;0.265787
740;0.372011
750;0.330846
760;0.325622
770;0.460028
780;0.331583
790;0.295989
800;0.339602
810;0.343335
820;0.393834
830;0.262347
840;0.340281
850;0.314391
860;0.251463
870;0.304716
880;0.352550
890;0.243498
900;0.351280
910;0.215522
920;0.293543
930;0.323588
940;0.223479
950;0.318576
960;0.223066
970;0.205384
980;0.280494
990;0.255839
1000;0.326015
1010;0.181453
1020;0.250718
1030;0.206515
1040;0.149408
1050;0.367971
1060;0.209472
1070;0.257923
1080;0.334883
1090;0.304669
1100;0.189957
1110;0.262667
1120;0.173584
1130;0.170198
1140;0.214460
1150;0.230264
1160;0.261293
1170;0.216004
1180;0.253122
1190;0.112334
1200;0.261381
1210;0.175971
1220;0.427441
1230;0.238390
1240;0.205502
1250;0.326020
1260;0.255916
1270;0.255568
1280;0.237704
1290;0.232490
1300;0.170025
1310;0.140869
1320;0.135373
1330;0.158313
1340;0.216839
1350;0.237292
1360;0.147910
1370;0.132606
1380;0.102780
1390;0.272768
1400;0.159962
1410;0.209100
1420;0.278502
1430;0.240501
1440;0.154490
1450;0.222575
1460;0.157157
1470;0.111959
1480;0.167888
1490;0.213257
1500;0.267850
1510;0.074941
1520;0.145714
1530;0.211645
1540;0.130908
1550;0.133299
1560;0.191572
1570;0.269764
1580;0.119856
1590;0.165969
1600;0.166191
1610;0.152884
1620;0.160947
1630;0.180306
1640;0.163728
1650;0.101606
1660;0.091470
1670;0.148229
1680;0.065923
1690;0.124688
1700;0.173849
1710;0.218267
1720;0.194668
1730;0.165955
1740;0.225167
1750;0.196062
1760;0.159244
1770;0.135307
1780;0.142807
1790;0.135570
1800;0.006003
1810;0.131532
1820;0.124522
1830;0.101585
1840;0.074566
1850;0.170581
1860;0.077001
1870;0.118488
1880;0.161059
1890;0.141334
1900;0.122977
1910;0.179198
1920;0.072588
1930;0.151819
1940;0.147711
1950;0.060014
1960;0.110121
1970;0.175832
1980;0.054768
1990;0.158409
2000;0.155659
2010;0.058269
2020;0.104855
