Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;0.029781;-0.102092;0.184222;-0.159299;-0.098410
-390;0.156510;0.145575;0.059172;-0.028025;0.017464
-380;0.102482;0.093802;0.066629;-0.126548;-0.212981
-370;0.037440;0.080352;0.084510;0.071450;-0.020916
-360;0.237541;-0.122563;0.217250;0.175136;-0.152943
-350;0.080036;-0.000449;0.018364;-0.025924;0.027412
-340;0.039499;-0.019284;0.015040;0.063145;0.041703
-330;0.014176;-0.109426;0.036982;0.053203;-0.035951
-320;0.060979;0.228894;-0.067832;-0.028179;0.006499
-310;-0.148146;-0.070590;-0.135503;0.189985;-0.022923
-300;-0.036481;0.136150;0.081480;-0.263730;-0.005201
-290;-0.076787;-0.205993;-0.045011;-0.174775;-0.067993
-280;-0.066032;-0.116578;-0.040759;-0.038086;0.154799
-270;-0.112187;-0.009009;-0.124925;0.124298;0.003020
-260;0.011118;0.067581;-0.081183;-0.007185;0.160656
-250;0.070133;0.011264;-0.005983;-0.128802;0.079887
-240;-0.056341;0.137188;0.316932;0.284902;-0.118750
-230;-0.006402;-0.060342;0.046250;0.026123;0.050449
-220;0.016218;0.054004;-0.222951;-0.041786;-0.051309
-210;-0.141716;-0.052172;0.131706;0.024277;0.151426
-200;0.104721;-0.089716;-0.023207;0.158730;0.136555
-190;0.270576;-0.077391;-0.254534;-0.144329;-0.204795
-180;-0.139704;0.084089;0.078777;-0.003147;-0.046987
-170;0.071338;0.118689;0.062050;0.154266;-0.152685
-160;-0.044485;-0.148445;0.052044;0.083777;0.021960
-150;-0.162446;-0.035478;0.255109;0.026897;0.069513
-140;-0.030976;-0.026954;0.156211;0.094561;0.156043
-130;-0.126504;-0.109640;0.170887;-0.060008;-0.015541
-120;0.058187;0.099191;-0.060499;-0.080971;-0.039232
-110;-0.164630;-0.017535;0.117802;0.090312;-0.012083
-100;-0.143544;-0.172713;-0.041454;0.033090;0.009055
-90;-0.003454;-0.239855;0.201441;0.136467;-0.322670
-80;0.085743;0.013914;0.054388;0.011157;-0.027561
-70;0.164383;-0.211746;0.151505;0.079670;-0.203377
-60;0.017759;0.025581;-0.193116;0.142626;0.186693
-50;0.079162;0.043500;0.081056;0.003575;-0.157543
-40;0.023331;-0.061811;-0.236365;0.034870;0.186270
-30;-0.034605;-0.066384;0.004948;-0.167592;0.008189
-20;-0.032469;0.057920;-0.037796;-0.140571;-0.000431
-10;0.264950;0.079581;-0.047658;0.091064;-0.157995
0;0.000867;-0.059411;0.194462;0.149654;0.120276
10;0.143321;0.017077;-0.009450;0.290397;-0.100477
20;0.083285;0.119824;0.130263;0.093484;0.363466
30;0.163226;0.230932;0.010334;0.178096;0.316253
40;0.245830;0.221313;0.125612;0.539123;0.210968
50;0.408796;0.198318;0.339414;0.329550;0.181039
60;0.263806;0.273594;0.361721;0.567316;0.298264
70;0.429208;0.185437;0.180844;0.309931;0.331721
80;0.360314;0.417238;0.347103;0.454562;0.591297
90;0.644758;0.534041;0.621142;0.666848;0.421765
100;0.790466;0.550556;0.556165;0.594407;0.458006
110;0.486464;0.376665;0.429714;0.368425;0.615234
120;0.636678;0.610943;0.716006;0.631827;0.523850
130;0.381370;0.615005;0.400367;0.537334;0.460409
140;0.571898;0.482078;0.707468;0.636993;0.686001
150;0.697536;0.582832;0.609643;0.640693;0.533046
160;0.557636;0.703096;0.541833;0.730321;0.639348
170;0.697428;0.496858;0.640746;0.660282;0.628159
180;0.477780;0.559788;0.493836;0.654904;0.489073
190;0.481890;0.494352;0.740672;0.573805;0.471429
200;0.812766;0.563793;0.494832;0.492234;0.467176
210;0.633686;0.557949;0.431910;0.449895;0.505346
220;0.775679;0.243173;0.729013;0.550980;0.532408
230;0.610024;0.464819;0.527132;0.602853;0.521750
240;0.540227;0.674991;0.566058;0.472584;0.656531
250;0.523114;0.609126;0.509818;0.414127;0.455537
260;0.557379;0.579036;0.600681;0.631314;0.402102
270;0.480096;0.590630;0.645137;0.453113;0.473091
280;0.640399;0.772170;0.618356;0.359714;0.553607
290;0.380550;0.592945;0.475615;0.697287;0.516642
300;0.547868;0.483806;0.393792;0.468523;0.484362
310;0.578233;0.611774;0.431715;0.474026;0.564569
320;0.502928;0.493793;0.384425;0.609215;0.585880
330;0.549377;0.539753;0.493393;0.661863;0.612517
340;0.515046;0.490772;0.625233;0.711300;0.399771
350;0.565751;0.343225;0.468055;0.487478;0.289670
360;0.492486;0.432350;0.315348;0.484237;0.417313
370;0.478853;0.401525;0.415424;0.436797;0.471806
380;0.395426;0.365793;0.513546;0.360971;0.209073
390;0.520545;0.765750;0.441815;0.519494;0.557487
400;0.643497;0.749711;0.885840;0.373130;0.539503
410;0.530366;0.483342;0.567488;0.447078;0.338747
420;0.305264;0.343013;0.343977;0.571682;0.475312
430;0.611101;0.423264;0.545611;0.528581;0.426022
440;0.701081;0.516191;0.346251;0.517537;0.667481
450;0.638578;0.497890;0.378248;0.571693;0.328268
460;0.453883;0.128338;0.462913;0.438263;0.499216
470;0.518149;0.529196;0.495458;0.521819;0.310006
480;0.557116;0.724567;0.548914;0.426816;0.541099
490;0.576163;0.480784;0.330262;0.444657;0.197550
500;0.677198;0.740979;0.566769;0.380091;0.478249
510;0.365513;0.334999;0.445286;0.363968;0.266879
520;0.536794;0.270776;0.440997;0.388567;0.206948
530;0.452086;0.541460;0.241428;0.382040;0.484491
540;0.544925;0.213459;0.399992;0.251611;0.189243
550;0.279901;0.507771;0.358567;0.393918;0.227757
560;0.250655;0.347698;0.483594;0.373559;0.298105
570;0.382213;0.191670;0.074001;0.210186;0.288684
580;0.239046;0.365605;0.312161;0.143125;0.330692
590;0.388515;0.484518;0.400819;0.501431;0.281617
600;0.375896;0.297670;0.534345;0.345065;0.443676
610;0.273122;0.577221;0.489685;0.305477;0.417618
620;0.349957;0.471561;0.406504;0.227906;0.524827
630;0.455012;0.489131;0.411663;0.420143;0.289849
640;0.389473;0.565802;0.466040;0.425118;0.527462
650;0.227538;0.463700;0.372595;0.403561;0.464740
660;0.150335;0.248597;0.449378;0.432971;0.300985
670;0.195406;0.418202;0.461324;0.575338;0.233875
680;0.328215;0.490014;0.355800;0.404080;0.489387
690;0.435907;0.376749;0.400781;0.501168;0.576186
700;0.364002;0.315567;0.217407;0.473694;0.200350
710;0.361165;0.267918;0.283727;0.310853;0.531670
720;0.297488;0.275559;0.320134;0.485114;0.537916
730;0.045305;0.375150;0.239086;0.539458;0.129937
740;0.177158;0.443826;0.354297;0.421201;0.463574
750;0.431919;0.538207;0.164903;0.280421;0.238781
760;0.448518;0.192242;0.253663;0.438192;0.295494
770;0.554918;0.451797;0.511445;0.374088;0.407895
780;0.235645;0.265233;0.368535;0.332937;0.455565
790;0.281437;0.346923;0.335142;0.190638;0.325804
800;0.290219;0.165463;0.258069;0.455093;0.529167
810;0.452253;0.298533;0.296074;0.353033;0.316783
820;0.397848;0.345808;0.555885;0.466456;0.203172
830;0.181365;0.263054;0.237800;0.425478;0.204038
840;0.271158;0.337257;0.485846;0.388122;0.219024
850;0.260875;0.198787;0.382231;0.378933;0.351131
860;0.159485;0.333617;0.301613;0.241364;0.221235
870;0.540081;0.222923;0.446646;0.049818;0.264114
880;0.239146;0.322336;0.206969;0.395042;0.599258
890;0.314645;0.162746;0.047763;0.396166;0.296168
900;0.452518;0.254135;0.425233;0.174818;0.449693
910;0.173915;0.131225;0.351208;0.171244;0.250017
920;0.351072;0.523089;0.318433;0.263139;0.011983
930;0.372002;0.266046;0.316269;0.231689;0.431933
940;0.140604;0.217588;0.241886;0.337373;0.179944
950;0.437585;0.206177;0.338690;0.067231;0.543197
960;0.246088;0.001302;0.323255;0.355137;0.189547
970;0.214202;0.215235;0.166735;0.247246;0.183501
980;0.287356;0.439029;0.384057;0.240515;0.051512
990;0.279682;0.181516;0.322486;0.284639;0.210872
1000;0.300315;0.389113;0.332385;0.258059;0.350202
1010;0.212708;0.287277;0.094084;0.249533;0.063661
1020;0.295002;0.151000;0.294848;0.320211;0.192531
1030;0.270222;-0.072377;0.309395;0.216317;0.309016
