Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD]
-400;0.000000;0.066836;0.004865
-390;0.000000;0.030739;-0.093305
-380;-0.014999;0.094444;0.045803
-370;-0.109811;-0.038849;0.042204
-360;0.110578;0.036134;-0.049477
-350;0.054634;-0.178265;0.122944
-340;0.056912;-0.263479;-0.112692
-330;-0.245349;-0.045856;-0.056813
-320;-0.158995;-0.029131;0.062842
-310;-0.187990;-0.009702;-0.052327
-300;-0.028898;-0.008152;-0.047827
-290;-0.344205;-0.158637;-0.026753
-280;0.161030;-0.203483;-0.414362
-270;0.210036;-0.140949;-0.173634
-260;-0.146963;-0.058948;0.031150
-250;-0.163805;-0.203733;0.067973
-240;0.200578;-0.081533;0.222173
-230;-0.149288;-0.046247;-0.102843
-220;0.094934;0.081497;0.018580
-210;-0.112050;-0.085338;-0.275316
-200;-0.021939;0.010475;0.009703
-190;0.049792;-0.073741;-0.127223
-180;0.065956;0.111734;0.052492
-170;0.002125;0.042689;-0.045975
-160;-0.099003;-0.079116;-0.097185
-150;0.081070;-0.121546;-0.183007
-140;0.061895;-0.025642;0.048335
-130;-0.120900;-0.026805;-0.030247
-120;0.032551;-0.139143;-0.018528
-110;0.029437;0.019825;0.090602
-100;0.166440;-0.033815;-0.302853
-90;-0.079444;-0.221434;-0.000805
-80;-0.022354;0.019833;0.007241
-70;-0.188667;-0.179714;-0.352217
-60;-0.190746;0.007785;-0.176486
-50;-0.061321;-0.368669;-0.262392
-40;-0.126293;0.011299;-0.067017
-30;-0.229159;0.089563;0.016886
-20;0.024528;0.064756;-0.006836
-10;1.792560;1.621913;1.664034
0;4.665030;4.439404;4.414767
10;7.286912;6.992074;7.033115
20;9.917230;9.563151;9.309716
30;13.064147;12.050786;11.571484
40;15.549265;14.450532;14.175207
50;17.818906;16.671362;16.522575
60;20.671685;19.048868;18.850564
70;22.650884;21.280643;20.702945
80;25.136855;23.421034;22.905382
90;27.305187;25.555011;25.105503
100;29.377447;28.001526;27.025311
110;31.352090;29.554475;28.863491
120;31.546375;29.834022;28.982454
130;30.958724;29.213222;28.381419
140;30.098015;28.088560;27.660118
150;29.271807;27.512377;26.971761
160;28.265758;26.659616;26.431013
170;27.574126;26.033556;25.379320
180;26.949440;25.198060;25.018453
190;26.107630;24.542731;24.442951
200;25.019179;23.768715;23.439182
210;24.474631;23.205227;22.967396
220;23.219513;23.125179;22.495508
230;22.828875;22.184228;21.865541
240;22.920124;21.428162;21.367020
250;22.426759;21.031389;20.265083
260;21.686931;20.485895;20.142909
270;21.057275;19.918096;19.778177
280;20.437627;19.327329;19.210507
290;19.927077;19.186869;18.773132
300;19.189233;18.701050;18.362599
310;18.920760;18.206467;17.782378
320;18.277285;17.399623;17.193396
330;17.957963;16.847471;16.703416
340;17.461441;16.620134;16.343779
350;16.916728;16.095002;15.783862
360;16.562393;16.045155;15.310530
370;15.823366;15.260022;15.207297
380;15.369790;14.939157;14.636139
390;15.329437;14.570437;14.178016
400;14.638969;14.333754;13.873974
410;14.157174;14.077895;13.582212
420;13.891791;13.379760;13.128218
430;13.566103;12.895136;13.053580
440;13.186956;13.006003;12.324182
450;13.024351;12.360893;12.444337
460;12.496753;12.098593;11.913017
470;12.034197;11.850767;11.721660
480;11.789148;11.582418;11.525404
490;11.503397;11.307723;11.053498
500;11.322272;10.998859;10.763667
510;10.673380;10.561448;10.547875
520;10.351243;10.291979;9.966638
530;10.511690;10.238288;10.032214
540;9.985501;10.076542;9.602026
550;9.875815;9.814672;9.500698
560;9.504652;9.660319;9.250618
570;9.523501;9.207716;9.036289
580;8.930377;9.121633;8.890683
590;8.767122;8.780749;8.601756
600;8.904828;8.510125;8.422927
610;8.586742;8.428065;8.203833
620;8.041823;8.054835;7.610280
630;7.834848;8.023995;7.752190
640;7.910203;7.550926;7.555154
650;7.410941;7.386248;7.652666
660;7.523785;7.354936;7.161625
670;7.195590;7.199460;7.201976
680;6.976422;6.864419;6.823567
690;7.180030;6.639724;6.884478
700;6.804707;6.647535;6.466508
710;6.438777;6.492979;6.278186
720;6.219487;6.301881;6.691790
730;6.125213;6.070567;5.921849
740;5.525970;6.106199;5.867347
750;5.834928;5.673762;5.846161
760;5.665811;5.795349;5.441530
770;5.628718;5.296003;5.465329
780;5.583460;5.402030;5.382810
790;5.443490;5.355532;5.169889
800;5.329594;5.283767;5.226974
810;4.984230;4.952347;5.132328
820;5.190411;5.153376;5.070794
830;4.663113;4.894419;4.876803
840;4.784259;4.757930;4.572722
850;4.682794;4.689858;4.534649
860;4.444733;4.406311;4.696448
870;4.150182;4.328244;4.704626
880;4.219546;4.551698;4.314181
890;4.210915;4.117778;4.166560
900;4.069601;4.320699;3.911796
910;4.119412;3.829741;3.865043
920;3.862357;3.854512;3.658207
930;3.652297;3.790789;3.763040
940;3.560164;3.606844;3.864623
950;3.739948;3.628514;3.553950
960;3.350025;3.517300;3.440131
970;3.406959;3.632699;3.561536
980;3.324687;3.306277;3.513479
990;3.330969;3.364731;3.361994
1000;3.332741;3.157440;3.231078
1010;3.152840;3.043674;3.328648
1020;3.166672;3.082740;3.002000
1030;3.085833;2.886858;2.939706
1040;2.919296;3.056279;2.933716
1050;2.853011;3.093900;2.973344
1060;2.698302;2.919290;2.758175
1070;2.792884;2.842380;2.761180
1080;2.585408;2.734620;2.577723
1090;2.519778;2.715869;2.742337
1100;2.496219;2.788178;2.704650
1110;2.289948;2.567833;2.520506
1120;2.381323;2.355704;2.561605
1130;2.211871;2.325507;2.562241
1140;2.543246;2.457244;2.078359
1150;2.204123;2.422421;2.259860
1160;2.262306;2.395412;2.256114
1170;2.248871;2.225843;2.374699
1180;2.140274;1.978815;2.382877
1190;1.995085;1.945548;2.329908
1200;2.007763;2.246322;1.948900
1210;2.437817;1.989855;2.075933
1220;2.132839;1.950988;1.971343
1230;2.155947;1.915216;2.031502
1240;1.779663;1.743196;1.892855
1250;1.876721;1.949655;2.064085
1260;1.967521;1.916233;2.095727
1270;1.822351;1.961340;1.763391
1280;1.781421;1.865250;1.763569
1290;1.843549;1.856182;1.893059
1300;1.767311;1.901514;1.796334
1310;1.734486;1.991536;1.882278
1320;1.576244;1.860852;1.728670
1330;1.586233;1.613271;1.641423
1340;1.744888;1.554070;1.821029
1350;1.448605;1.559323;1.489846
1360;1.433883;1.745476;1.620637
1370;1.566064;1.638090;1.699042
1380;1.361895;1.738353;1.546375
1390;1.322878;1.591981;1.689389
1400;1.586398;1.489601;1.678186
1410;1.475358;1.436255;1.344561
1420;1.572890;1.442743;1.443153
1430;1.382983;1.376530;1.395849
1440;1.627542;1.235438;1.381492
1450;1.365490;1.355150;1.502147
1460;1.281305;1.386595;1.455096
1470;1.414916;1.361542;1.410417
1480;1.363059;1.243926;1.476405
1490;1.278269;1.365452;1.248344
1500;1.308399;1.119127;1.460626
1510;1.240379;0.988600;1.478195
1520;1.353506;1.022704;1.307816
1530;1.172698;1.157756;1.352627
1540;1.216923;1.068241;1.359595
1550;1.166321;1.223132;1.096107
1560;1.079006;1.265321;1.332717
1570;1.230451;1.078184;1.348432
1580;1.129356;1.236839;1.116671
1590;1.065956;1.134044;1.162582
1600;1.147611;1.180394;1.231151
1610;0.952898;1.028129;1.301981
