Laser Delay [ns];TA [mOD]
-400;-0.096836
-390;-0.188269
-380;-0.188467
-370;-0.126778
-360;-0.151843
-350;-0.258921
-340;-0.175551
-330;-0.436636
-320;-0.215892
-310;-0.199839
-300;-0.303073
-290;-0.392390
-280;-0.168289
-270;-0.239886
-260;-0.239168
-250;-0.390768
-240;-0.218168
-230;-0.266618
-220;-0.134380
-210;-0.162540
-200;-0.189639
-190;-0.368299
-180;-0.250113
-170;-0.115375
-160;-0.386573
-150;-0.267913
-140;-0.141840
-130;-0.281356
-120;-0.340276
-110;-0.358026
-100;-0.175118
-90;-0.327808
-80;-0.200584
-70;-0.278058
-60;-0.055620
-50;-0.226832
-40;-0.303597
-30;-0.359438
-20;-0.119606
-10;1.240686
0;2.967136
10;4.768793
20;6.644553
30;8.470870
40;10.219734
50;11.840454
60;13.703600
70;15.356613
80;16.922177
90;18.625386
100;20.043802
110;21.484641
120;21.603861
130;21.391235
140;20.982740
150;20.900014
160;20.622955
170;20.469901
180;20.164790
190;20.119028
200;19.593716
210;19.606314
220;19.452020
230;19.046872
240;18.954795
250;18.861517
260;18.616242
270;18.329473
280;18.180169
290;17.652461
300;17.740674
310;17.562468
320;17.321162
330;17.217969
340;16.637152
350;16.802793
360;16.349179
370;16.385389
380;16.333372
390;15.941414
400;15.870401
410;15.493138
420;15.365269
430;15.152038
440;15.220752
450;15.081094
460;14.851814
470;14.722798
480;14.505022
490;14.202890
500;14.136394
510;13.831090
520;13.646204
530;13.504020
540;13.412538
550;13.494658
560;13.021229
570;13.060231
580;12.936349
590;12.662015
600;12.476290
610;12.542226
620;12.194146
630;12.110562
640;11.959796
650;11.937030
660;11.911841
670;11.780535
680;11.449617
690;11.442562
700;11.286775
710;11.185508
720;11.188188
730;10.971236
740;10.795560
750;10.571641
760;10.272611
770;10.329170
780;10.268617
790;10.244217
800;9.967348
810;10.035253
820;9.885038
830;9.756182
840;9.648761
850;9.537160
860;9.395511
870;9.294411
880;9.281565
890;9.278310
900;9.038912
910;8.807197
920;8.852727
930;8.677502
940;8.702783
950;8.580057
960;8.526499
970;8.399966
980;8.288352
990;8.167183
1000;8.188769
1010;8.041924
1020;7.916033
1030;7.907070
1040;7.834497
1050;7.697675
1060;7.704944
1070;7.504747
1080;7.373560
1090;7.256701
1100;7.119061
1110;7.097486
1120;7.054961
1130;7.042870
1140;6.872938
1150;6.851653
1160;6.831866
1170;6.716600
1180;6.512602
1190;6.650723
1200;6.532768
1210;6.671514
1220;6.543981
1230;6.233146
1240;6.250007
1250;6.293808
1260;6.168699
1270;6.035631
1280;6.109379
1290;6.054712
1300;5.952170
1310;5.778580
1320;5.746983
1330;5.725914
1340;5.607202
1350;5.641208
1360;5.624593
1370;5.476135
1380;5.385241
1390;5.338313
1400;5.242197
1410;5.227926
1420;5.233466
1430;5.283364
1440;5.158867
1450;4.954837
1460;4.906689
1470;4.906164
1480;4.882008
1490;4.942490
1500;4.883031
1510;4.749061
1520;4.625459
1530;4.593753
1540;4.562619
1550;4.508269
1560;4.638216
1570;4.298150
1580;4.580425
1590;4.356099
1600;4.376291
1610;4.281490
1620;4.272441
1630;4.119961
1640;4.134221
1650;4.268256
1660;4.014200
1670;4.112407
1680;4.060493
1690;4.107160
1700;3.980074
1710;3.988684
1720;3.909506
1730;3.862851
1740;3.783209
1750;3.811659
1760;3.587136
1770;3.647017
1780;3.642309
1790;3.483042
1800;3.597091
1810;3.633587
1820;3.535669
1830;3.593831
1840;3.380800
1850;3.484346
1860;3.370626
1870;3.441807
1880;3.315028
1890;3.449757
1900;3.129396
1910;3.238214
1920;3.188726
1930;3.311940
1940;3.071722
1950;3.149654
1960;2.907765
1970;3.272721
1980;2.936122
1990;3.046179
2000;3.096871
2010;2.888231
2020;2.846476
2030;2.964620
2040;2.913701
2050;2.740115
2060;2.958950
2070;2.818143
2080;2.865328
2090;2.606204
2100;2.743103
2110;2.779614
2120;2.673421
2130;2.583539
2140;2.705908
2150;2.688791
2160;2.631558
2170;2.673053
2180;2.590595
2190;2.486729
2200;2.480755
2210;2.526507
2220;2.532504
2230;2.477663
2240;2.545799
2250;2.485873
2260;2.522776
2270;2.561233
2280;2.392344
2290;2.250498
2300;2.386093
2310;2.391672
2320;2.359136
2330;2.420687
2340;2.396533
2350;2.223637
2360;2.217230
2370;2.082640
2380;2.153734
2390;2.356658
2400;2.283845
2410;2.247808
2420;2.308092
2430;2.075426
2440;2.249336
2450;2.107453
2460;2.117217
