Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD]
-400;-0.171326;-0.504399;-0.064627;-0.332254
-390;-0.265998;-0.083603;0.133214;-0.393805
-380;-0.157250;-0.017417;-0.085489;-0.152618
-370;-0.014581;0.568478;-0.151015;0.151902
-360;-0.062722;-0.208109;-0.202616;-0.105693
-350;-0.228612;-0.226374;-0.264132;-0.267134
-340;-0.260908;0.011758;0.032538;-0.135283
-330;-0.159672;-0.164006;0.191330;-0.189981
-320;0.073907;-0.307534;-0.540496;-0.114370
-310;-0.013412;-0.182914;-0.378365;-0.106979
-300;-0.271926;0.494812;-0.514204;-0.430730
-290;-0.209488;-0.457046;-0.012585;-0.111326
-280;-0.431129;0.112311;0.183627;-0.040045
-270;-0.062498;0.127555;-0.137250;-0.065676
-260;-0.234110;-0.025249;0.305325;-0.096948
-250;0.247253;-0.231383;-0.218702;-0.106489
-240;-0.112309;0.061850;-0.355166;-0.129034
-230;-0.379564;-0.115873;-0.186784;-0.351830
-220;-0.411990;-0.440909;-0.589759;-0.130048
-210;-0.202056;-0.205744;0.022149;-0.180998
-200;0.109336;0.091439;0.310061;0.206507
-190;-0.253986;0.049246;-0.160707;0.391099
-180;-0.132740;0.339833;-0.312587;-0.470381
-170;0.039498;0.023959;-0.028238;-0.173513
-160;0.121852;0.023509;0.130771;0.202316
-150;0.442922;-0.125477;-0.129900;-0.269611
-140;-0.519034;-0.243514;-0.062915;-0.154805
-130;0.127255;-0.311193;-0.172989;-0.026531
-120;-0.235315;-0.009152;-0.049496;0.133411
-110;-0.809824;-0.278962;-0.133567;-0.001739
-100;-0.031670;-0.098467;0.101333;-0.339151
-90;-0.158505;0.104662;-0.190257;-0.346647
-80;-0.310383;-0.108132;-0.163706;-0.050013
-70;-0.157190;-0.179504;0.358698;-0.419846
-60;-0.266606;-0.046205;-0.034759;-0.100837
-50;0.008244;-0.119410;0.162444;-0.128436
-40;0.207525;-0.207893;-0.260098;-0.086574
-30;0.120188;-0.108191;-0.044759;0.351274
-20;0.793487;0.714179;0.749236;0.511053
-10;2.461560;1.676238;2.023261;1.884051
0;3.867847;3.662693;4.004577;3.456723
10;5.299649;5.129368;5.164366;5.290319
20;7.059385;7.182056;6.911163;7.237445
30;8.276951;8.327339;8.895778;8.859364
40;10.158560;10.145074;10.427837;10.294360
50;11.923017;11.974584;11.683112;11.767760
60;13.508653;13.067952;13.530466;13.458066
70;15.037979;14.770418;14.782960;15.137395
80;16.619131;16.578311;16.582527;16.438725
90;17.894056;17.906746;17.673568;18.118698
100;19.713545;19.516224;19.374349;19.423298
110;19.697796;19.237291;20.200608;20.019712
120;20.078344;20.049054;19.974317;20.187543
130;19.830537;19.554934;20.240358;19.702787
140;19.546805;19.491105;19.611193;19.440124
150;19.504080;19.416391;19.221220;19.758538
160;19.429048;19.126680;18.950531;19.396383
170;18.994215;18.775351;19.376227;18.917614
180;18.969719;19.077735;18.770634;18.830660
190;18.769613;18.307664;18.637031;18.943413
200;18.167649;18.282600;18.298680;18.384583
210;17.765064;17.850248;17.909368;17.820092
220;18.129208;17.852995;17.821241;17.616403
230;17.387095;17.527308;17.659263;17.422690
240;17.617739;17.283549;17.171445;17.366401
250;17.220349;17.189284;16.745233;17.370247
260;16.888790;16.693388;16.824411;17.252310
270;16.917009;16.835413;16.820058;16.929953
280;16.412964;16.414426;16.597121;16.527992
290;16.239734;16.212339;16.372234;16.239515
300;16.187408;16.316390;16.333492;16.385525
310;15.901405;15.979612;15.950169;15.919838
320;15.816279;15.554929;16.167817;15.794994
330;15.764688;15.652473;15.715195;15.680977
340;15.472906;15.346920;15.278905;15.562637
350;15.358246;15.331964;15.602083;14.976522
360;14.581389;14.681094;15.309615;15.214563
370;14.970046;14.271101;15.298665;14.502416
380;14.939800;14.465456;14.709573;14.753664
390;14.503221;14.452718;14.316314;14.428468
400;13.974921;13.727034;14.276366;13.962713
410;13.945320;13.806638;14.087091;14.091809
420;13.961279;13.755773;13.977315;13.719997
430;13.945636;13.817520;13.900965;14.226676
440;13.801584;13.094174;13.452353;13.791451
450;13.759806;13.166887;13.130542;13.275175
460;13.311679;13.400946;13.124925;13.100273
470;13.112103;12.916920;13.439874;12.964582
480;12.860024;13.028210;13.143653;13.416476
490;12.913758;12.681725;12.674814;12.681470
500;12.482237;12.686767;12.647313;13.153809
510;12.317301;12.608366;12.529053;12.170331
520;12.011084;12.656332;12.550119;11.968538
530;12.122108;12.130319;12.211911;12.486848
540;12.352122;12.345114;12.673595;11.929849
550;11.628521;11.657104;11.944614;11.791267
560;11.535322;11.708518;11.933349;11.565734
570;11.932816;11.849591;11.769969;11.860803
580;11.568127;11.417169;11.442434;11.614002
590;11.305009;10.924077;11.293766;11.464910
600;11.823867;11.576103;11.160752;11.218186
610;11.053458;11.188734;11.329834;11.126844
620;10.500100;11.428507;11.214051;11.112436
630;10.815113;10.999085;10.695950;11.136352
640;10.732399;11.114891;10.956411;10.604725
650;10.600400;10.201408;10.552264;10.888461
660;10.512420;10.281010;10.736936;10.696689
670;10.445759;10.559262;10.453361;10.180322
680;10.248707;10.414861;10.202496;10.348103
690;9.771181;9.999130;10.080640;9.973585
700;10.416675;10.134840;10.099642;9.800902
710;9.705444;9.901352;10.059549;9.485668
720;9.533995;9.895575;9.787884;9.717058
730;9.635037;9.750599;9.551323;8.910061
740;9.615992;9.555898;9.442718;9.274229
750;9.235934;9.557394;9.779025;9.161576
760;9.827818;9.126176;9.101499;9.280122
770;8.918537;9.149444;9.439462;9.287695
780;8.924269;9.161278;9.142700;9.010768
790;9.021867;9.042630;9.336065;8.710946
800;8.968338;8.974569;8.986067;8.997070
810;9.337120;8.792259;8.817024;8.949627
820;8.726786;8.646411;8.400188;8.785044
830;8.874253;8.425033;8.474212;8.519936
840;8.372561;8.297838;8.079769;8.547237
850;8.534457;8.397307;8.363665;8.340763
860;8.162818;8.514204;8.001682;8.479454
870;8.630439;8.219846;8.436737;8.628190
880;8.477678;8.166132;7.717236;8.002008
890;8.096157;8.528286;7.566014;7.900136
900;8.014181;7.463789;7.850192;7.684776
910;8.089324;7.827545;7.736966;8.097069
920;7.944884;7.661269;7.562687;7.718433
930;7.851104;7.696409;7.215652;7.677058
940;7.219908;7.352134;7.753034;7.399713
950;7.590380;7.760917;7.452687;7.353048
960;7.408194;7.479673;7.478095;7.379492
970;7.292001;7.553241;7.110625;7.096634
980;7.163560;7.423947;7.459252;7.221624
990;7.049468;6.865903;7.116045;7.177715
1000;7.201203;6.971191;7.263901;7.435778
1010;6.870942;7.077034;6.955039;6.866188
1020;6.870385;6.881901;7.181139;7.080942
1030;6.695531;6.446985;6.664692;6.885490
1040;6.365904;6.390165;6.774689;6.892319
1050;6.617722;6.553198;6.336854;6.722708
1060;6.649977;6.459496;6.421722;6.803776
1070;6.554162;6.800541;6.890433;6.709538
1080;6.448505;6.691455;6.447009;6.322585
1090;6.273215;6.171481;6.485837;6.392971
1100;6.037314;6.328345;6.764319;6.450729
1110;6.361205;6.050747;6.623255;6.852765
1120;6.980039;6.295824;6.155436;6.011138
1130;6.329233;5.898378;6.170171;6.558127
1140;5.878929;6.161640;6.264294;6.232814
1150;5.931430;6.133965;6.274428;6.103241
1160;6.585820;5.979312;5.903290;5.632067
1170;5.738763;5.999594;6.147194;5.737752
1180;6.285415;5.484983;5.526125;6.027492
1190;5.430755;5.746837;5.925840;6.079814
1200;5.974890;5.863973;5.633695;5.443042
1210;5.545717;5.703603;6.215310;6.003103
1220;6.101198;5.946407;5.323692;5.821910
1230;5.380594;5.490139;5.708544;5.586769
1240;5.758138;5.372388;5.713718;5.406649
1250;5.238375;5.603038;5.763154;5.306508
1260;5.542032;5.757830;5.291130;5.558607
1270;5.260352;5.512992;5.132355;5.168613
1280;5.540739;5.739110;4.933404;5.703119
1290;5.562006;4.879228;5.275978;4.980567
1300;5.010635;5.143899;5.404911;5.413003
1310;5.187511;5.049584;5.113631;5.266900
1320;5.385761;5.145334;4.962530;4.900798
1330;5.225866;4.967278;4.915752;5.180671
1340;5.266507;4.693006;5.077634;4.767734
1350;5.232745;4.983070;4.984387;5.075566
1360;4.847241;4.931474;4.253114;4.681972
1370;4.913755;4.805643;4.820975;4.915099
1380;4.891503;4.614215;5.092540;5.023517
1390;4.834962;4.905034;5.023872;4.951204
1400;4.584635;4.968617;4.920655;4.675858
1410;4.345330;4.674712;4.545796;4.821999
1420;4.431991;4.578974;4.362021;4.653362
1430;4.758706;4.507016;4.576133;4.398434
1440;4.641090;4.523807;4.344003;4.571746
1450;4.229130;4.268529;4.619012;4.266232
1460;4.456043;4.576189;4.366785;4.601747
1470;4.505414;4.088515;4.492003;4.550561
1480;4.028939;4.764880;4.320661;4.213625
1490;4.317762;4.215383;4.352229;4.255570
1500;4.205282;4.310376;4.714183;4.296902
1510;3.963365;4.576225;4.325653;4.273467
1520;3.664543;4.370887;4.449001;4.412543
1530;4.178062;4.451438;3.724321;4.627001
1540;3.937598;3.972086;4.247235;3.814768
1550;4.401295;4.250416;4.226350;4.013935
1560;3.612346;3.952231;4.761679;3.961582
1570;3.809073;4.102978;3.894254;3.985639
1580;3.833323;4.003601;4.174848;4.238026
1590;3.825940;3.887689;4.079158;3.868973
1600;3.912664;3.943306;3.966430;3.985733
1610;3.609145;4.145184;3.850426;4.131222
1620;3.678199;3.872691;3.732486;3.635142
1630;3.749496;3.515449;3.869815;3.987510
1640;3.848800;3.601347;4.004629;3.953096
1650;4.221568;4.023311;3.516902;3.740050
1660;3.148892;3.888302;3.719538;3.655505
1670;3.967504;3.726220;3.746896;3.467800
1680;3.906646;3.729560;3.897669;3.636612
1690;3.762355;3.553858;3.472386;3.747400
1700;3.456415;3.877549;3.903430;3.682173
1710;3.521756;3.554263;3.339891;3.599160
1720;3.695074;3.665492;3.205343;3.646380
1730;3.361117;3.346217;3.690995;3.418764
1740;3.158652;3.389975;3.493440;3.578025
1750;3.592102;3.812480;3.722531;3.574892
1760;3.718151;3.485765;3.742707;3.638648
1770;3.207569;3.331618;3.434701;3.458876
1780;3.399599;2.897500;3.639206;3.569078
1790;3.183301;3.064838;3.614807;3.583141
1800;3.549466;3.439256;3.390179;3.358749
1810;2.961238;3.594512;2.950875;3.202160
1820;3.148582;3.256484;3.018695;3.459334
1830;3.441510;3.308764;3.548937;3.077478
1840;3.535215;3.216516;3.092517;3.639963
1850;3.579470;2.991077;3.161740;3.223537
1860;3.683716;3.038988;3.292748;3.250955
1870;3.520785;3.099620;3.447378;3.296478
1880;3.094725;2.968083;3.260814;2.850729
1890;2.823259;2.961117;3.266039;3.171275
1900;2.844076;3.431750;3.167032;2.902318
1910;3.252458;2.726677;3.397008;2.949589
1920;2.921311;2.996414;3.157691;2.835259
1930;3.108479;3.088254;3.053969;2.887040
1940;2.881680;2.784437;3.125732;2.874415
1950;2.769313;2.819789;2.837117;3.338249
1960;3.383355;2.524999;3.070213;3.566675
1970;2.956650;3.265167;3.062745;3.180173
1980;2.650464;3.088637;3.061536;2.880645
1990;2.685962;2.842585;2.962001;3.130159
2000;2.901769;2.920743;3.155612;3.163347
2010;3.021798;2.918557;2.802619;2.995754
2020;2.569662;2.789281;2.808337;2.873634
2030;2.848535;3.003077;2.729812;2.573813
2040;2.564111;3.078182;2.893830;2.439626
2050;2.935229;2.742654;2.923716;2.916536
2060;2.827241;2.789931;3.359453;2.786769
2070;2.432250;3.117074;2.846399;2.966392
2080;2.732292;2.464403;2.378134;2.634751
2090;2.458705;2.579573;2.622411;2.781740
2100;2.659842;2.423604;2.427826;2.680679
2110;2.754747;2.913871;2.689592;2.791855
2120;2.410352;2.701538;2.591948;2.728452
2130;2.415970;2.608459;2.556031;2.757615
2140;2.442503;2.579798;2.729549;2.555437
2150;2.484438;2.846184;2.398380;2.601206
2160;2.585365;2.682444;2.585854;2.704960
2170;2.765909;2.592597;2.383323;2.177518
2180;2.103210;2.642402;2.708369;2.472326
2190;2.356427;2.306127;2.668345;2.206758
2200;2.633398;2.609703;2.760070;2.914605
2210;2.974563;2.650642;3.066393;2.170234
2220;2.540394;2.731667;2.679297;2.563189
2230;2.030564;2.764944;1.991477;2.411737
2240;2.405494;2.797205;2.068734;2.427434
2250;2.581398;2.143819;2.486698;2.501458
