Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD];TA6 [mOD];TA7 [mOD];TA8 [mOD]
-400;0.330268;-0.277440;-0.003411;-0.804587;-0.054048;-0.745416;0.691055;0.228006
-390;-0.241686;-0.206463;0.385702;0.284492;0.377795;-1.465088;0.187152;-0.829156
-380;-0.738539;-0.208759;-0.036708;0.128309;-0.528530;-0.090716;-0.621715;0.136435
-370;0.694946;-0.424748;0.974195;0.335036;1.265222;0.340285;0.299492;0.030148
-360;0.042871;-0.028228;-0.188964;-0.793858;-0.035328;0.123902;0.352986;0.235281
-350;1.094606;0.183116;-0.124524;-0.744467;0.642448;0.170317;0.904284;0.254246
-340;-0.211850;0.151738;-0.650582;-0.547531;0.438736;-0.237255;0.611941;-0.717990
-330;-0.290266;-0.931958;-0.428106;-0.645261;-0.168892;-0.251921;-0.398227;0.165453
-320;-0.072942;-0.124313;-0.235882;-0.405668;0.078393;-0.785869;0.524313;-0.043159
-310;-0.194519;-0.128166;-0.077695;-0.208307;0.316177;-0.140204;-0.053686;-0.440349
-300;-0.588719;0.206007;0.280719;-1.206469;-0.472638;0.588458;0.995887;0.377966
-290;-0.270254;-0.057232;-0.638449;0.644149;-0.672853;-0.196275;0.109929;0.055268
-280;0.107004;-1.019230;-0.278380;-0.881727;-0.349212;-0.910076;0.033403;0.349930
-270;0.259130;0.432458;0.449185;-1.363544;-1.083549;-0.005248;-0.282434;-1.006331
-260;0.648404;-0.106966;0.540751;0.199333;0.481577;-0.774016;-0.169879;-0.175004
-250;-0.207599;0.120422;-0.047246;1.142616;0.282375;0.219729;-0.049166;0.024462
-240;1.002135;0.298564;-0.380100;-0.781390;0.539662;0.374792;-0.288772;-1.514279
-230;-0.429619;0.450355;0.205844;0.320906;-0.943564;0.094019;-0.188922;0.478566
-220;0.945410;1.010897;-0.377700;0.263420;-0.351837;1.106797;-0.041625;0.053112
-210;0.196030;0.256687;-0.396153;0.195840;-0.358757;-0.576329;0.649802;1.125290
-200;-0.772725;0.436549;-0.221082;0.246579;1.003949;-0.029179;0.666357;-0.085323
-190;0.198928;-0.382207;-0.047802;0.417648;1.279968;0.676020;-0.725127;0.067990
-180;0.456852;0.326455;0.402950;-1.485782;0.024618;-0.065242;0.223533;-0.575413
-170;0.594248;-0.399884;0.564868;0.008030;-0.666649;0.835193;0.143842;0.483442
-160;-0.265498;0.250218;-0.660014;-0.523608;-0.100135;-0.088382;0.629534;-0.081326
-150;0.554898;-0.600495;0.140009;-0.030685;0.760282;0.607057;-0.307516;0.263527
-140;1.362587;0.031097;1.432599;-0.266475;0.578364;-0.357107;1.457322;-0.980931
-130;0.208543;0.622499;0.606749;-0.648376;-0.117188;0.235440;-0.135006;0.371561
-120;-0.398590;0.128623;0.082120;-0.659074;1.063701;1.452932;0.436092;-0.088791
-110;-0.027086;-0.567435;0.684060;0.162076;-0.632225;0.617179;0.010910;0.470511
-100;0.021197;-0.394248;-0.172449;0.325957;-0.985961;0.257004;1.458042;0.521585
-90;-0.467585;0.311913;-0.109283;-0.502573;-0.620296;-1.209327;-0.520822;-0.646853
-80;-0.079198;0.683436;-0.241263;0.749739;-1.246049;0.556614;0.113744;-0.579225
-70;0.583067;-0.367608;-0.101476;0.187386;0.443359;-0.896791;0.126551;0.160666
-60;-0.047712;0.187292;0.135865;0.113113;0.065195;-0.697882;-0.210791;0.582959
-50;-0.246575;-0.399056;0.889233;1.460289;-0.736492;-0.746516;-0.040120;0.297831
-40;-0.639719;-0.112274;0.707740;-0.088293;1.318173;-1.192162;0.905657;0.059514
-30;-0.167853;-0.467486;0.368401;-0.077289;-0.630813;-1.118014;-0.335586;-0.154753
-20;-1.279241;-0.655328;-0.442880;-1.978567;-1.048397;-0.725692;-1.059916;-1.499744
-10;-1.226474;-1.575158;-1.493020;-1.911343;-1.656724;-1.661364;-0.661200;-1.467479
0;-2.707997;-2.066688;-3.186516;-2.976689;-3.912608;-1.791437;-2.196878;-1.933422
10;-3.757899;-3.622032;-2.875010;-3.811740;-3.344713;-3.795556;-3.043916;-3.520610
20;-4.813416;-4.718684;-3.228832;-2.917888;-4.229050;-2.914762;-4.282437;-3.711762
