Laser Delay [ns];TA [mOD]
-200;0.417383
-190;0.338398
-180;0.330232
-170;-0.285712
-160;-0.196122
-150;0.268644
-140;-0.444951
-130;-0.014065
-120;-0.179864
-110;-0.222533
-100;0.029353
-90;-0.341294
-80;0.052462
-70;0.068099
-60;0.269095
-50;-0.217734
-40;0.174006
-30;0.133678
-20;0.121058
-10;2.506504
0;5.929355
10;9.596915
20;12.876833
30;16.145644
40;19.537460
50;22.560120
60;26.279684
70;29.191416
80;31.899058
90;35.476320
100;35.792237
110;35.711369
120;35.360900
130;35.099986
140;34.799302
150;34.566256
160;34.640916
170;33.654735
180;33.468499
190;33.104757
200;32.874259
210;32.390470
220;32.085132
230;31.872424
240;31.474808
250;31.201934
260;30.603778
270;30.767869
280;29.830723
290;30.065145
300;29.935489
310;29.667139
320;28.897500
330;28.684066
340;28.522420
350;28.130948
360;27.646673
370;27.033149
380;27.342544
390;27.245266
400;26.792016
410;26.626376
420;26.263436
430;26.062017
440;25.626381
450;25.424151
460;25.435958
470;24.970776
480;24.925896
490;24.868133
500;24.272994
