Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-200;-0.029864;0.274686;0.406563;0.703066;-0.098735
-190;-0.420545;1.347505;-0.186471;-0.871511;-0.510688
-180;-0.098757;-1.181204;0.038494;-0.013871;0.646209
-170;-0.030918;0.102559;-0.546931;0.146791;-0.647756
-160;-0.309399;-0.389729;0.123396;-0.090227;0.203567
-150;0.445062;-0.104501;-0.156348;0.187297;-0.136289
-140;-0.059532;-1.075668;-0.007186;0.096549;0.033449
-130;-0.141111;-0.410232;0.080494;-0.875983;0.175390
-120;-0.433106;-0.794085;0.099686;0.054976;-0.174929
-110;-0.673378;0.026067;-0.419774;-0.164002;-0.609624
-100;0.707971;-1.096155;-0.203349;-0.044701;-0.020589
-90;-0.013738;0.653217;-0.950429;0.713508;-0.406809
-80;0.001525;-0.187016;0.269678;-0.807570;0.322385
-70;-0.055518;0.481047;0.349466;-0.748193;0.526973
-60;0.426450;-0.528273;0.654551;0.091848;-1.097983
-50;0.228857;-0.725270;0.141571;-0.336575;-0.211739
-40;-0.065143;-0.148190;0.125049;0.132100;-0.501618
-30;-0.164296;0.276939;-0.243415;-0.539973;-0.537196
-20;0.775313;-0.213172;0.949261;1.697514;0.834452
-10;2.734757;2.720585;3.239346;2.762123;2.746574
0;6.545759;6.581306;5.251744;7.151917;6.141436
10;8.923425;9.677248;8.419608;9.436840;9.150032
20;12.837162;13.583967;12.807548;12.891961;12.595015
30;15.921569;16.039098;16.283574;16.743051;16.170316
40;20.195107;18.908773;20.562187;19.380688;19.668717
50;22.973240;22.943964;21.284211;23.680076;22.582993
60;26.036980;25.735991;25.286965;25.979497;26.223279
70;29.433689;29.658015;29.459221;28.041164;28.836709
80;31.767794;31.866181;31.342919;32.236882;32.403299
90;34.645959;35.221495;34.297285;34.589387;35.722363
100;38.351739;37.297370;37.684190;38.399757;38.281032
110;40.106325;40.915813;40.444191;40.003206;41.215781
120;40.823985;40.267975;40.513163;39.848032;41.174658
130;40.228852;40.813009;40.130707;39.981101;40.306688
140;40.341595;39.383418;39.703162;39.232740;40.590532
150;39.248809;39.657911;39.868436;39.486683;39.184914
160;39.127516;39.373014;38.807605;39.690112;38.579127
170;39.301572;38.797365;38.565235;38.901329;39.375247
180;38.124026;38.794616;38.369524;37.575229;39.208173
190;37.076963;38.306905;38.153711;38.091683;38.862111
200;37.095734;37.580623;37.138083;37.932211;37.158769
210;37.585518;36.813249;36.089571;37.537683;38.320442
220;36.010549;36.975816;37.005019;37.120852;36.999479
230;36.964115;37.078780;36.567844;36.116513;36.612196
240;35.814275;36.256810;36.338893;35.893389;35.587273
250;36.298486;35.302498;35.999701;35.825912;35.253484
260;35.653330;35.356807;36.006781;35.297745;34.769299
270;35.191514;35.235517;34.571252;35.125600;34.860844
280;35.234583;34.293999;34.550048;35.571598;34.893561
290;34.468205;34.289719;34.359886;34.193170;34.058953
300;33.321853;33.809626;33.723348;34.792107;34.192868
310;33.692376;34.096345;33.559758;34.400923;33.020567
320;33.735585;32.832949;32.934884;33.297847;33.424152
330;33.055893;32.748373;33.328461;33.266060;32.832329
340;33.145602;32.487907;32.787732;32.296225;32.356554
350;32.466207;33.223428;31.380484;32.633708;32.529097
360;31.929830;32.125169;31.388669;32.308750;31.538678
370;31.843681;31.932759;32.036034;31.710176;31.246662
380;31.866546;30.921415;31.593947;31.801331;31.440857
390;31.766153;31.284641;32.201958;31.223994;30.019607
400;29.645199;30.657609;31.243157;30.477013;31.029360
410;30.287195;30.534640;29.021439;30.792260;31.100663
420;29.833530;30.025756;30.340337;29.894663;30.157906
430;30.178906;29.525908;29.924478;29.424864;29.802815
440;29.874968;29.924538;29.360713;29.064953;29.381420
450;29.585571;28.793921;30.085399;28.875806;28.753340
460;29.180879;28.289092;28.270458;28.356963;28.401311
470;29.090352;29.154409;27.938996;29.004634;29.347266
480;29.147681;28.202139;28.704336;28.507354;27.939265
490;28.384411;27.365665;27.756716;28.030364;28.098512
500;27.497631;27.974989;27.231693;27.313172;26.816213
