Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-200;-0.171708;-0.196597;-0.080250;-0.098054;0.031803
-190;-0.158098;-0.464032;0.073310;-0.438620;-0.385176
-180;-0.205989;0.795954;0.504991;0.172662;-0.129436
-170;0.699668;0.088243;0.220314;-0.398742;-0.030953
-160;0.998405;-0.728486;0.109979;0.014316;0.106338
-150;-0.210336;0.037946;0.179081;-0.296468;0.476869
-140;0.135212;0.480707;0.359405;0.422039;0.164373
-130;0.105277;0.042639;-0.666290;-0.132722;0.081965
-120;0.093371;0.228136;0.357657;0.325364;-0.323232
-110;0.128139;0.156616;0.257229;-0.526705;-0.082824
-100;0.158456;0.159197;-0.018992;0.065112;-0.108471
-90;-0.009942;-0.361224;-0.037128;-0.792983;-0.123268
-80;0.156816;-0.070446;-0.394696;0.253317;-0.771611
-70;0.083404;-0.117001;-0.496084;-0.132840;-0.310167
-60;-0.469534;0.046981;-0.160246;0.082943;-0.056217
-50;-0.594915;-0.146561;-0.779761;-0.120375;-0.025277
-40;-0.327135;-0.654945;0.013816;-0.239838;0.103305
-30;-0.317863;-0.364385;-0.319311;-0.185853;-0.609490
-20;-0.362747;0.586525;0.306362;-0.395540;0.187556
-10;1.431264;1.527822;1.167144;1.479328;1.001046
0;4.482444;4.140728;4.034704;3.766268;3.291131
10;6.672780;5.200182;5.760262;6.031663;6.018011
20;8.227193;7.409651;8.444360;8.120789;7.934379
30;10.284044;10.038357;10.621362;10.599386;9.684610
40;12.961915;12.143817;12.548394;12.208805;12.592579
50;14.031629;13.817901;13.577859;13.867436;14.082470
60;17.085228;16.065722;15.704454;15.991011;16.220480
70;19.186283;18.639449;18.744251;17.982945;18.324441
80;21.669972;20.591773;19.685495;19.754616;19.987778
90;21.851538;21.892768;21.857283;20.888448;21.839495
100;23.248554;23.152460;22.311833;22.498120;22.525545
110;23.157373;23.116223;22.552606;22.391439;21.939958
120;23.151567;22.226540;22.641140;22.235258;21.825685
130;22.182566;22.415084;22.090518;21.597797;21.822373
140;21.993445;22.449682;21.745590;22.362627;21.954256
150;21.895738;21.952966;21.574804;21.219175;21.352753
160;22.509225;20.604260;21.093104;21.269625;20.829287
170;21.826141;21.088502;21.497348;21.055518;20.940132
180;21.243832;20.805321;20.805294;20.956599;20.927722
190;20.224783;20.548089;21.231421;20.384284;20.529745
200;21.114538;20.912888;20.091679;21.108801;20.748444
210;20.734683;20.651524;20.047938;20.481479;20.459702
220;20.077930;20.230334;20.287481;19.849287;20.204522
230;20.828408;20.412631;19.821948;19.338849;20.253563
240;20.177874;20.141225;19.611430;19.639716;19.027644
250;20.387918;20.088121;19.288927;19.295825;19.260132
260;20.451165;19.141110;19.135485;18.715772;19.283099
270;19.758199;19.701995;19.646711;18.403497;19.439289
280;19.171764;19.167761;18.650120;19.388995;18.495179
290;19.113368;18.722210;18.806952;18.531589;18.924247
300;18.567558;18.991907;18.835606;18.679476;18.507328
310;18.513211;18.274581;18.072628;18.122872;18.074621
320;18.318954;18.192287;18.138313;18.291040;19.012475
330;17.812104;17.761606;18.382298;17.440434;17.978151
340;18.384884;17.638914;16.892277;18.009850;17.813095
350;18.006680;17.582447;17.510026;17.933327;17.341332
360;17.542865;17.426877;16.789879;17.213385;16.921203
370;17.627013;17.517974;17.286327;17.117772;16.824580
380;17.394673;17.192506;17.134339;16.855903;16.727671
390;16.764116;16.455392;16.516837;16.971376;15.823976
400;17.096297;16.819098;16.869650;16.077727;16.753464
410;17.242349;16.651520;16.646259;16.362998;16.657846
420;16.667194;15.730352;16.514500;16.158433;16.203173
430;16.586472;15.541803;15.549528;16.186893;16.822135
440;16.707425;16.275162;15.751964;15.986995;16.218309
450;16.152484;15.886364;15.776527;15.614220;15.607537
460;15.749610;15.925883;15.960492;15.424423;15.765489
470;15.933110;15.260987;15.695418;15.584380;14.872186
480;15.731692;15.581546;15.428322;15.314302;15.306466
490;15.729106;15.240392;14.986170;14.729871;14.674382
500;15.449947;15.129607;14.842092;14.785845;15.384522
