Laser Delay [ns];TA [mOD]
-200;-0.308237
-190;-0.517580
-180;0.079478
-170;-0.014611
-160;-0.082852
-150;-0.010090
-140;0.082122
-130;-0.159826
-120;-0.129053
-110;0.088046
-100;-0.225128
-90;-0.145380
-80;-0.154943
-70;-0.048700
-60;-0.298490
-50;-0.204124
-40;-0.076380
-30;-0.225802
-20;0.221950
-10;1.504721
0;4.013736
10;6.101540
20;8.203465
30;10.453071
40;12.485628
50;14.405557
60;16.101435
70;18.299017
80;19.459473
90;19.832905
100;19.521905
110;19.112033
120;19.046449
130;19.278807
140;18.908297
150;18.552511
160;18.571949
170;18.084703
180;18.143772
190;17.744508
200;17.920910
210;17.439312
220;17.125786
230;17.429600
240;17.139338
250;16.720628
260;16.731931
270;16.349066
280;16.406953
290;16.016448
300;16.110875
310;15.475939
320;15.515847
330;15.250774
340;15.208309
350;14.873823
360;14.826440
370;14.787978
380;14.788426
390;14.372504
400;14.531490
410;14.012172
420;14.047904
430;14.026545
440;13.560593
450;13.761535
460;13.463049
470;13.290879
480;13.311507
490;13.045056
500;13.230381
