Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;-0.572295;-0.458630;-0.232603;0.359547;0.242957
-390;-0.052430;-0.143691;0.102014;-0.478439;-0.154510
-380;-0.592896;0.493436;-0.299952;-0.198684;-0.109207
-370;0.372590;-0.154269;-0.131813;-0.200252;0.197145
-360;-0.355218;0.120128;0.061460;-0.317611;-0.086140
-350;-0.164431;0.015775;0.026880;-0.286448;-0.104545
-340;-0.141065;-0.970346;-0.092568;-0.452020;0.286771
-330;-0.233364;0.207228;-0.212859;-0.265085;-0.391032
-320;0.063324;0.154756;0.292573;-0.376702;-0.305115
-310;-0.035735;0.055839;-0.033293;-0.506857;-0.195153
-300;-0.149791;-0.295830;-0.226665;0.259648;-0.397963
-290;-0.058306;-0.261516;-0.340736;0.027744;0.287564
-280;-0.172784;-0.404963;0.140808;0.122046;0.019206
-270;-0.322248;-0.448523;-0.653121;0.087031;-0.266121
-260;-0.339453;-0.145442;0.113121;-0.239663;0.174950
-250;0.108898;-0.086980;-0.006401;0.246076;-0.021326
-240;-0.072336;-0.450876;0.344689;-0.311969;-0.012371
-230;-0.438413;-0.119294;-0.273884;0.170066;-0.254139
-220;-0.311608;0.222153;-0.453990;-0.337820;-0.045220
-210;0.208192;-0.302386;-0.232947;-0.097809;0.478644
-200;-0.366395;0.017899;0.264722;-0.335638;-0.082727
-190;0.144676;0.040053;-0.124120;-0.311698;-0.342776
-180;0.061302;-0.346236;0.102403;0.640690;-0.169156
-170;0.289918;-0.309085;-0.161306;-0.009389;0.194465
-160;-0.435843;-0.060922;-0.174900;0.055498;-0.067405
-150;-0.127205;0.135160;0.246780;-0.071340;-0.238350
-140;-0.669539;0.001705;0.213028;-0.561878;-0.048165
-130;0.105584;-0.282490;-0.416383;-0.450652;0.052874
-120;-0.123397;-0.393233;-0.225837;-0.375482;0.223784
-110;0.165243;-0.291050;-0.158419;-0.079850;-0.395907
-100;-0.554846;0.340173;0.259651;0.569144;0.143280
-90;-0.520183;0.216281;0.044805;-0.477008;-0.427541
-80;0.046761;0.142434;-0.013660;-0.127704;-0.069512
-70;-0.157871;-0.126275;-0.328886;0.222901;-0.630278
-60;-0.083828;0.026427;-0.168083;-0.154068;-0.179981
-50;-0.454560;-0.022578;-0.181847;0.118641;-0.051676
-40;-0.019579;0.136409;0.014516;-0.152501;-0.362266
-30;-0.294950;-0.159412;0.226759;-0.483447;-0.085765
-20;0.551781;0.202943;0.263689;0.004695;0.540160
-10;0.925566;1.383824;1.010158;1.129219;1.176588
0;2.173706;2.202563;2.763181;2.307943;2.119546
10;3.504409;3.650302;3.392266;3.367594;3.022752
20;4.754690;4.600500;4.425192;4.625751;4.844372
30;5.624890;5.645337;5.733021;6.159149;5.566713
40;7.021676;6.675068;7.540936;6.771302;7.003992
50;7.936107;8.090521;7.936751;7.156952;8.078557
60;9.693204;9.015835;8.864012;8.680734;8.806616
70;10.168864;10.747359;10.373277;10.369377;9.882025
80;11.777922;10.496792;11.327561;11.130624;11.546406
90;11.921721;12.207951;11.934317;11.999776;12.095160
100;13.459509;13.006277;12.831451;13.218702;13.277970
110;13.818610;14.067184;13.481857;14.127025;13.560268
120;13.982817;13.435245;14.154349;13.999394;14.035117
130;14.025680;13.915635;13.491689;13.701072;13.345879
140;13.774981;13.382685;13.821301;13.375773;13.424832
150;13.926946;13.671682;13.135863;13.067339;13.353555
160;13.189679;13.317762;12.726067;13.010685;12.993992
170;13.308706;12.957340;13.388417;12.668704;13.020241
180;13.054887;12.756882;13.265361;12.647594;12.707628
190;12.973462;12.516151;12.529189;12.825328;13.011873
200;12.658743;12.791094;12.566688;12.208237;12.316210
210;12.756351;12.923225;12.305894;12.086120;12.347011
220;12.390064;11.716085;12.474316;12.263071;12.438782
230;12.426017;11.668858;11.959792;12.135061;11.911319
240;11.984249;12.174033;12.342866;11.732641;11.938930
250;12.301817;11.493776;12.032336;11.569053;12.032292
260;11.635322;12.116544;11.791601;11.603724;11.507772
270;11.518385;11.709814;11.925811;11.556105;11.919981
280;11.399037;11.444411;10.843718;11.310342;11.571078
290;11.389650;11.399691;11.263582;11.569427;11.255872
300;11.349037;11.175562;11.654493;11.176071;10.895027
310;10.628422;11.069886;11.084730;11.079932;10.952503
320;10.859277;10.790951;11.219932;10.944071;10.874177
330;10.898439;10.774393;10.670072;10.899876;10.477375
340;10.491890;10.595053;10.814942;10.743980;10.922635
350;10.255622;10.196778;10.652472;10.067963;9.848932
360;10.301910;10.403734;10.541070;10.355313;10.115064
370;9.826360;10.236401;9.981732;10.478321;10.556036
380;10.221382;10.472659;10.073257;10.602984;10.208508
390;10.301643;9.955559;10.092918;10.688232;10.042531
400;9.802922;9.728699;9.846945;10.006605;10.072959
410;10.087141;10.057758;9.906634;9.855490;10.199301
420;9.726159;9.791726;9.631890;10.069928;9.758353
430;9.785208;10.226984;9.627590;9.251410;9.693259
440;9.211979;9.040634;9.384173;9.847472;9.250280
450;9.266996;9.486500;8.904209;9.620063;9.722097
460;9.372641;9.266617;9.183052;9.076542;9.363196
470;9.347470;9.096754;8.963112;8.807774;9.101068
480;9.382360;8.767018;9.152266;8.475165;8.816578
490;8.472068;8.834082;9.302161;8.948709;8.383891
500;9.051175;8.643033;8.593130;9.074137;8.649526
510;8.556512;8.460681;8.731940;8.735914;8.796412
520;8.905249;8.548618;8.310565;8.609729;8.905642
530;8.251099;8.459230;8.774436;8.712007;8.167353
540;8.284836;8.431990;8.878008;8.250293;8.476739
550;8.564098;8.347450;8.257846;8.606239;8.329728
560;8.884457;8.701658;7.936040;8.517759;8.212658
570;8.035902;8.096544;8.506898;8.288881;8.311560
580;8.253423;7.992673;8.312062;8.083170;8.010169
590;8.078423;8.348083;7.735639;7.882680;7.858924
600;7.966547;8.001639;7.729159;7.432569;7.729564
610;8.245786;7.784198;7.700348;7.944209;7.787187
620;7.680235;7.357545;7.572162;7.281799;7.715366
630;7.723647;7.259489;7.383290;7.396280;7.481959
640;7.407968;7.287130;7.491048;7.330753;7.750690
650;7.289447;7.016988;7.105982;7.610741;7.667190
660;7.700997;7.455687;7.791891;7.444000;7.153383
670;7.229709;7.253116;7.409361;7.339988;7.214395
680;7.042295;7.150971;6.896406;7.014955;6.837211
690;7.263360;7.225669;7.117354;7.239828;7.383541
700;7.145103;7.390854;6.758624;7.050811;6.864726
710;6.829784;7.306678;6.533340;6.509522;6.795470
720;7.070295;6.883358;6.814124;6.553499;6.854902
730;6.795009;6.780651;6.881855;6.511639;6.571101
740;6.605745;6.857286;6.326460;6.643482;6.549675
750;6.498925;6.594545;6.924763;6.394734;6.484921
760;6.138723;6.549606;6.664962;6.125375;6.220238
770;6.186313;6.723544;6.527168;6.517237;6.332283
780;6.252229;6.523997;6.649726;6.355633;6.589882
790;6.445072;6.338864;6.276841;6.506177;6.230735
800;6.042140;6.540454;6.225481;5.889561;5.968730
810;5.956307;6.201968;6.304635;6.759444;5.733366
820;6.273575;6.453789;5.763780;6.163668;6.062358
830;5.717516;6.017633;5.490660;6.164855;5.783987
840;5.930213;6.678575;5.686703;5.262167;5.882843
850;5.804744;5.689074;5.644179;6.046526;6.047091
860;5.775469;5.893869;5.975538;5.962703;5.619013
870;6.368712;6.081893;5.705550;5.644120;5.553039
880;5.508444;5.442452;5.753251;5.279293;5.537361
890;5.650859;5.634500;6.056332;6.051637;5.496822
900;5.272063;5.088609;5.453683;5.636319;5.172915
910;5.052826;5.636809;5.256907;5.394754;5.134705
920;5.076582;5.219396;5.685548;5.182960;5.877393
930;5.368071;5.774786;5.292032;4.973028;5.639008
940;5.777280;5.425594;5.347869;4.789452;5.166834
950;5.420037;5.292866;5.416487;5.083976;4.960134
960;4.981679;5.346311;5.422132;5.321364;5.413820
970;4.961771;5.624946;4.922825;5.325134;4.976861
980;4.782354;4.824930;4.945313;4.993068;5.196481
990;4.927697;5.105729;5.072898;4.961555;4.971893
1000;5.083262;5.266463;4.943553;4.498207;5.041472
1010;5.038116;5.142680;4.906280;5.111638;4.815673
1020;5.314630;5.073428;5.182548;5.320573;4.692188
1030;4.671691;4.627813;5.065188;4.989844;5.082787
1040;4.616367;4.425986;4.935574;4.335823;5.205167
1050;4.804996;5.129252;4.814591;4.495418;4.820004
1060;4.849403;4.505291;4.679636;4.687665;4.739638
