Laser Delay [ns];TA [mOD]
-400;-0.025355
-390;0.020450
-380;-0.004004
-370;-0.061495
-360;-0.010275
-350;0.131405
-340;0.011422
-330;-0.080642
-320;-0.006532
-310;0.009853
-300;0.049970
-290;-0.125780
-280;0.041368
-270;0.084012
-260;-0.065056
-250;-0.053701
-240;-0.095022
-230;0.073023
-220;-0.110105
-210;0.018974
-200;0.099176
-190;-0.065267
-180;0.027131
-170;-0.177023
-160;-0.003303
-150;0.031422
-140;-0.032448
-130;-0.059466
-120;-0.001625
-110;-0.011455
-100;-0.082503
-90;-0.141717
-80;-0.095925
-70;-0.053230
-60;-0.081027
-50;-0.035326
-40;0.100474
-30;-0.110051
-20;0.220029
-10;2.008811
0;5.433794
10;8.850348
20;12.222572
30;15.529782
40;18.943011
50;21.922215
60;24.869694
70;28.077583
80;30.929656
90;33.627176
100;36.688919
110;39.011408
120;39.352326
130;38.759294
140;38.202540
150;37.276656
160;36.763767
170;35.951189
180;35.227242
190;34.760760
200;33.936875
210;33.411533
220;32.921625
230;32.310028
240;31.577951
250;30.965356
260;30.440074
270;29.878294
280;29.284982
290;28.771916
300;28.345832
310;27.643926
320;27.288005
330;26.617531
340;26.234474
350;25.545370
360;25.107301
370;24.605351
380;24.370284
390;23.909855
400;23.289498
410;22.847365
420;22.611300
430;22.021100
440;21.502628
450;21.206980
460;20.850019
470;20.365474
480;20.004348
490;19.793400
500;19.379104
510;19.062799
520;18.562767
530;18.223673
540;17.876516
550;17.567674
560;17.314242
570;16.936382
580;16.634521
590;16.359493
600;16.011426
610;15.734735
620;15.300182
630;15.163244
640;14.678617
650;14.430605
660;14.126520
670;13.975231
680;13.646547
690;13.419147
700;13.222571
710;12.973835
720;12.626885
730;12.567216
740;12.161311
750;12.203226
760;11.810925
770;11.482402
780;11.249283
790;11.081739
800;10.866460
810;10.666921
820;10.494983
830;10.416310
840;10.112694
850;9.902411
860;9.634499
870;9.623693
880;9.182981
890;9.173168
900;9.029113
910;8.926875
920;8.751469
930;8.541399
940;8.174763
950;8.207419
960;7.983613
970;7.855103
980;7.539644
990;7.599599
1000;7.442156
1010;7.339403
1020;6.956791
1030;7.027878
1040;6.789517
1050;6.795894
1060;6.572364
1070;6.578164
1080;6.400055
1090;6.305561
1100;6.081601
1110;5.900158
1120;5.768117
1130;5.773666
1140;5.622281
1150;5.304564
1160;5.364596
1170;5.373694
1180;5.167702
1190;5.261612
1200;4.999113
1210;4.865436
1220;4.945274
1230;4.679341
1240;4.653653
1250;4.510251
1260;4.365562
1270;4.323561
1280;4.337013
1290;4.128510
1300;4.221529
1310;4.092985
1320;4.060099
1330;3.941013
1340;3.886818
1350;3.752575
1360;3.594531
1370;3.520967
1380;3.595106
1390;3.345465
1400;3.390652
1410;3.344610
1420;3.247150
1430;3.195965
1440;3.157763
1450;2.873320
1460;3.148472
1470;2.896843
1480;2.932807
1490;2.765134
1500;2.969657
1510;2.724235
1520;2.561976
1530;2.636673
1540;2.754071
1550;2.421524
1560;2.546438
1570;2.429011
1580;2.315846
1590;2.320621
1600;2.148562
1610;2.307747
1620;2.080305
1630;1.963316
1640;2.028757
1650;1.958686
1660;2.034616
1670;1.877184
1680;1.904697
1690;1.791394
1700;1.926552
1710;1.595243
1720;1.606552
1730;1.605384
1740;1.705304
1750;1.688962
1760;1.495777
1770;1.534796
1780;1.507425
1790;1.399807
1800;1.547870
1810;1.372989
1820;1.279637
1830;1.375032
1840;1.362938
1850;1.223425
1860;1.289035
1870;1.156344
1880;1.216515
1890;1.215136
1900;1.110457
1910;1.195649
1920;1.040467
1930;1.050828
1940;1.041701
1950;0.981545
1960;1.062525
1970;0.930720
1980;1.016057
1990;0.911337
2000;0.969564
2010;1.014156
2020;0.945263
2030;0.845232
2040;0.879876
2050;0.700168
2060;0.703098
2070;0.697181
2080;0.658049
2090;0.710500
2100;0.672999
2110;0.915577
2120;0.588635
2130;0.741845
2140;0.707046
2150;0.617400
2160;0.360762
2170;0.523524
2180;0.451763
2190;0.628757
2200;0.482553
2210;0.571690
2220;0.398794
2230;0.498679
2240;0.485835
2250;0.509717
2260;0.466897
2270;0.495652
2280;0.506205
2290;0.537381
2300;0.468029
2310;0.300127
2320;0.417320
2330;0.430989
2340;0.314944
2350;0.357381
2360;0.302066
2370;0.434894
2380;0.337285
2390;0.184975
2400;0.421500
2410;0.184505
2420;0.328056
2430;0.283091
2440;0.275004
2450;0.278772
2460;0.159711
2470;0.231298
2480;0.203480
2490;0.042395
2500;0.118011
2510;0.239687
2520;0.314762
2530;0.187083
2540;0.153430
2550;0.305242
2560;0.161658
2570;0.097189
2580;0.171615
2590;0.096154
2600;0.276814
2610;0.147623
2620;0.073112
2630;0.114712
2640;0.219502
2650;0.015723
2660;0.076543
2670;0.039849
2680;0.130015
2690;0.159673
2700;0.128611
2710;0.023722
2720;-0.027939
2730;0.048722
2740;0.180945
2750;0.108475
2760;-0.005920
2770;0.109970
2780;0.011598
2790;0.123689
2800;0.003194
2810;0.040115
2820;0.172282
2830;0.076021
2840;0.039528
2850;0.003958
2860;0.050724
2870;0.107702
2880;-0.162826
2890;-0.000609
2900;-0.023006
2910;-0.045694
2920;0.053577
2930;0.021578
2940;-0.050943
2950;-0.127077
2960;-0.035543
2970;0.021924
2980;0.001612
2990;-0.019373
3000;-0.139345
3010;-0.150577
3020;-0.144336
3030;-0.227256
3040;-0.100036
3050;0.008184
3060;-0.022813
3070;-0.242341
3080;-0.051523
3090;-0.033911
3100;-0.195384
3110;0.062910
3120;-0.161868
3130;-0.029563
3140;0.046452
3150;-0.141308
3160;0.024864
3170;-0.157380
3180;-0.130618
3190;-0.179657
3200;-0.079373
3210;-0.147672
3220;-0.221984
3230;-0.178800
3240;-0.324662
3250;-0.055177
3260;-0.102350
3270;-0.115508
3280;-0.170001
3290;-0.122987
3300;0.028925
3310;-0.213685
3320;-0.111298
3330;-0.188055
3340;-0.001877
3350;-0.230017
3360;-0.154299
3370;-0.086964
3380;-0.162612
3390;-0.207374
3400;-0.030789
3410;-0.001506
3420;-0.080026
3430;-0.103128
3440;-0.097041
3450;-0.181474
3460;-0.112529
3470;-0.139950
3480;-0.279841
3490;-0.271422
3500;-0.112690
3510;-0.161710
3520;-0.259957
3530;-0.193451
3540;-0.177412
3550;-0.219786
3560;-0.048542
3570;-0.261002
3580;-0.245969
3590;-0.124466
3600;-0.006878
3610;-0.141327
3620;-0.126959
3630;-0.273720
3640;-0.199987
3650;-0.240713
3660;-0.069600
3670;-0.076035
3680;-0.148239
3690;-0.121353
3700;-0.055667
3710;-0.149434
3720;-0.143677
3730;-0.376954
3740;-0.211224
3750;-0.094028
3760;-0.188629
3770;-0.266862
3780;-0.122411
3790;-0.157161
3800;-0.265929
3810;-0.129374
3820;-0.344148
3830;-0.161591
3840;-0.201957
3850;-0.232883
3860;-0.128258
3870;-0.160458
3880;-0.213930
3890;-0.086089
3900;-0.257451
3910;-0.139385
3920;-0.169669
3930;-0.028274
3940;-0.214450
3950;-0.120781
3960;-0.222973
3970;-0.174357
3980;-0.200380
3990;-0.180254
4000;-0.161625
4010;-0.143285
4020;-0.147669
4030;-0.235300
4040;-0.280125
4050;-0.211945
4060;-0.220092
4070;-0.180962
4080;-0.093226
4090;-0.205700
4100;-0.215470
4110;-0.112911
4120;0.013477
4130;-0.088639
4140;-0.243207
4150;-0.166337
4160;-0.121797
4170;-0.244822
4180;-0.185539
4190;-0.233642
4200;-0.244314
4210;-0.061989
4220;-0.180557
4230;-0.180955
4240;-0.286736
4250;-0.033826
4260;-0.253859
4270;-0.207358
4280;-0.202278
4290;-0.059342
4300;-0.130705
4310;-0.089130
4320;-0.155155
4330;-0.141578
4340;-0.129399
4350;-0.333890
4360;-0.251628
4370;-0.228924
4380;-0.113607
4390;-0.414849
4400;-0.141843
4410;-0.140471
4420;-0.315613
4430;-0.285940
4440;-0.202517
4450;-0.185837
4460;-0.168620
4470;-0.387781
4480;-0.099215
4490;-0.326811
4500;-0.258746
4510;-0.187195
4520;-0.178701
4530;-0.144770
4540;-0.302555
4550;-0.143566
4560;-0.225770
4570;-0.344751
4580;-0.108023
4590;-0.293646
4600;-0.095205
4610;-0.205995
4620;-0.130799
4630;-0.032195
4640;-0.134647
4650;-0.035966
4660;-0.275479
4670;-0.144634
4680;-0.184404
4690;-0.184719
4700;-0.191025
4710;-0.256996
4720;-0.171265
4730;-0.084416
